method,baseline,rho,rho_ci_lo,rho_ci_hi,p_obs,n
MC Dropout,I,0.3497,0.2452,0.4542,4.66857435440207e-10,300
Deep Ensemble,J,0.133,0.0156,0.2458,0.021252295238193285,300
Std VIB,D,-0.0285,-0.1396,0.0846,0.6227589065671593,300
Std VIB + QCTS,D+QCTS,-0.1112,-0.2201,0.0023,0.054297694703265564,300
