baseline,itb_qcdi,ham_qcdi,pad_qcdi
A,0.2755051091691065,-0.09315981126995301,-0.02181908106582467
D,0.0184276882310708,-0.15287794003191868,0.011411591071979393
E,0.010676830978029295,-0.1881085778831212,0.019706136020929077
F,0.009073579907417306,-0.19058828019010823,0.02544208143015128
G,0.0561756627654863,-0.13859925808504447,0.018315569854192026
H,0.042927890188164175,0.1340706732527427,0.019180102526933918
TS,0.012831766241126613,-0.18957354751971076,-0.027958303680221674
