qbar_proxy,tau,n,raw_rho,raw_p,ts_rho,ts_p,delta_rho,sign_flip
IQA_qbar,full,2820,-0.15290609523870857,3.2323161410432736e-16,0.24063367876383077,1.962527857120369e-38,0.39353977400253937,True
IQA_qbar,0.4,296,-0.08704053711104097,0.13517495812209698,-0.0691508260050114,0.23558194716892486,0.017889711106029563,False
IQA_qbar,0.43,453,-0.0705319990870683,0.13389741275979428,-0.1338558582024362,0.004318026045662202,-0.0633238591153679,False
IQA_qbar,0.45,663,-0.014511231756584907,0.7091773436012689,-0.19061679381767369,7.642069711737441e-07,-0.17610556206108877,False
IQA_qbar,0.48,920,-0.015997379215931376,0.6279630508259317,-0.0989221463907883,0.0026667600635806193,-0.08292476717485692,False
IQA_qbar,0.5,1149,-0.053746630292467866,0.06857984604718512,-0.05019636463493146,0.08899530219992526,0.003550265657536404,False
Laplacian_qbar,full,2820,-0.4462715130456804,4.2073952486309166e-138,0.6901638296363319,0.0,1.1364353426820124,True
Laplacian_qbar,0.4,2131,-0.22983460361630473,6.071507149606885e-27,0.5625122769448877,4.1730060723297625e-178,0.7923468805611924,True
Laplacian_qbar,0.43,2173,-0.24661942793105093,1.8062894972310854e-31,0.5718414130437193,6.087009158587439e-189,0.8184608409747702,True
Laplacian_qbar,0.45,2197,-0.2545820733129313,7.657604140060205e-34,0.5805087456887401,3.84567601116042e-198,0.8350908190016715,True
Laplacian_qbar,0.48,2245,-0.27943067079200246,1.5157256723923407e-41,0.5915515800319092,4.85795805467554e-212,0.8709822508239117,True
Laplacian_qbar,0.5,2272,-0.2868406239953633,2.7639134507761563e-44,0.5989019199988154,2.9741616093214097e-221,0.8857425439941786,True
