model,psnr,ssim,auc_ref,auc_enh,dAUC,consistency
Stage1 (no DP),32.85,0.9466,0.2645,0.2658,0.0013,0.94
"Stage2 (DP, HPC)",32.56,0.9394,0.2645,0.2629,0.0016,0.944
