sev,target,qbar_route,correct_deg,correct_enh,qband
mild,0,0.5011540651321411,1,1,mid
mild,0,0.5153034329414368,1,1,mid
mild,0,0.555633008480072,1,1,high
mild,0,0.42677250504493713,0,0,low
mild,0,0.5409736037254333,0,0,mid
mild,0,0.48629865050315857,1,1,low
mild,0,0.5845088958740234,1,1,high
mild,0,0.5493547320365906,1,1,high
mild,0,0.5603699088096619,1,1,high
mild,0,0.5399977564811707,1,1,mid
mild,0,0.520065426826477,0,0,mid
mild,0,0.580460250377655,0,1,high
mild,0,0.44766828417778015,0,0,low
mild,0,0.5277296900749207,1,1,mid
mild,1,0.5578860640525818,1,1,high
mild,0,0.6027343273162842,1,1,high
mild,0,0.584315299987793,1,1,high
mild,0,0.5401040315628052,1,1,mid
mild,0,0.46631622314453125,0,0,low
mild,0,0.5927526354789734,1,1,high
mild,0,0.5108394026756287,1,1,mid
mild,0,0.5945405960083008,0,1,high
mild,1,0.6311504244804382,1,1,high
mild,0,0.5178648829460144,1,1,mid
mild,0,0.5646162629127502,1,1,high
mild,0,0.4943002760410309,1,1,low
mild,0,0.50423663854599,1,1,mid
mild,0,0.510481059551239,1,1,mid
mild,0,0.4721146523952484,0,1,low
mild,0,0.582025945186615,0,1,high
mild,0,0.5105003714561462,1,1,mid
mild,0,0.4989030063152313,0,1,mid
mild,0,0.5899130702018738,1,1,high
mild,0,0.6348098516464233,0,0,high
mild,0,0.5530235171318054,0,0,high
mild,0,0.5906192660331726,1,1,high
mild,0,0.5335358381271362,1,1,mid
mild,0,0.46800872683525085,1,1,low
mild,0,0.5906197428703308,1,1,high
mild,0,0.7098566889762878,1,1,high
mild,0,0.6114158034324646,1,1,high
mild,0,0.5469267964363098,1,1,mid
mild,0,0.5399737358093262,1,1,mid
mild,0,0.5273013710975647,1,1,mid
mild,0,0.514600932598114,1,1,mid
mild,0,0.5138933062553406,1,1,mid
mild,0,0.5049742460250854,1,1,mid
mild,0,0.5228731036186218,1,1,mid
mild,0,0.5813652873039246,0,0,high
mild,0,0.5235523581504822,0,1,mid
mild,0,0.5151987671852112,0,1,mid
mild,0,0.4691973626613617,1,1,low
mild,0,0.4978754222393036,1,1,mid
mild,0,0.4593873918056488,1,1,low
mild,0,0.5542725920677185,1,1,high
mild,0,0.5786886215209961,1,1,high
mild,0,0.5103946924209595,1,1,mid
mild,0,0.5015606880187988,1,1,mid
mild,0,0.6554885506629944,0,1,high
mild,0,0.5308191180229187,1,1,mid
mild,0,0.5701642036437988,1,1,high
mild,0,0.5274807214736938,1,1,mid
mild,0,0.505720317363739,1,1,mid
mild,0,0.6381298899650574,1,1,high
mild,0,0.572935938835144,0,0,high
mild,0,0.4924120008945465,1,1,low
mild,0,0.5045017004013062,1,1,mid
mild,0,0.518650472164154,1,1,mid
mild,0,0.6001942753791809,1,1,high
mild,0,0.542172908782959,0,0,mid
mild,0,0.5258733630180359,1,1,mid
mild,1,0.6509089469909668,1,1,high
mild,0,0.5162333846092224,1,1,mid
mild,0,0.5079090595245361,1,1,mid
mild,0,0.46329784393310547,1,1,low
mild,0,0.5665146112442017,1,1,high
mild,0,0.5055009722709656,0,1,mid
mild,0,0.5546888709068298,1,1,high
mild,0,0.490692138671875,1,1,low
mild,0,0.5454527139663696,1,1,mid
mild,0,0.699135422706604,1,1,high
mild,0,0.6263365149497986,1,1,high
mild,0,0.5187249183654785,1,1,mid
mild,0,0.5548945665359497,1,1,high
mild,0,0.5025135278701782,1,1,mid
mild,0,0.5207142233848572,1,1,mid
mild,0,0.5719265341758728,1,1,high
mild,0,0.5095430612564087,1,1,mid
mild,0,0.5336515307426453,1,1,mid
mild,0,0.5494370460510254,1,1,high
mild,0,0.62233966588974,0,0,high
mild,0,0.4862063527107239,1,1,low
