baseline,ece_lq,ece_hq,qcdi,taxonomy
A,0.34543358908270116,0.06992846228008603,0.27550512680261513,Quality-Oblivious
I,0.612870488576591,0.47776737012900417,0.13510311844758682,Quality-Oblivious
J,0.44035226937383415,0.33930835040907065,0.1010439189647635,Quality-Oblivious
G,0.3330567898415029,0.2768811304768962,0.05617565936460667,Quality-Fragile
H,0.5351292580366135,0.49220136983527074,0.042927888201342745,Quality-Fragile
D,0.14600895511374504,0.1275812626790463,0.018427692434698745,Quality-Aware
TS,0.17518766351044185,0.16235589197733338,0.012831771533108466,Quality-Aware
E,0.1490301035616237,0.13835327238064365,0.010676831180980034,Quality-Aware
F,0.14894439621207617,0.13987081737981907,0.009073578832257095,Quality-Aware
D+QCTS,0.04673018074971544,0.06200721088227542,-0.01527703013255998,Quality-Aware
