baseline,subset,auc_mean,auc_std,ece_mean,ece_std,n_seeds
D,ITB-LQ,0.7173148148148147,0.012248695550770853,0.5724018571939733,0.029286989233040777,3
D,ITB-Edge,0.8779198232323232,0.00747981241081893,0.41862367537211287,0.030763339968705113,3
D,ITB-HQ,0.8652424125514403,0.007468593829311564,0.4702024860583522,0.02345535923521924,3
D,ITB-Diverse,0.5926739408634741,0.014616750281169823,0.6525759320325322,0.0030860939409623005,3
E,ITB-LQ,0.7257638888888889,0.006495561756373687,0.5429870591809353,0.09610409663285188,3
E,ITB-Edge,0.879744413835323,0.006729122081979004,0.3728348356982072,0.10620351021787665,3
E,ITB-HQ,0.8632008744855968,0.008522973462409133,0.4081479650542692,0.11984479899957336,3
E,ITB-Diverse,0.6062564827911362,0.02477314942179165,0.6376093102031284,0.027103513983755337,3
F,ITB-LQ,0.7257638888888889,0.006527777777777799,0.5416605425377686,0.09876357627352392,3
F,ITB-Edge,0.8798113712886441,0.006800878421513734,0.37185364848360264,0.10825772474388091,3
F,ITB-HQ,0.8633535879629629,0.00831103417815297,0.40705898250970574,0.12212770966644346,3
F,ITB-Diverse,0.6062595137064727,0.024602027438648102,0.6374021878010697,0.027536202259109528,3
