model,mode,psnr_perimg,ssim,dAUC,dAUC_ci_lo,dAUC_ci_hi,consistency,kl,dKL,dKL_ci_lo,dKL_ci_hi,dangerous_flip,mcnemar_enh_ref_p,mcnemar_b,mcnemar_c,mcnemar_p,n_pos,mel_salvage,mel_damage,mel_salvage_rate,mel_damage_rate,mel_net_change,mel_psnr_mean
nafnet_ft_r1,r1,32.87,0.9181,-0.058,-0.0707,-0.0457,0.806,0.4953,0.4957,0.4745,0.5167,0.0405,0.0,1967.0,144.0,0.0,,,,,,,
nafnet_ft_r1 [mel_perclass],r1,,,,,,,,,,,,,,,,351.0,69.0,9.0,0.1966,0.0256,60.0,29.6
