form,ece_lq,ece_hq,qcdi,rho,val_nll
softplus,0.04673018074971544,0.062007210882275406,-0.015277030132559967,-0.24908067319028518,0.15184256146125227
linear,0.0978623975111255,0.10205323501623963,-0.00419083750511412,-0.240181654066035,0.14243465594346702
piecewise,0.10053796514129565,0.07166066518850384,0.028877299952791813,-0.005716622652163819,0.1397935659155058
