baseline,baseline_name,subset,n,auc,acc,f1,ece,mean_entropy,sensitivity_at_95spec
D,Std VIB,ITB-Diverse,1500,0.6029622145888058,0.3286666666666666,0.4932058379466532,0.6509760936498642,0.0826554894447326,0.0489795918367346
D,Std VIB,ITB-Edge,660,0.8771522038567493,0.6090909090909091,0.4901185770750988,0.4086238495553985,0.3434843719005584,0.3863636363636363
D,Std VIB,ITB-HQ,360,0.8603877314814814,0.5333333333333333,0.4545454545454545,0.4705553331722816,0.3290924429893493,0.3333333333333333
D,Std VIB,ITB-LQ,300,0.7058333333333333,0.43,0.3914590747330961,0.543777914394935,0.2962096333503723,0.1166666666666666
E,Adaptive Prior,ITB-Diverse,1500,0.6322842998585573,0.3626666666666667,0.5015641293013556,0.6066249608794849,0.130072072148323,0.1061224489795918
E,Adaptive Prior,ITB-Edge,660,0.8820161845730028,0.7439393939393939,0.5907990314769975,0.2543675345453349,0.2632107436656952,0.4166666666666667
E,Adaptive Prior,ITB-HQ,360,0.855565200617284,0.7027777777777777,0.5367965367965368,0.2720850979495379,0.281508058309555,0.4305555555555556
E,Adaptive Prior,ITB-LQ,300,0.7255555555555555,0.5166666666666667,0.4176706827309236,0.4330288460105657,0.2478619366884231,0.15
G,Q-VIB+TokFT,ITB-Diverse,1500,0.6320994140230349,0.3626666666666667,0.5015641293013556,0.6059063581526279,0.1311284601688385,0.1061224489795918
G,Q-VIB+TokFT,ITB-Edge,660,0.8823031450872361,0.7454545454545455,0.5922330097087378,0.2508212327957153,0.2638317346572876,0.4166666666666667
G,Q-VIB+TokFT,ITB-HQ,360,0.8560956790123457,0.7055555555555556,0.5350877192982456,0.2682583420226971,0.2823895215988159,0.4305555555555556
G,Q-VIB+TokFT,ITB-LQ,300,0.7257638888888889,0.5266666666666666,0.4227642276422764,0.4285591640571753,0.2502662241458893,0.1666666666666666
F,Q-VIB Full,ITB-Diverse,1500,0.6320994140230349,0.3626666666666667,0.5015641293013556,0.6059063581526279,0.1311284601688385,0.10612244897959183
F,Q-VIB Full,ITB-Edge,660,0.8823031450872361,0.7454545454545455,0.5922330097087378,0.25082123279571533,0.2638317346572876,0.4166666666666667
F,Q-VIB Full,ITB-HQ,360,0.8560956790123457,0.7055555555555556,0.5350877192982456,0.26825834202269716,0.2823895215988159,0.4305555555555556
F,Q-VIB Full,ITB-LQ,300,0.7257638888888889,0.5266666666666666,0.42276422764227645,0.4285591640571753,0.2502662241458893,0.16666666666666666
