axis,psnr_deg,psnr_enh,ssim_enh,n
brightness,13.702001451929695,37.67837820615906,0.9871056409341092,2000
color_shift,25.828328375437927,33.7686471450877,0.9886251851550744,2000
contrast,32.29400918389829,29.109888545940095,0.970292480534157,2000
blur,36.66795826016221,35.8212527223287,0.9216247777850101,2000
