model,psnr_perimg,ssim,dAUC,consistency,kl,dangerous_flip,mcnemar_enh_ref_p,dAUC_ci_lo,dAUC_ci_hi,dKL,dKL_ci_lo,dKL_ci_hi,mcnemar_b,mcnemar_c,mcnemar_p
VisiEnhance (v5 FiLM DP),32.79,0.9072,-0.0172,0.9545,0.1005,0.1937,0.2425,,,,,,,,
Real-ESRGAN (x2),21.61,0.8175,-0.0832,0.8512,0.3455,0.2342,0.0,,,,,,,,
PAIRED(Real-ESRGAN (x2)−VisiEnhance (v5 FiLM DP)),,,-0.0661,,,,,-0.0823,-0.0501,0.2451,0.2274,0.2637,1314.0,238.0,2.767033383213031e-180
