model,psnr_perimg,ssim,dAUC,consistency,kl,dangerous_flip,mcnemar_enh_ref_p,dAUC_ci_lo,dAUC_ci_hi,dKL,dKL_ci_lo,dKL_ci_hi,mcnemar_b,mcnemar_c,mcnemar_p
VisiEnhance (v5 FiLM DP),32.79,0.9072,-0.0172,0.9545,0.1005,0.1937,0.2425,,,,,,,,
SwinIR (colorDN),21.69,0.7864,-0.1335,0.8209,0.3632,0.4775,0.0,,,,,,,,
PAIRED(SwinIR (colorDN)−VisiEnhance (v5 FiLM DP)),,,-0.116,,,,,-0.1353,-0.0976,0.2627,0.2472,0.2791,1492.0,380.0,2.7299383977659175e-155
