model,auc_ref,auc_deg,auc_enh,dAUC,consistency
Stage1 (no DP),0.9093,0.8044,0.8384,0.0709,0.8483
"Stage2 (DP, HPC)",0.9093,0.8044,0.8331,0.0762,0.873
