method,T0,alpha,ece_lq,ece_hq,qcdi,rho,val_nll
5-head IQA (ours),0.5118216247002567,0.9504636963259353,0.11453404351484206,0.08876792593329977,0.02576611758154229,-0.14693057252160732,0.19592273208543529
BRISQUE,2.223487144070864,0.0,0.09538011060271825,0.09089288962038822,0.004487220982330037,-0.15290609523870857,0.14168167406236207
CLIP-IQA,2.15216342923042,0.08680857972666235,0.0951698133228068,0.10033408095222007,-0.005164267629413272,-0.15081533409810394,0.1416778477870885
RF-Stat,2.0475272127268447,0.3405999714685341,0.09537033845147713,0.09520823421596601,0.00016210423551112074,-0.15016902594772366,0.14165883890972908
LaplacianVar,0.5118216247002567,0.9504636963259353,0.11860227455252187,0.07694757432758492,0.04165470022493695,-0.1099535365125704,0.17561069820877404
