axis,severity_level,severity_value,auc,auc_ci_lo,auc_ci_hi,ece,ece_ci_lo,ece_ci_hi,n,auc_enhanced,recoverability_delta,recoverability_ci_lo,recoverability_ci_hi
blur,1,0.5,0.921875,0.8907317512074674,0.948979870180478,0.07992876845743241,0.058849887775612966,0.11649763654911648,360,0.923900462962963,0.002029771175814135,-0.006706470524829716,0.010749222624264096
blur,2,0.8,0.9123263888888888,0.8781650039077302,0.9426457030015807,0.1333631340506498,0.1036158890711071,0.16984446827052804,360,0.9249131944444444,0.012513343670620852,-0.002606374959607746,0.027869508631769624
blur,3,1.5,0.8773630401234568,0.8374961641391615,0.9152680320593148,0.19649433728944435,0.16440231955299092,0.24535334101078585,360,0.9276138117283951,0.05003957792413194,0.024038702629266807,0.07766198111364231
blur,4,2.5,0.8546006944444444,0.8097964889933967,0.8958117314373816,0.19965980037443137,0.16582948331288233,0.24384083521903477,360,0.9151234567901235,0.05984292637087881,0.028267558886488284,0.09433014711544672
blur,5,3.5,0.8307291666666667,0.7812821527099105,0.8763235485103132,0.1833187444152524,0.14622385488213946,0.22665460208799837,360,0.8943865740740742,0.06341937099131931,0.027381069310600647,0.10047835877424148
brightness,1,1.0,0.923755787037037,0.8931924960917144,0.9506953138103188,0.0744968404220319,0.05609966756291389,0.11356116200248612,360,0.9242862654320988,0.0005205809516268593,-0.00525700530996101,0.0067521098613661035
brightness,2,0.925,0.9239004629629629,0.8906243528205334,0.952329778306094,0.08384190109375392,0.061200719932090995,0.11994450613958477,360,0.9249131944444444,0.0009552874638820576,-0.005476221165271347,0.007666232073011758
brightness,3,0.75,0.9181616512345678,0.8849294442371753,0.9484285752096012,0.07682676100598909,0.0568960638348073,0.11353707328724362,360,0.9236111111111112,0.005352661204448409,-0.002864610607347337,0.014395106781335945
brightness,4,0.52,0.9039351851851851,0.8656026901858703,0.9387213826645823,0.09229316243397788,0.06681399176969081,0.1251511633917448,360,0.9225501543209875,0.01863412641557778,0.003007613035622511,0.036716602254251204
brightness,5,0.345,0.9061053240740742,0.8678705771879541,0.9398260900772061,0.09400972161176673,0.06933661596002871,0.13438638465383743,360,0.9199942129629629,0.013967223181120982,-0.0077651090980152635,0.03649333420847279
contrast,1,1.0,0.923755787037037,0.8931924960917144,0.9506953138103188,0.0744968404220319,0.05609966756291389,0.11356116200248612,360,0.9242862654320988,0.0005205809516268593,-0.00525700530996101,0.0067521098613661035
contrast,2,0.925,0.9244309413580247,0.8917740867319814,0.9522785630719038,0.07656660456948555,0.05684799567585795,0.11510818165381746,360,0.9249614197530864,0.0004862746459836835,-0.0054394194139161245,0.006253722904113453
contrast,3,0.695,0.9229841820987654,0.8908043674273499,0.9509372186353483,0.08407160802451522,0.061090042063398575,0.11916097539725252,360,0.9202353395061729,-0.0027889245573046928,-0.00954722591607567,0.004009114129803713
contrast,4,0.42,0.9221161265432098,0.8908351720097549,0.9505336849295755,0.08410340457663147,0.06371418407322212,0.11972340088955112,360,0.9210551697530864,-0.0010777910375764275,-0.012564090948814943,0.010491071428571424
contrast,5,0.19,0.9084683641975309,0.8712883545240314,0.9409383181921743,0.10912358896821135,0.08438010105588772,0.15061333841533608,360,0.8734085648148149,-0.03554191257097287,-0.07829742152199821,-0.0013322604634662465
color_shift,1,0.02,0.923852237654321,0.8931182258667768,0.9505257703105109,0.07698306623526477,0.05848468398409781,0.1148314280070606,360,0.9245273919753085,0.0007257649534768692,-0.004819964406621977,0.006480821846668574
color_shift,2,0.05,0.9233217592592593,0.8906396620142311,0.9518443742127936,0.08038201211773335,0.060305789155017546,0.11845845665852425,360,0.9261188271604939,0.002758400060945272,-0.003307569077387426,0.00944280707873825
color_shift,3,0.12,0.9126639660493827,0.8786978523185899,0.943260280563278,0.09091187450130875,0.0641114138098628,0.12635802286873796,360,0.9252025462962963,0.012420918075562138,0.0027387810892510024,0.02254815942992346
color_shift,4,0.22,0.8974729938271605,0.8601272105883209,0.9314591906316633,0.10041967586389419,0.073744206733446,0.1385474508030275,360,0.9248649691358025,0.027517807819711585,0.012265787046436539,0.045336258339510736
color_shift,5,0.34,0.8869598765432098,0.845262104008847,0.9237804093567251,0.09879134857821757,0.0753148014363138,0.14017147465159185,360,0.9231288580246914,0.03613639550930976,0.014388589640495806,0.058288717058463634
completeness,1,1.0,0.923755787037037,0.8931924960917144,0.9506953138103188,0.0744968404220319,0.05609966756291389,0.11356116200248612,360,0.9242862654320988,0.0005205809516268593,-0.00525700530996101,0.0067521098613661035
completeness,2,0.95,0.9278549382716049,0.8969996663491975,0.9546447517840653,0.0789544170875931,0.056378296744634154,0.1137971255188016,360,0.9284818672839505,0.0004885753756525784,-0.013843764314922593,0.01207188531886186
completeness,3,0.82,0.9291570216049383,0.9007052959857388,0.9545373904096588,0.09208583780935112,0.07024784224376183,0.13191529150333342,360,0.9291087962962963,-7.604397507492577e-05,-0.011734693359439441,0.011771551527445917
completeness,4,0.645,0.9125192901234567,0.879213183394048,0.9408015740397304,0.15926644486945507,0.12801331322630113,0.1998173676871311,360,0.924045138888889,0.011592237270387312,-0.008617742454013939,0.031907061688311755
completeness,5,0.515,0.8721547067901234,0.8271916279171031,0.9121713397222433,0.254929247712102,0.21766435179036006,0.29705968410973366,360,0.8959297839506173,0.023629440977460968,-0.00785176606247644,0.05720081548885898
