method,ece_lq,ece_hq,qcdi,rho,rho_p,n_lq,n_hq
Std TS (Edge-fit),0.08759192363722597,0.0867716615886363,0.0008202620485896622,-0.05392977658734933,0.16640073408296313,300,360
"QCTS (val-fit, original)",0.07924476487154276,0.07538175218162037,0.003863012689922396,-0.22592814234853387,4.377717483901455e-09,300,360
QCTS (Edge-fit),0.07579509276015081,0.08042611329227463,-0.004631020532123817,0.01748772857385686,0.6538280690531852,300,360
Platt-Quality (Edge-fit),0.04253146166653213,0.052068335927583725,-0.009536874261051598,0.19511297563310276,4.3796246070285086e-07,300,360
Isotonic-Quality (Edge-fit),0.05586468973236103,0.14956640999307053,-0.0937017202607095,0.6290773292012944,5.200076886715398e-74,300,360
