baseline,baseline_name,subset,n,auc,acc,f1,ece,mean_entropy,sensitivity_at_95spec
D,Std VIB,ITB-Diverse,1500,0.5759426146696303,0.328,0.4929577464788732,0.656133452296257,0.0686497762799263,0.0979591836734693
D,Std VIB,ITB-Edge,660,0.8708534205693296,0.556060606060606,0.4701627486437613,0.4531428311358798,0.2893245220184326,0.3636363636363636
D,Std VIB,ITB-HQ,360,0.8614969135802469,0.5027777777777778,0.438871473354232,0.4934794311515159,0.2821939587593078,0.3333333333333333
D,Std VIB,ITB-LQ,300,0.7159027777777778,0.3566666666666667,0.3754045307443365,0.6023096665740013,0.2439361065626144,0.1166666666666666
E,Adaptive Prior,ITB-Diverse,1500,0.5829652455041423,0.328,0.4929577464788732,0.6569196052153905,0.0682481750845909,0.0918367346938775
E,Adaptive Prior,ITB-Edge,660,0.8721734389348026,0.5484848484848485,0.4659498207885305,0.4595149705807367,0.2890204787254333,0.3863636363636363
E,Adaptive Prior,ITB-HQ,360,0.8616415895061729,0.5027777777777778,0.4423676012461059,0.4980414203264647,0.2812148928642273,0.3194444444444444
E,Adaptive Prior,ITB-LQ,300,0.719375,0.3466666666666667,0.3717948717948718,0.6109234381218751,0.2397100627422332,0.1166666666666666
F,Q-VIB Full,ITB-Diverse,1500,0.583117801576076,0.328,0.49295774647887325,0.6569252808888753,0.06820917129516602,0.09183673469387756
F,Q-VIB Full,ITB-Edge,660,0.872116046831956,0.5484848484848485,0.4659498207885305,0.4594456893025023,0.2890831232070923,0.38636363636363635
F,Q-VIB Full,ITB-HQ,360,0.8615451388888888,0.5027777777777778,0.4423676012461059,0.49804550479683607,0.28121477365493774,0.3194444444444444
F,Q-VIB Full,ITB-LQ,300,0.7192361111111111,0.3466666666666667,0.3717948717948718,0.6108722995718321,0.23975397646427155,0.11666666666666667
