backbone,probe_type,label_frac,domain,split,mAUC,per_class_auc,seed,n_train,n_test,seconds,timestamp
chexworld,linear,1,nih,probe_train_1pct.txt,60.8864,"[64.4699, 78.4907, 76.7816, 61.6347, 65.0455, 57.7997, 45.9447, 69.4514, 60.7036, 64.7102, 67.3437, 48.7706, 45.9512, 45.312]",0,697,25596,1.4,2026-06-29 18:52:07
chexworld,linear,10,nih,probe_train_10pct.txt,72.4112,"[70.9315, 83.8718, 78.7723, 65.6428, 75.3492, 65.3348, 57.0882, 81.5147, 67.6849, 81.9395, 81.8313, 67.0013, 73.5178, 63.2772]",0,7896,25596,5.5,2026-06-29 18:52:13
