conspicuity_col,coverage,retained_n,ad_auroc
cnr_proxy_otsu,0.1,278,0.5885
cnr_proxy_otsu,0.15,417,0.567
cnr_proxy_otsu,0.2,556,0.5532
cnr_proxy_otsu,0.25,694,0.5653
cnr_proxy_otsu,0.3,833,0.5795
cnr_proxy_otsu,0.35,972,0.5871
cnr_proxy_otsu,0.4,1111,0.5879
cnr_proxy_otsu,0.45,1250,0.5922
cnr_proxy_otsu,0.5,1388,0.5917
cnr_proxy_otsu,0.55,1527,0.5957
cnr_proxy_otsu,0.6,1666,0.5967
cnr_proxy_otsu,0.65,1805,0.6028
cnr_proxy_otsu,0.7,1944,0.615
cnr_proxy_otsu,0.75,2082,0.6251
cnr_proxy_otsu,0.8,2221,0.6341
cnr_proxy_otsu,0.85,2360,0.6445
cnr_proxy_otsu,0.9,2499,0.6572
cnr_proxy_otsu,0.95,2638,0.6723
cnr_proxy_otsu,1.0,2776,0.6857
