conspicuity_col,coverage,retained_n,ad_auroc
glcm_contrast,0.1,278,0.7663
glcm_contrast,0.15,417,0.7456
glcm_contrast,0.2,556,0.775
glcm_contrast,0.25,694,0.783
glcm_contrast,0.3,833,0.7779
glcm_contrast,0.35,972,0.7804
glcm_contrast,0.4,1111,0.7721
glcm_contrast,0.45,1250,0.7699
glcm_contrast,0.5,1388,0.7631
glcm_contrast,0.55,1527,0.7583
glcm_contrast,0.6,1666,0.7534
glcm_contrast,0.65,1805,0.7414
glcm_contrast,0.7,1944,0.7292
glcm_contrast,0.75,2082,0.7214
glcm_contrast,0.8,2221,0.7165
glcm_contrast,0.85,2360,0.7029
glcm_contrast,0.9,2499,0.6935
glcm_contrast,0.95,2638,0.6839
glcm_contrast,1.0,2776,0.6857
