size_bin,contrast_bin,n,n_detected,detection_rate,size_mean,contrast_mean,anomaly_score_mean
0,0,391,9,0.023,46.07,0.1236,0.02743
0,1,169,7,0.0414,66.12,0.2134,0.029543
0,2,88,1,0.0114,69.39,0.3132,0.029711
1,0,138,3,0.0217,157.57,0.1392,0.029086
1,1,273,10,0.0366,160.01,0.2201,0.031604
1,2,238,22,0.0924,167.58,0.3286,0.034231
2,0,121,6,0.0496,292.32,0.1373,0.033733
2,1,207,30,0.1449,317.28,0.2255,0.036921
2,2,323,107,0.3313,322.21,0.3368,0.042624
