conspicuity_col,coverage,retained_n,ad_auroc
sigma_global,0.1,278,0.9368
sigma_global,0.15,417,0.9112
sigma_global,0.2,556,0.8678
sigma_global,0.25,694,0.8451
sigma_global,0.3,833,0.8266
sigma_global,0.35,972,0.8083
sigma_global,0.4,1111,0.7892
sigma_global,0.45,1250,0.7919
sigma_global,0.5,1388,0.7869
sigma_global,0.55,1527,0.7745
sigma_global,0.6,1666,0.767
sigma_global,0.65,1805,0.7522
sigma_global,0.7,1944,0.7406
sigma_global,0.75,2082,0.7304
sigma_global,0.8,2221,0.7179
sigma_global,0.85,2360,0.7052
sigma_global,0.9,2499,0.6914
sigma_global,0.95,2638,0.6837
sigma_global,1.0,2776,0.6857
