conspicuity_col,coverage,retained_n,ad_auroc
glcm_cluster_prom,0.1,278,0.9344
glcm_cluster_prom,0.15,417,0.9397
glcm_cluster_prom,0.2,556,0.9088
glcm_cluster_prom,0.25,694,0.9003
glcm_cluster_prom,0.3,833,0.8958
glcm_cluster_prom,0.35,972,0.8667
glcm_cluster_prom,0.4,1111,0.8487
glcm_cluster_prom,0.45,1250,0.8122
glcm_cluster_prom,0.5,1388,0.7965
glcm_cluster_prom,0.55,1527,0.7882
glcm_cluster_prom,0.6,1666,0.7738
glcm_cluster_prom,0.65,1805,0.7617
glcm_cluster_prom,0.7,1944,0.7445
glcm_cluster_prom,0.75,2082,0.7298
glcm_cluster_prom,0.8,2221,0.718
glcm_cluster_prom,0.85,2360,0.709
glcm_cluster_prom,0.9,2499,0.6966
glcm_cluster_prom,0.95,2638,0.6843
glcm_cluster_prom,1.0,2776,0.6857
