model,seed,label_mode,final_epoch,dice,loss,status,job,note
M3D-NCA,0,binary_all,1000,0.8313108139658627,0.14174626688280048,done,1514946,Phase1a A1 肾前景二分类对照(收敛)
M3D-NCA,0,cyst,1000,5.802879594776729e-06,0.945843799286578,done,1515817,Phase1b A2 囊肿label3
M3D-NCA,1,cyst,1000,4.6291579938914675e-06,0.9283124127171256,done,1515818,Phase1b A2 囊肿label3
M3D-NCA,2,cyst,1000,5.468930283637896e-06,0.9455109224086855,done,1515819,Phase1b A2 囊肿label3
UNet3D,0,cyst,903,2.3107006125254174e-07,0.5485630283280422,timeout,1516006,Phase1c A3 同口径对照(TIMEOUT ep903/1000 14h墙时限 非严格同口径 Dice≈0平凡解 HPC直读真值)
