bb_idx,MT_NeoTImmuML,WT_NeoTImmuML
0,0.1584239319985266,0.1432114241690599
1,0.1584239319985266,0.1432114241690599
2,0.1584239319985266,0.1432114241690599
3,0.1584239319985266,0.1432114241690599
4,0.1762579186094608,0.1234749467207406
5,0.1762579186094608,0.1234749467207406
6,0.1762579186094608,0.1234749467207406
7,0.1762579186094608,0.1234749467207406
8,0.1645174780312774,0.1577892585363941
9,0.1645174780312774,0.1577892585363941
10,0.1645174780312774,0.1577892585363941
11,0.1645174780312774,0.1577892585363941
12,0.1266926071899699,0.115415423203328
13,0.1266926071899699,0.115415423203328
14,0.1266926071899699,0.115415423203328
15,0.1266926071899699,0.115415423203328
16,0.0316519694301345,0.0302276191876961
17,0.0316519694301345,0.0302276191876961
18,0.0316519694301345,0.0302276191876961
19,0.0316519694301345,0.0302276191876961
20,0.0831163797240583,0.0880554899865768
21,0.0831163797240583,0.0880554899865768
22,0.0831163797240583,0.0880554899865768
23,0.0831163797240583,0.0880554899865768
24,0.1771135605045614,0.2086841953400176
25,0.1771135605045614,0.2086841953400176
26,0.1771135605045614,0.2086841953400176
27,0.1771135605045614,0.2086841953400176
28,0.1632699219454879,0.2124875586276127
29,0.1632699219454879,0.2124875586276127
30,0.1632699219454879,0.2124875586276127
31,0.1632699219454879,0.2124875586276127
32,0.1851310564953991,0.2103099850652009
33,0.1851310564953991,0.2103099850652009
34,0.1851310564953991,0.2103099850652009
35,0.1851310564953991,0.2103099850652009
36,0.2700814679870442,0.286205158254784
37,0.2700814679870442,0.286205158254784
38,0.2700814679870442,0.286205158254784
39,0.2700814679870442,0.286205158254784
40,0.3376109569098049,0.4341343689865642
41,0.3376109569098049,0.4341343689865642
42,0.3376109569098049,0.4341343689865642
43,0.3376109569098049,0.4341343689865642
44,0.4384035246303153,0.5813644459009838
45,0.4384035246303153,0.5813644459009838
46,0.4384035246303153,0.5813644459009838
47,0.4384035246303153,0.5813644459009838
48,0.2507818681777604,0.3374959587464812
49,0.2507818681777604,0.3374959587464812
50,0.2507818681777604,0.3374959587464812
51,0.2507818681777604,0.3374959587464812
52,0.1627276187038452,0.1730167071033544
53,0.1627276187038452,0.1730167071033544
54,0.1627276187038452,0.1730167071033544
55,0.1627276187038452,0.1730167071033544
56,0.2688006237831781,0.2323105890699047
57,0.2688006237831781,0.2323105890699047
58,0.2688006237831781,0.2323105890699047
59,0.2688006237831781,0.2323105890699047
60,0.1183754031764577,0.0712952888458278
61,0.1183754031764577,0.0712952888458278
62,0.1183754031764577,0.0712952888458278
63,0.1183754031764577,0.0712952888458278
64,0.1225475337000199,0.1079472504572992
65,0.1225475337000199,0.1079472504572992
66,0.1225475337000199,0.1079472504572992
67,0.1225475337000199,0.1079472504572992
68,0.2533770375425758,0.2967106627275589
69,0.2533770375425758,0.2967106627275589
70,0.2533770375425758,0.2967106627275589
71,0.2533770375425758,0.2967106627275589
72,0.1584239319985266,0.1432114241690599
73,0.1584239319985266,0.1432114241690599
74,0.1584239319985266,0.1432114241690599
75,0.1584239319985266,0.1432114241690599
76,0.1762579186094608,0.1234749467207406
77,0.1762579186094608,0.1234749467207406
78,0.1762579186094608,0.1234749467207406
79,0.1762579186094608,0.1234749467207406
80,0.1645174780312774,0.1577892585363941
81,0.1645174780312774,0.1577892585363941
82,0.1645174780312774,0.1577892585363941
83,0.1645174780312774,0.1577892585363941
84,0.1266926071899699,0.115415423203328
85,0.1266926071899699,0.115415423203328
86,0.1266926071899699,0.115415423203328
87,0.1266926071899699,0.115415423203328
88,0.0316519694301345,0.0302276191876961
89,0.0316519694301345,0.0302276191876961
90,0.0316519694301345,0.0302276191876961
91,0.0316519694301345,0.0302276191876961
92,0.0831163797240583,0.0880554899865768
93,0.0831163797240583,0.0880554899865768
94,0.0831163797240583,0.0880554899865768
95,0.0831163797240583,0.0880554899865768
96,0.1771135605045614,0.2086841953400176
97,0.1771135605045614,0.2086841953400176
98,0.1771135605045614,0.2086841953400176
99,0.1771135605045614,0.2086841953400176
100,0.1632699219454879,0.2124875586276127
101,0.1632699219454879,0.2124875586276127
102,0.1632699219454879,0.2124875586276127
103,0.1632699219454879,0.2124875586276127
104,0.1851310564953991,0.2103099850652009
105,0.1851310564953991,0.2103099850652009
106,0.1851310564953991,0.2103099850652009
107,0.1851310564953991,0.2103099850652009
108,0.073759655784233,0.0904128543245883
109,0.073759655784233,0.0904128543245883
110,0.073759655784233,0.0904128543245883
111,0.073759655784233,0.0904128543245883
112,0.1220352761017913,0.1263049129594164
113,0.1220352761017913,0.1263049129594164
114,0.1220352761017913,0.1263049129594164
115,0.1220352761017913,0.1263049129594164
116,0.1242456888195634,0.1161505271179711
117,0.1242456888195634,0.1161505271179711
118,0.1242456888195634,0.1161505271179711
119,0.1242456888195634,0.1161505271179711
120,0.0548543391911537,0.042301428161808
121,0.0548543391911537,0.042301428161808
122,0.0548543391911537,0.042301428161808
123,0.0548543391911537,0.042301428161808
124,0.1082004565319303,0.0586473196842042
125,0.1082004565319303,0.0586473196842042
126,0.1082004565319303,0.0586473196842042
127,0.1082004565319303,0.0586473196842042
128,0.0622171164950211,0.0505404048985611
129,0.0622171164950211,0.0505404048985611
130,0.0622171164950211,0.0505404048985611
131,0.0622171164950211,0.0505404048985611
132,0.0887193016845725,0.0926216858341793
133,0.0887193016845725,0.0926216858341793
134,0.0887193016845725,0.0926216858341793
135,0.0887193016845725,0.0926216858341793
136,0.1595634029532774,0.1002396604002867
137,0.1595634029532774,0.1002396604002867
138,0.1595634029532774,0.1002396604002867
139,0.1595634029532774,0.1002396604002867
140,0.1312094846993018,0.1163827822807264
141,0.1312094846993018,0.1163827822807264
142,0.1312094846993018,0.1163827822807264
143,0.1312094846993018,0.1163827822807264
144,0.2971398465338032,0.2234191064645776
145,0.2971398465338032,0.2234191064645776
146,0.2971398465338032,0.2234191064645776
147,0.2971398465338032,0.2234191064645776
148,0.4953700411872613,0.3617257428878901
149,0.4953700411872613,0.3617257428878901
150,0.4953700411872613,0.3617257428878901
151,0.4953700411872613,0.3617257428878901
152,0.4604804483685708,0.2727279907653452
153,0.4604804483685708,0.2727279907653452
154,0.4604804483685708,0.2727279907653452
155,0.4604804483685708,0.2727279907653452
156,0.6325598799155155,0.4718221989022661
157,0.6325598799155155,0.4718221989022661
158,0.6325598799155155,0.4718221989022661
159,0.6325598799155155,0.4718221989022661
160,0.208950276949916,0.1928664192763141
161,0.208950276949916,0.1928664192763141
162,0.208950276949916,0.1928664192763141
163,0.208950276949916,0.1928664192763141
164,0.2115462137622377,0.1468102647871462
165,0.2115462137622377,0.1468102647871462
166,0.2115462137622377,0.1468102647871462
167,0.2115462137622377,0.1468102647871462
168,0.2083581981551586,0.1620834606145522
169,0.2083581981551586,0.1620834606145522
170,0.2083581981551586,0.1620834606145522
171,0.2083581981551586,0.1620834606145522
172,0.2174730887354437,0.1949266342000522
173,0.2174730887354437,0.1949266342000522
174,0.2174730887354437,0.1949266342000522
175,0.2174730887354437,0.1949266342000522
176,0.2024669940719971,0.2385748916183695
177,0.2024669940719971,0.2385748916183695
178,0.2024669940719971,0.2385748916183695
179,0.2024669940719971,0.2385748916183695
180,0.1584239319985266,0.1432114241690599
181,0.1584239319985266,0.1432114241690599
182,0.1584239319985266,0.1432114241690599
183,0.1584239319985266,0.1432114241690599
184,0.1762579186094608,0.1234749467207406
185,0.1762579186094608,0.1234749467207406
186,0.1762579186094608,0.1234749467207406
187,0.1762579186094608,0.1234749467207406
188,0.1645174780312774,0.1577892585363941
189,0.1645174780312774,0.1577892585363941
190,0.1645174780312774,0.1577892585363941
191,0.1645174780312774,0.1577892585363941
192,0.1266926071899699,0.115415423203328
193,0.1266926071899699,0.115415423203328
194,0.1266926071899699,0.115415423203328
195,0.1266926071899699,0.115415423203328
196,0.0316519694301345,0.0302276191876961
197,0.0316519694301345,0.0302276191876961
198,0.0316519694301345,0.0302276191876961
199,0.0316519694301345,0.0302276191876961
200,0.0831163797240583,0.0880554899865768
201,0.0831163797240583,0.0880554899865768
202,0.0831163797240583,0.0880554899865768
203,0.0831163797240583,0.0880554899865768
204,0.1771135605045614,0.2086841953400176
205,0.1771135605045614,0.2086841953400176
206,0.1771135605045614,0.2086841953400176
207,0.1771135605045614,0.2086841953400176
208,0.1632699219454879,0.2124875586276127
209,0.1632699219454879,0.2124875586276127
210,0.1632699219454879,0.2124875586276127
211,0.1632699219454879,0.2124875586276127
212,0.1851310564953991,0.2103099850652009
213,0.1851310564953991,0.2103099850652009
214,0.1851310564953991,0.2103099850652009
215,0.1851310564953991,0.2103099850652009
216,0.2958138135693015,0.3817084973008653
217,0.2958138135693015,0.3817084973008653
218,0.2958138135693015,0.3817084973008653
219,0.2958138135693015,0.3817084973008653
220,0.1981791478806073,0.1751232713234075
221,0.1981791478806073,0.1751232713234075
222,0.1981791478806073,0.1751232713234075
223,0.1981791478806073,0.1751232713234075
224,0.2671534472785889,0.1635660600060411
225,0.2671534472785889,0.1635660600060411
226,0.2671534472785889,0.1635660600060411
227,0.2671534472785889,0.1635660600060411
228,0.1886396451645786,0.1826233651760843
229,0.1886396451645786,0.1826233651760843
230,0.1886396451645786,0.1826233651760843
231,0.1886396451645786,0.1826233651760843
232,0.0507086398757819,0.0586109227375806
233,0.0507086398757819,0.0586109227375806
234,0.0507086398757819,0.0586109227375806
235,0.0507086398757819,0.0586109227375806
236,0.0465685897370062,0.0649472875529238
237,0.0465685897370062,0.0649472875529238
238,0.0465685897370062,0.0649472875529238
239,0.0465685897370062,0.0649472875529238
240,0.040230972752255,0.0971115343304773
241,0.040230972752255,0.0971115343304773
242,0.040230972752255,0.0971115343304773
243,0.040230972752255,0.0971115343304773
244,0.0430089783093676,0.0895860681582751
245,0.0430089783093676,0.0895860681582751
246,0.0430089783093676,0.0895860681582751
247,0.0430089783093676,0.0895860681582751
248,0.0708807562533169,0.1031510407213476
249,0.0708807562533169,0.1031510407213476
250,0.0708807562533169,0.1031510407213476
251,0.0708807562533169,0.1031510407213476
252,0.1776736570793569,0.093846373010515
253,0.1776736570793569,0.093846373010515
254,0.1776736570793569,0.093846373010515
255,0.1776736570793569,0.093846373010515
256,0.135741446315195,0.1013299200034069
