bb_idx,MT_TSCAPE
0,0.043985
1,0.344534
2,0.31032
3,0.055643
4,0.154112
5,0.416449
6,0.63983
7,0.149193
8,0.042729
9,0.226439
10,0.274874
11,0.05376
12,0.027816
13,0.279283
14,0.303024
15,0.040866
16,0.030595
17,0.231031
18,0.254055
19,0.05421
20,0.066631
21,0.294331
22,0.394164
23,0.074929
24,0.051503
25,0.2225
26,0.400194
27,0.053477
28,0.087318
29,0.417238
30,0.544542
31,0.115127
32,0.062297
33,0.379788
34,0.419274
35,0.070222
36,0.047458
37,0.274782
38,0.396781
39,0.062658
40,0.066546
41,0.272358
42,0.370682
43,0.071465
44,0.05144
45,0.305794
46,0.385208
47,0.06534
48,0.038619
49,0.27428
50,0.320723
51,0.048497
52,0.06795
53,0.485619
54,0.540489
55,0.099333
56,0.079949
57,0.329382
58,0.436538
59,0.107986
60,0.011486
61,0.102414
62,0.095171
63,0.022927
64,0.029948
65,0.225112
66,0.309448
67,0.042937
68,0.095051
69,0.371011
70,0.486421
71,0.108433
72,0.043985
73,0.344534
74,0.31032
75,0.055643
76,0.154112
77,0.416449
78,0.63983
79,0.149193
80,0.042729
81,0.226439
82,0.274874
83,0.05376
84,0.027816
85,0.279283
86,0.303024
87,0.040866
88,0.030595
89,0.231031
90,0.254055
91,0.05421
92,0.066631
93,0.294331
94,0.394164
95,0.074929
96,0.051503
97,0.2225
98,0.400194
99,0.053477
100,0.087318
101,0.417238
102,0.544542
103,0.115127
104,0.062297
105,0.379788
106,0.419274
107,0.070222
108,0.016613
109,0.110277
110,0.088528
111,0.033271
112,0.071533
113,0.333296
114,0.380393
115,0.079196
116,0.051055
117,0.268137
118,0.404905
119,0.067256
120,0.021569
121,0.218675
122,0.212911
123,0.041946
124,0.016099
125,0.104424
126,0.107171
127,0.034228
128,0.03315
129,0.207113
130,0.216549
131,0.03625
132,0.055127
133,0.345435
134,0.448632
135,0.077931
136,0.068204
137,0.340895
138,0.38062
139,0.080176
140,0.038176
141,0.344524
142,0.258014
143,0.05757
144,0.05053
145,0.43719
