bb_idx,MT_IMPROVE
0,0.33493619043640266
1,0.34170982906660335
2,0.3371617367211755
3,0.33420995984569957
4,0.2694613020991401
5,0.2812440499930244
6,0.2814450380291398
7,0.28329243275323074
8,0.3081486432198599
9,0.30940288088398865
10,0.31120934364817254
11,0.3053244395626751
12,0.33611123341521265
13,0.3349736072180112
14,0.3352077016474987
15,0.33857739496751177
16,0.31264652997065767
17,0.3104583994098793
18,0.31186842104124507
19,0.3137203956904729
20,0.29794190300114753
21,0.30171199113890135
22,0.30335263522935957
23,0.3013701342352591
24,0.3022631972929026
25,0.3155117307291603
26,0.3373717270113331
27,0.30115050080924216
28,0.3486444189683696
29,0.3406676652635347
30,0.37096622132719037
31,0.34825901912512464
32,0.3744520374909243
33,0.3748025707251639
34,0.37621656263524655
35,0.3888595112881171
36,0.39486728294110246
37,0.3966468676049888
38,0.39488219117941314
39,0.3938638526925292
40,0.3784770794190234
41,0.38443306855698917
42,0.3922008341216603
43,0.4308620137759701
44,0.37750433873702943
45,0.3767905218129591
46,0.38132397041837823
47,0.37758104388668307
48,0.34721223766884307
49,0.3285933767541237
50,0.3458717838581483
51,0.3482618743096461
52,0.35385073211114476
53,0.35072791451116814
54,0.35147703867778934
55,0.3487461255255062
56,0.3485273634901819
57,0.3256955864617518
58,0.3476635612665816
59,0.34569984281340405
60,0.3613222606184002
61,0.3611274948307991
62,0.3618516616146141
63,0.36203131464235233
64,0.347052612338204
65,0.33689362971052306
66,0.33754647154828954
67,0.3352419878666008
68,0.3484940783681648
69,0.3355862193384069
70,0.33685639240917675
71,0.33619910266697517
72,0.33493619043640266
73,0.34170982906660335
74,0.3371617367211755
75,0.33420995984569957
76,0.2694613020991401
77,0.2812440499930244
78,0.2814450380291398
79,0.28329243275323074
80,0.3081486432198599
81,0.30940288088398865
82,0.31120934364817254
83,0.3053244395626751
84,0.33611123341521265
85,0.3349736072180112
86,0.3352077016474987
87,0.33857739496751177
88,0.31264652997065767
89,0.3104583994098793
90,0.31186842104124507
91,0.3137203956904729
92,0.29794190300114753
93,0.30171199113890135
94,0.30335263522935957
95,0.3013701342352591
96,0.3022631972929026
97,0.3155117307291603
98,0.3373717270113331
99,0.30115050080924216
100,0.3486444189683696
101,0.3406676652635347
102,0.37096622132719037
103,0.34825901912512464
104,0.3744520374909243
105,0.3748025707251639
106,0.37621656263524655
107,0.3888595112881171
108,0.3815434428318729
109,0.3925667950606263
110,0.38992731907988143
111,0.38894654620203206
112,0.32491114796972365
113,0.328814886215597
114,0.32754427377187073
115,0.3255457624329858
116,0.2908751094758477
117,0.2888554399924733
118,0.2902142551626248
119,0.28690881260649176
120,0.27315978513811306
121,0.2786430529885135
122,0.2733734999721905
123,0.280564928422275
124,0.2387132285173726
125,0.2689382451530141
126,0.26165005178982303
127,0.2549057401025827
128,0.29073891042339545
129,0.2865171452538896
130,0.28413129242826035
131,0.2727568934779857
132,0.28361748603180176
133,0.28585704583402466
134,0.28494264335807606
135,0.28974935526531265
136,0.2346742236997489
137,0.26570341241970635
138,0.26071101696979926
139,0.2644417172147138
140,0.3092914368491516
141,0.3050608171655521
142,0.3092624563345234
143,0.305047095982167
144,0.38884460981046376
145,0.38880221812879656
146,0.3864999546845399
147,0.3886682916755361
148,0.278012160892947
149,0.31595368131854173
150,0.27707284072302707
151,0.2967819806216959
152,0.2714069464896043
153,0.27701951819200277
154,0.27677798314112917
155,0.27777371463506356
156,0.2591740072249542
157,0.2607257611511505
158,0.26078832409123776
159,0.2627960750660597
160,0.26817074065268354
161,0.2690019931799908
162,0.26744360097700176
163,0.26665737032495934
164,0.2406732131410656
165,0.2703197947097628
166,0.26295863033388617
167,0.24914237593911376
168,0.31687042709994495
169,0.31874116040121986
170,0.31651248564663514
171,0.3154253872969021
172,0.3364025672718509
173,0.32661061415659287
174,0.32755152916715896
175,0.3371843507462883
176,0.34359840175041434
177,0.341168331804286
178,0.34082420219069903
179,0.3412080314115394
180,0.33493619043640266
181,0.34170982906660335
182,0.3371617367211755
183,0.33420995984569957
184,0.2694613020991401
185,0.2812440499930244
186,0.2814450380291398
187,0.28329243275323074
188,0.3081486432198599
189,0.30940288088398865
190,0.31120934364817254
191,0.3053244395626751
192,0.33611123341521265
193,0.3349736072180112
194,0.3352077016474987
195,0.33857739496751177
196,0.31264652997065767
197,0.3104583994098793
198,0.31186842104124507
199,0.3137203956904729
200,0.29794190300114753
201,0.30171199113890135
202,0.30335263522935957
203,0.3013701342352591
204,0.3022631972929026
205,0.3155117307291603
206,0.3373717270113331
207,0.30115050080924216
208,0.3486444189683696
209,0.3406676652635347
210,0.37096622132719037
211,0.34825901912512464
212,0.3744520374909243
213,0.3748025707251639
214,0.37621656263524655
215,0.3888595112881171
216,0.2993006834445756
217,0.29941970096329357
218,0.2983279265242238
219,0.2993512876089627
220,0.324180008017792
221,0.32552987257719057
222,0.3205820429236669
223,0.320322921617885
224,0.3259738255124741
225,0.32620703858169986
226,0.3255088833631314
227,0.3222196795529864
228,0.26898268875972187
229,0.26791721728409146
230,0.2671309308847055
231,0.27288501501332385
232,0.268115534243776
233,0.2681124809847115
234,0.2681124809847115
235,0.26643054873537975
236,0.27508812822671197
237,0.2723584092934389
238,0.2736667264801965
239,0.274673623200864
240,0.2808191343182499
241,0.27982442496094934
242,0.280863636315274
243,0.2770390138107498
244,0.2742575281468963
245,0.28268296270453286
246,0.26618015769257003
247,0.27665436835649926
248,0.3047966732327208
249,0.30304801529080316
250,0.3041659904234274
251,0.3028054200949107
252,0.3771267173914108
253,0.3943720561415166
254,0.37986972388531265
255,0.3797831376838843
256,0.33356238686876793
257,0.3253362662095911
258,0.33135796768755466
259,0.3289597912038989
260,0.3637491747276997
261,0.3512813678677599
262,0.35111372224847126
263,0.35110739228032417
264,0.3498664368882703
265,0.3523503524195554
266,0.3502168769167978
267,0.35480606009934335
268,0.36849418917198395
269,0.3530101557082939
270,0.36856299608547427
271,0.39117568276075715
272,0.4828435824383887
273,0.4985111396635419
274,0.48057078433326106
275,0.48083626620725467
276,0.30423550253246373
277,0.3101399852475033
278,0.3082919074740414
279,0.3098834934235989
280,0.2346015460858431
281,0.2953861287083873
282,0.25095632448625993
283,0.25246695972474126
284,0.29521458072001416
285,0.29661900786872736
286,0.28305654225678667
287,0.2626636779885166
288,0.3535292933333272
289,0.33407563923284483
290,0.3329398379586694
291,0.333058504056308
292,0.2808379735377088
293,0.27975820644159083
294,0.27772833692552407
295,0.2821073700774278
296,0.28041244807660703
297,0.2841001013209755
298,0.2831142268343946
299,0.2859977632685232
300,0.27715442648006705
301,0.2883882237279452
302,0.27617864826416005
303,0.27827155205392123
304,0.2583128188241076
305,0.2724374372855377
306,0.28247538457626253
307,0.29013411587190663
308,0.3398305337819784
309,0.33910257924398074
310,0.34130831946485574
311,0.33600037526579474
312,0.3514331926889973
313,0.48171951320332684
314,0.3480760942592295
315,0.3492485403865092
316,0.40892802877313483
317,0.40944652133620796
318,0.4079605104358174
319,0.4147136778682241
320,0.41406387147879065
321,0.40877532980451325
322,0.4086366695411299
323,0.4089774178718114
324,0.30064550407341545
325,0.29841602996062916
326,0.2901123178094177
327,0.34415956957416977
328,0.3432856119309104
329,0.3420501007560749
330,0.29071745448916936
331,0.2926543733357288
332,0.2903198933447787
333,0.3556472879024457
334,0.2748705569242872
335,0.2830447426663848
336,0.3253222503644429
337,0.3340323084923168
338,0.31927070978573835
339,0.42244630203843325
340,0.4201637049710906
341,0.4287007125734795
342,0.33208618467504813
343,0.3352753938135962
344,0.3335465421557142
345,0.29064011157088865
346,0.294529109949577
347,0.29758442201209834
348,0.360007457047116
349,0.3599785744863874
350,0.3578508226564763
351,0.5629112401831738
352,0.5323678987567637
353,0.5713878826301426
354,0.5274301129593881
355,0.5615337198274443
356,0.5581557043497183
357,0.5413882191784221
358,0.5356493586989232
359,0.5185157660136424
360,0.511053818595788
361,0.5182565434949133
362,0.518980852330776
363,0.49183522290747445
364,0.5242855191633475
365,0.6024763605325912
366,0.474844678822988
367,0.5037798138772572
368,0.48165998711984787
369,0.38391067034662507
370,0.4076636049422656
371,0.38877765886109916
372,0.37291773947936535
373,0.37009047438497733
374,0.3715208572208823
375,0.27762252960880557
376,0.2848738778448451
377,0.2574828369915082
378,0.30603499029001796
379,0.4599068414681956
380,0.2944444364741551
381,0.31127010733948096
382,0.30953640510764546
383,0.3108677470219238
384,0.29228470284024066
385,0.3006620714044098
386,0.29427541036590477
387,0.3252364069994603
388,0.2976102804927395
389,0.3084070618840625
390,0.4984243641654187
391,0.5367672028188684
