bb_idx,MT_DeepNetBim,WT_DeepNetBim
121,0.058065742,0.046103716
122,0.04366359,0.034559667
123,1.0,1.0
124,0.87409455,0.8485849
125,0.502138,0.44879025
126,0.51423776,0.46079433
127,1.0,1.0
128,0.14196718,0.025139809
129,0.14397058,0.025157511
130,0.14194322,0.02513966
131,1.0,1.0
132,0.118982315,0.039216936
133,0.12087256,0.049097955
134,0.118959844,0.039120764
135,1.0,1.0
136,0.047833562,0.03772393
137,0.06181729,0.048904
138,0.04769832,0.037616163
139,1.0,1.0
140,0.047837704,0.037304223
141,0.07757598,0.060913295
142,0.04755646,0.037082464
143,1.0,1.0
144,0.08029464,0.091065556
145,0.093263686,0.10557464
146,0.080164135,0.090919286
147,1.0,1.0
148,0.09735939,0.0049656034
149,0.112746835,0.0049668252
150,0.09720409,0.0049656034
151,1.0,1.0
152,0.21841428,0.2085909
153,0.22155476,0.21162838
154,0.21837696,0.2085548
155,1.0,1.0
156,0.20085695,0.16388705
157,0.20118788,0.1665641
158,0.21228147,0.1638554
159,1.0,1.0
160,0.19757047,0.19756743
161,0.19779721,0.19779417
162,0.20885801,0.20885488
163,1.0,1.0
164,0.066072345,0.06630051
165,0.08491254,0.0851998
166,0.06588912,0.06611672
167,1.0,1.0
168,0.17480323,0.17480585
169,0.17742717,0.17742985
170,0.17477208,0.1747747
171,1.0,1.0
172,0.008932203,0.008965075
173,0.009095341,0.009128898
174,0.008930773,0.008963734
175,1.0,1.0
176,0.085115254,0.16142374
177,0.55777645,0.16391665
178,0.05737561,0.16139415
179,1.0,1.0
180,0.0073492527,0.9198861
181,0.0074716806,0.6287305
182,0.00734818,0.48250872
183,1.0,1.0
184,0.1700049,0.9237671
185,0.17280325,0.6412148
186,0.16997182,0.4959682
187,1.0,1.0
188,0.9175863,0.9221939
189,0.6215116,0.63610744
190,0.47482157,0.49043638
191,1.0,1.0
192,0.0859175,0.08922127
193,0.5603052,0.5704662
194,0.057932943,0.060231537
195,1.0,1.0
196,0.91422564,0.9171519
197,0.6111932,0.6201625
198,0.46395326,0.4733926
199,1.0,1.0
200,0.19843549,0.20660216
201,0.19876337,0.20694008
202,0.20975837,0.21826413
203,1.0,1.0
204,0.068125516,0.07140708
205,0.08926892,0.09346679
206,0.067920625,0.07119307
207,1.0,1.0
208,0.008526504,0.0055274665
209,0.0086732805,0.005603373
210,0.008525372,0.0055267513
211,1.0,1.0
212,0.1614132,0.16614753
213,0.163908,0.16870081
214,0.16138357,0.16611722
215,1.0,1.0
216,0.06867662,0.08254382
217,0.090278655,0.10800195
218,0.06846738,0.08229607
219,1.0,1.0
220,0.92430353,0.08885792
221,0.6390747,0.10382351
222,0.66767013,0.088707745
223,1.0,1.0
224,0.049704373,0.052916855
225,0.0636538,0.067703635
226,0.049575686,0.0527803
227,1.0,1.0
228,0.9177455,0.06912473
229,0.6114493,0.09068051
230,0.8266572,0.068915784
231,1.0,1.0
232,0.8947671,0.8949654
233,0.5521666,0.55268776
234,0.58315647,0.5836687
235,1.0,1.0
236,0.055702746,0.13881516
237,0.08196834,0.14097095
238,0.055452287,0.13878956
239,1.0,1.0
240,0.007017225,0.00702253
241,0.007144332,0.0071498156
242,0.007016182,0.0070215464
243,1.0,1.0
244,0.14608872,0.1460971
245,0.15771917,0.1577281
246,0.14594206,0.14595047
247,1.0,1.0
248,0.8876525,0.8872269
249,0.53410995,0.5330496
250,0.5589263,0.5578757
251,1.0,1.0
252,0.16687796,0.18215871
253,0.18039179,0.19661796
254,0.16670445,0.1819728
255,1.0,1.0
256,0.058944643,0.9018476
257,0.33979812,0.5712791
258,0.055090457,0.6008143
259,1.0,1.0
260,0.008472919,0.008802831
261,0.008632988,0.008969158
262,0.008471549,0.00880152
263,1.0,1.0
264,0.061119437,0.067361265
265,0.0760819,0.08010885
266,0.06097281,0.06723437
267,1.0,1.0
268,0.06800485,0.040841043
269,0.5013059,0.0518184
270,0.0510453,0.040741086
271,1.0,1.0
272,0.9212821,0.17075595
273,0.6292351,0.1733653
274,0.6581932,0.17072496
275,1.0,1.0
276,0.90789443,0.063289255
277,0.5881502,0.08318797
278,0.6271957,0.06309676
279,1.0,1.0
280,0.03547308,0.90893626
281,0.035497844,0.5918192
282,0.03547287,0.6179937
283,1.0,1.0
284,0.031532317,0.9024352
285,0.52705723,0.5770364
286,0.01560238,0.42830998
287,1.0,1.0
288,0.9307798,0.9235107
289,0.66478753,0.63637364
290,0.52196956,0.66886234
291,1.0,1.0
292,0.07804415,0.6443572
293,0.09672308,0.63008845
294,0.077860415,0.61901945
295,1.0,1.0
296,0.08377954,0.07677114
297,0.109573215,0.10064405
298,0.0835284,0.07653919
299,1.0,1.0
300,0.9334686,0.2184391
301,0.6711978,0.22048804
302,0.6678803,0.21841347
303,1.0,1.0
304,0.22774845,0.072539
305,0.22811103,0.09851217
306,0.24024266,0.072288334
307,1.0,1.0
308,0.20823821,0.18729472
309,0.21127442,0.18979633
310,0.20820212,0.1872648
311,1.0,1.0
312,0.19950488,0.04369706
313,0.20175141,0.06537655
314,0.19947779,0.04350862
315,1.0,1.0
316,0.18018696,0.17182183
317,0.1804915,0.17202541
318,0.19071633,0.18197191
319,1.0,1.0
320,0.17377675,0.92097354
321,0.17641926,0.6282427
322,0.17374536,0.6572757
