ur,fire_rate,inference_ur,mech,value,mask_seed,x0_mode,ckpt_verified,N
0.5,0.5,0.5,dfront,0.0,42,foreground,1,4
0.5,0.5,0.5,dfront,0.0,42,foreground,1,8
0.5,0.5,0.5,dfront,0.42677669,42,foreground,1,16
0.5,0.5,0.5,dfront,1.71434708,42,foreground,1,32
0.5,0.5,0.5,sigma,0.91474183,43,foreground,1,
0.5,0.5,0.5,rho_foreground,1.14235346,43,foreground,1,
0.5,0.5,0.5,dfront,0.0,43,foreground,1,4
0.5,0.5,0.5,dfront,0.0,43,foreground,1,8
0.5,0.5,0.5,dfront,0.60355338,43,foreground,1,16
0.5,0.5,0.5,dfront,1.91257039,43,foreground,1,32
0.5,0.5,0.5,sigma,0.91444992,44,foreground,1,
0.5,0.5,0.5,rho_foreground,1.13091194,44,foreground,1,
0.5,0.5,0.5,dfront,0.0,44,foreground,1,4
0.5,0.5,0.5,dfront,0.0,44,foreground,1,8
0.5,0.5,0.5,dfront,0.35355338,44,foreground,1,16
0.5,0.5,0.5,dfront,1.7488381,44,foreground,1,32
0.55,0.45,0.55,sigma,0.90248347,42,foreground,1,
0.55,0.45,0.55,rho_foreground,1.15656872,42,foreground,1,
0.55,0.45,0.55,dfront,0.0,42,foreground,1,4
0.55,0.45,0.55,dfront,0.0,42,foreground,1,8
0.55,0.45,0.55,dfront,0.30177669,42,foreground,1,16
0.55,0.45,0.55,dfront,1.94290046,42,foreground,1,32
0.55,0.45,0.55,sigma,0.90401891,43,foreground,1,
0.55,0.45,0.55,rho_foreground,1.14224158,43,foreground,1,
0.55,0.45,0.55,dfront,0.0,43,foreground,1,4
0.55,0.45,0.55,dfront,0.0,43,foreground,1,8
0.55,0.45,0.55,dfront,0.60355338,43,foreground,1,16
0.55,0.45,0.55,dfront,2.08934708,43,foreground,1,32
0.55,0.45,0.55,sigma,0.90297631,44,foreground,1,
0.55,0.45,0.55,rho_foreground,1.14118638,44,foreground,1,
0.55,0.45,0.55,dfront,0.0,44,foreground,1,4
0.55,0.45,0.55,dfront,0.0,44,foreground,1,8
0.55,0.45,0.55,dfront,0.30177669,44,foreground,1,16
0.55,0.45,0.55,dfront,2.11408587,44,foreground,1,32
0.6,0.4,0.6,sigma,0.89131005,42,foreground,1,
0.6,0.4,0.6,rho_foreground,1.15200754,42,foreground,1,
0.6,0.4,0.6,dfront,0.0,42,foreground,1,4
0.6,0.4,0.6,dfront,0.0,42,foreground,1,8
0.6,0.4,0.6,dfront,0.30177669,42,foreground,1,16
0.6,0.4,0.6,dfront,2.28887908,42,foreground,1,32
0.6,0.4,0.6,sigma,0.89018047,43,foreground,1,
0.6,0.4,0.6,rho_foreground,1.14227491,43,foreground,1,
0.6,0.4,0.6,dfront,0.0,43,foreground,1,4
0.6,0.4,0.6,dfront,0.0,43,foreground,1,8
0.6,0.4,0.6,dfront,0.55177669,43,foreground,1,16
0.6,0.4,0.6,dfront,2.23346989,43,foreground,1,32
0.6,0.4,0.6,sigma,0.88970551,44,foreground,1,
0.6,0.4,0.6,rho_foreground,1.13814593,44,foreground,1,
0.6,0.4,0.6,dfront,0.0,44,foreground,1,4
0.6,0.4,0.6,dfront,0.0,44,foreground,1,8
0.6,0.4,0.6,dfront,0.55177669,44,foreground,1,16
0.6,0.4,0.6,dfront,1.81230918,44,foreground,1,32
0.65,0.35,0.65,sigma,0.87619792,42,foreground,1,
0.65,0.35,0.65,rho_foreground,1.1364806,42,foreground,1,
0.65,0.35,0.65,dfront,0.0,42,foreground,1,4
0.65,0.35,0.65,dfront,0.0,42,foreground,1,8
0.65,0.35,0.65,dfront,0.47855338,42,foreground,1,16
0.65,0.35,0.65,dfront,2.25377929,42,foreground,1,32
0.65,0.35,0.65,sigma,0.87176166,43,foreground,1,
0.65,0.35,0.65,rho_foreground,1.15076691,43,foreground,1,
0.65,0.35,0.65,dfront,0.0,43,foreground,1,4
0.65,0.35,0.65,dfront,0.0,43,foreground,1,8
0.65,0.35,0.65,dfront,0.72855338,43,foreground,1,16
0.65,0.35,0.65,dfront,2.53328779,43,foreground,1,32
0.65,0.35,0.65,sigma,0.87651519,44,foreground,1,
0.65,0.35,0.65,rho_foreground,1.15207564,44,foreground,1,
0.65,0.35,0.65,dfront,0.0,44,foreground,1,4
0.65,0.35,0.65,dfront,0.0,44,foreground,1,8
0.65,0.35,0.65,dfront,0.72855338,44,foreground,1,16
0.65,0.35,0.65,dfront,2.25130869,44,foreground,1,32
0.7,0.3,0.7,sigma,0.85958658,42,foreground,1,
0.7,0.3,0.7,rho_foreground,1.14219816,42,foreground,1,
0.7,0.3,0.7,dfront,0.0,42,foreground,1,4
0.7,0.3,0.7,dfront,0.0,42,foreground,1,8
0.7,0.3,0.7,dfront,0.90533008,42,foreground,1,16
0.7,0.3,0.7,dfront,2.32037106,42,foreground,1,32
0.7,0.3,0.7,sigma,0.85195473,43,foreground,1,
0.7,0.3,0.7,rho_foreground,1.14674707,43,foreground,1,
0.7,0.3,0.7,dfront,0.0,43,foreground,1,4
