dataset,n_slices,n_valid,n_zero_fg,dice_bg_mean,dice_bg_std,dice_bg_p95,collapse_thresh,fg_ratio_median,fg_ratio_min,fg_ratio_max
BraTS2021,1489,1489,0,0.005421,0.002487,0.010417,0.012883,0.05127,0.018799,0.149414
Hippocampus,6498,4623,1875,0.01227,0.034825,0.041667,0.116746,0.060059,0.000244,0.266113
