run_id,dataset,ur,fire_rate,clip_norm,seed,step,dice_proxy,fg_ratio,diverged,sigma_t,dfront_t,rho_t
hippo_045_clip1,hippo,0.45,0.55,1.0,42,51,0.00137228,0.0,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,52,0.00215942,0.0,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,53,0.00183177,0.0,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,54,0.00192559,0.0,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,55,0.00369048,0.0,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,56,0.0015282,0.0,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,57,0.00115752,0.0,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,58,0.00167727,0.0,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,59,0.00241959,0.00024414,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,60,0.03458393,0.03430176,0,0.55256309,2.82842708,1.45578408
hippo_045_clip1,hippo,0.45,0.55,1.0,42,61,0.30426919,0.25238037,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,62,0.36423981,0.15350342,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,63,0.10155499,0.06982422,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,64,0.06294566,0.00231934,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,65,0.12619275,0.05493164,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,66,0.23353201,0.09228516,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,67,0.29502332,0.1807251,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,68,0.25742292,0.04992676,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,69,0.29909468,0.14099121,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,70,0.25205219,0.28961182,0,0.5313424,3.60555124,1.93872118
hippo_045_clip1,hippo,0.45,0.55,1.0,42,71,0.26085174,0.15612793,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,72,0.17873126,0.0725708,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,73,0.05506003,0.01019287,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,74,0.00752056,0.0355835,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,75,0.3410449,0.11407471,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,76,0.24571013,0.02038574,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,77,0.09992051,0.01477051,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,78,0.22797906,0.10845947,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,79,0.39447761,0.09545898,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,80,0.06304473,0.02032471,0,0.54493994,5.0,2.09229887
hippo_045_clip1,hippo,0.45,0.55,1.0,42,81,0.00101209,0.11193848,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,82,0.13239449,0.08404541,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,83,0.10352099,0.01580811,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,84,0.12259769,0.05389404,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,85,0.45174563,0.11859131,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,86,0.21427011,0.08880615,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,87,0.30293965,0.0480957,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,88,0.10253584,0.18920898,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,89,0.22431362,0.30810547,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,90,0.34329659,0.07751465,0,0.57322482,4.12310553,2.44059753
hippo_045_clip1,hippo,0.45,0.55,1.0,42,91,0.43055582,0.12188721,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,92,0.38819951,0.12902832,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,93,0.17774498,0.11395264,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,94,0.16704005,0.09539795,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,95,0.17546117,0.20159912,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,96,0.32679296,0.21887207,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,97,0.23296565,0.15679932,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,98,0.3143248,0.1307373,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,99,0.12247109,0.03338623,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,100,0.00982654,0.00146484,0,0.96366688,5.38516474,2.78060207
hippo_045_clip1,hippo,0.45,0.55,1.0,42,101,0.00289369,0.00872803,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,102,0.13925719,0.02801514,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,103,0.17055166,0.059021,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,104,0.50137776,0.22601318,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,105,0.44863588,0.1072998,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,106,0.03367168,0.04199219,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,107,0.17452937,0.06134033,0,nan,nan,nan
