ur,fire_rate,dataset,init_seed,N,d_front,n_active,d_equiv,theta_used
0.25,0.75,mock,42,4,0.0,1.0,0.56418958,0.03678794
0.25,0.75,mock,42,8,0.0,1.0,0.56418958,0.03679492
0.25,0.75,mock,43,4,0.0,1.0,0.56418958,0.03678794
0.25,0.75,mock,43,8,0.0,1.0,0.56418958,0.03682652
