Tool,8mer_AUC,8mer_npep,9mer_AUC,9mer_npep,10mer_AUC,10mer_npep,11mer_AUC,11mer_npep,12mer_AUC,12mer_npep,13mer_AUC,13mer_npep,14mer_AUC,14mer_npep
DeepImmuno,,0,0.5126262626262627,101,0.4772727272727273,101,,0,,0,,0,,0
PredIG,0.6540404040404041,101,0.6065656565656565,101,0.7116161616161616,101,0.7257575757575757,101,0.7343434343434343,101,0.7227272727272727,101,0.6873737373737373,101
IMPROVE,0.6368686868686868,101,0.6005050505050505,101,0.6510101010101009,101,0.55,101,0.6868686868686869,101,,0,,0
NeoTImmuML,0.6429292929292929,101,0.6131313131313132,101,0.5590909090909091,101,0.6611111111111111,101,0.5954545454545455,101,0.6752525252525252,101,,0
pTuneos,0.643939393939394,101,0.7217171717171716,101,0.7151515151515151,101,0.6308080808080808,101,0.6727272727272727,101,0.6323232323232323,101,0.5363636363636363,101
PRIME,0.5265577119509703,100,0.5469867211440245,100,0.5352400408580184,100,0.5408580183861083,100,0.5684371807967313,100,0.5480081716036773,100,0.4800817160367723,100
ImmuneApp,0.5772727272727273,101,0.6156565656565657,101,0.5580808080808082,101,0.552020202020202,101,0.5752525252525252,101,0.6055555555555555,101,0.6126262626262626,101
deepHLApan,0.3471590909090909,98,0.39147727272727273,98,0.4323863636363637,98,0.40909090909090906,98,0.390340909090909,98,0.4340909090909091,98,0.3681818181818181,98
