,DeepImmuno,PredIG,IMPROVE,NeoTImmuML,pTuneos,PRIME,ImmuneApp,deepHLApan
DeepImmuno,1.0,0.033909065229373606,0.031044233671097075,-0.1437099940033578,0.08214712972130213,0.07502955456355945,-0.05831018476976192,0.5028070460837889
PredIG,0.033909065229373606,1.0,0.2787100081715791,0.1396150698827551,0.029013863722092317,0.055454373622646554,0.4186569350992023,0.1532605405434514
IMPROVE,0.031044233671097075,0.2787100081715791,1.0,-0.004298457390103869,0.31485370077924457,0.6884644812873238,0.19292641900540203,0.09121398675603032
NeoTImmuML,-0.1437099940033578,0.1396150698827551,-0.004298457390103869,1.0,0.004083957710181619,-0.028390542488842662,0.13232276052993147,-0.16100525082928085
pTuneos,0.08214712972130213,0.029013863722092317,0.31485370077924457,0.004083957710181619,1.0,0.20220723373458097,0.03087215825720052,-0.12707091007811164
PRIME,0.07502955456355945,0.055454373622646554,0.6884644812873238,-0.028390542488842662,0.20220723373458097,1.0,0.12227912548858545,0.15502163315015333
ImmuneApp,-0.05831018476976192,0.4186569350992023,0.19292641900540203,0.13232276052993147,0.03087215825720052,0.12227912548858545,1.0,-0.03419045767532305
deepHLApan,0.5028070460837889,0.1532605405434514,0.09121398675603032,-0.16100525082928085,-0.12707091007811164,0.15502163315015333,-0.03419045767532305,1.0
