arm,seed,d_model,d_state,n_layers,steps,lr,in_dist_acc,long_acc_128_256,bucket_40_64,bucket_64_128,bucket_128_256
diag,0,64,16,2,8000,0.001,0.94427090883255,0.5793269230769231,0.7738924050632912,0.6588760504201681,0.5793269230769231
delta_neg,0,64,16,2,8000,0.001,1.0,0.6974868881118881,0.9994462025316456,0.8796831232492998,0.6974868881118881
delta_pos,0,64,16,2,8000,0.001,0.9966146349906921,0.597465034965035,0.8505537974683545,0.6876313025210085,0.597465034965035
