# ICERFIRE 1.0 benchmark scores — QuantImmuBench §Tier-2
# icerfire_rank: 原始 ICERFIRE %Rank（0=最强免疫原，100=最弱）
# icerfire_score: 翻转方向 = 100 - icerfire_rank（越高越强，与其他工具一致）
# pending_DTU_consent: True = ICERFIRE binary 使用条款待 DTU 书面确认
# join_strategy: content join on (MT_Subpeptide, WT_Subpeptide, HLA_icerfire) — 非行序
bb_idx,icerfire_rank,icerfire_score,pending_DTU_consent
0,80.4018,19.5982,True
1,45.5201,54.4799,True
2,62.1507,37.8493,True
3,85.4169,14.5831,True
4,80.4018,19.5982,True
6,16.0309,83.9691,True
7,1.2623,98.7377,True
8,13.629,86.371,True
9,19.0575,80.9425,True
10,9.2072,90.7928,True
12,10.7851,89.2149,True
13,0.4032,99.5968,True
14,10.4243,89.5757,True
15,13.0144,86.9856,True
16,10.643,89.357,True
18,22.9663,77.0337,True
19,34.1721,65.8279,True
20,51.6508,48.3492,True
21,23.2911,76.7089,True
22,51.0658,48.9342,True
24,59.5689,40.4311,True
25,47.7614,52.2386,True
26,59.5689,40.4311,True
27,56.4214,43.5786,True
28,74.0523,25.9477,True
30,41.4111,58.5889,True
31,32.0535,67.9465,True
32,37.0059,62.9941,True
33,31.809,68.191,True
34,2.0826,97.9174,True
36,56.6382,43.3618,True
37,43.8582,56.1418,True
38,52.4453,47.5547,True
39,0.4226,99.5774,True
40,47.6267,52.3733,True
42,55.0207,44.9793,True
43,52.0854,47.9146,True
44,44.41,55.59,True
45,54.1865,45.8135,True
46,66.7672,33.2328,True
48,32.5536,67.4464,True
49,86.9117,13.0883,True
50,42.7177,57.2823,True
51,35.8746,64.1254,True
52,57.7086,42.2914,True
54,0.8858,99.1142,True
55,1.5724,98.4276,True
56,0.3912,99.6088,True
57,1.8464,98.1536,True
58,1.5724,98.4276,True
60,54.5445,45.4555,True
61,52.1159,47.8841,True
62,53.5129,46.4871,True
63,52.6427,47.3573,True
64,1.9175,98.0825,True
66,2.8762,97.1238,True
67,26.8104,73.1896,True
68,4.3157,95.6843,True
69,36.8084,63.1916,True
70,36.8287,63.1713,True
72,2.1223,97.8777,True
73,8.0002,91.9998,True
74,9.2026,90.7974,True
75,10.69,89.31,True
76,10.6457,89.3543,True
78,79.3378,20.6622,True
79,7.4466,92.5534,True
80,4.1394,95.8606,True
81,92.2535,7.7465,True
82,87.0031,12.9969,True
83,97.9949,2.0051,True
84,6.0975,93.9025,True
85,66.9813,33.0187,True
86,88.4712,11.5288,True
87,76.7505,23.2495,True
88,47.1063,52.8937,True
89,0.1375,99.8625,True
90,45.628,54.372,True
91,53.7999,46.2001,True
92,43.992,56.008,True
93,14.979,85.021,True
94,48.4489,51.5511,True
95,66.7433,33.2567,True
96,97.7337,2.2663,True
97,93.8665,6.1335,True
98,96.2887,3.7113,True
99,63.7286,36.2714,True
100,64.9402,35.0598,True
101,28.2914,71.7086,True
102,59.7027,40.2973,True
103,51.7874,48.2126,True
104,11.7918,88.2082,True
105,2.3133,97.6867,True
106,36.5676,63.4324,True
107,55.8382,44.1618,True
108,5.3482,94.6518,True
109,44.0584,55.9416,True
110,51.1553,48.8447,True
111,62.888,37.112,True
112,66.5772,33.4228,True
113,78.0829,21.9171,True
114,54.0795,45.9205,True
115,4.5122,95.4878,True
116,3.1115,96.8885,True
117,10.8958,89.1042,True
118,93.4799,6.5201,True
119,94.5013,5.4987,True
120,28.9115,71.0885,True
121,7.2463,92.7537,True
122,4.0176,95.9824,True
124,1.5797,98.4203,True
126,26.5022,73.4978,True
127,6.2184,93.7816,True
128,7.3441,92.6559,True
130,6.8126,93.1874,True
132,10.547,89.453,True
133,13.498,86.502,True
134,13.6963,86.3037,True
136,30.9222,69.0778,True
138,72.6064,27.3936,True
139,31.6788,68.3212,True
140,29.0822,70.9178,True
142,70.7221,29.2779,True
144,73.8613,26.1387,True
145,52.0799,47.9201,True
146,42.8828,57.1172,True
148,84.795,15.205,True
150,86.4172,13.5828,True
151,90.4911,9.5089,True
152,90.8187,9.1813,True
154,79.4163,20.5837,True
156,73.2228,26.7772,True
157,83.17,16.83,True
158,72.8731,27.1269,True
160,38.4398,61.5602,True
162,2.6086,97.3914,True
163,31.6253,68.3747,True
164,41.2459,58.7541,True
166,67.021,32.979,True
168,68.3996,31.6004,True
169,77.8956,22.1044,True
170,60.1355,39.8645,True
171,95.4472,4.5528,True
172,75.9809,24.0191,True
174,77.4619,22.5381,True
175,58.5216,41.4784,True
176,54.9838,45.0162,True
178,58.6378,41.3622,True
179,26.3195,73.6805,True
180,26.0639,73.9361,True
182,20.6732,79.3268,True
183,9.8706,90.1294,True
184,10.8174,89.1826,True
186,1.9202,98.0798,True
187,95.3798,4.6202,True
188,95.4453,4.5547,True
190,95.987,4.013,True
191,63.6114,36.3886,True
192,87.8096,12.1904,True
194,52.6298,47.3702,True
195,17.0681,82.9319,True
196,36.1182,63.8818,True
198,15.1903,84.8097,True
199,45.163,54.837,True
200,26.7385,73.2615,True
202,10.6771,89.3229,True
204,12.4156,87.5844,True
206,5.7884,94.2116,True
208,97.0241,2.9759,True
210,61.6358,38.3642,True
212,46.4779,53.5221,True
214,53.0644,46.9356,True
216,32.0747,67.9253,True
218,47.1958,52.8042,True
220,9.2302,90.7698,True
222,52.4997,47.5003,True
224,1.648,98.352,True
226,35.3403,64.6597,True
228,37.2486,62.7514,True
230,6.14,93.86,True
232,0.4752,99.5248,True
