R,n_pub,n_priv,tau,K,method,coverage,mean_bias,n_rep
1,200,500,0.1,100,bonf_pub,0.9967,0.04734,3000
1,200,2000,0.1,100,naive_pub,0.8367,0.04847,3000
1,200,2000,0.1,100,naive_priv,0.9417,0.0001,3000
1,200,2000,0.1,100,bonf_pub,0.9937,0.04847,3000
1,500,200,0.1,100,naive_pub,0.8983,0.02058,3000
1,500,200,0.1,100,naive_priv,0.951,0.00041,3000
1,500,200,0.1,100,bonf_pub,0.998,0.02058,3000
1,500,500,0.1,100,naive_pub,0.9007,0.02027,3000
1,500,500,0.1,100,naive_priv,0.9503,-0.00022,3000
1,500,500,0.1,100,bonf_pub,0.9993,0.02027,3000
1,500,2000,0.1,100,naive_pub,0.9013,0.01965,3000
1,500,2000,0.1,100,naive_priv,0.9493,0.00019,3000
1,500,2000,0.1,100,bonf_pub,0.9987,0.01965,3000
1,2000,200,0.1,100,naive_pub,0.935,0.00467,3000
1,2000,200,0.1,100,naive_priv,0.9527,0.00031,3000
1,2000,200,0.1,100,bonf_pub,0.9993,0.00467,3000
1,2000,500,0.1,100,naive_pub,0.927,0.00526,3000
1,2000,500,0.1,100,naive_priv,0.9473,0.00036,3000
1,2000,500,0.1,100,bonf_pub,0.999,0.00526,3000
1,2000,2000,0.1,100,naive_pub,0.9367,0.00528,3000
1,2000,2000,0.1,100,naive_priv,0.946,7e-05,3000
1,2000,2000,0.1,100,bonf_pub,1.0,0.00528,3000
10,200,200,0.1,100,naive_pub,0.5133,0.09073,3000
10,200,200,0.1,100,naive_priv,0.9523,0.00015,3000
10,200,200,0.1,100,bonf_pub,0.997,0.09073,3000
10,200,500,0.1,100,naive_pub,0.5347,0.08935,3000
10,200,500,0.1,100,naive_priv,0.9543,-0.00043,3000
10,200,500,0.1,100,bonf_pub,0.9983,0.08935,3000
10,200,2000,0.1,100,naive_pub,0.5353,0.08982,3000
10,200,2000,0.1,100,naive_priv,0.9527,0.00036,3000
10,200,2000,0.1,100,bonf_pub,0.9973,0.08982,3000
10,500,200,0.1,100,naive_pub,0.6267,0.05245,3000
10,500,200,0.1,100,naive_priv,0.946,0.00108,3000
10,500,200,0.1,100,bonf_pub,0.9993,0.05245,3000
10,500,500,0.1,100,naive_pub,0.635,0.05181,3000
10,500,500,0.1,100,naive_priv,0.9553,0.00055,3000
10,500,500,0.1,100,bonf_pub,0.998,0.05181,3000
10,500,2000,0.1,100,naive_pub,0.6183,0.0525,3000
10,500,2000,0.1,100,naive_priv,0.9507,-0.00042,3000
10,500,2000,0.1,100,bonf_pub,0.9987,0.0525,3000
10,2000,200,0.1,100,naive_pub,0.6957,0.02449,3000
10,2000,200,0.1,100,naive_priv,0.9523,-0.00103,3000
10,2000,200,0.1,100,bonf_pub,0.999,0.02449,3000
10,2000,500,0.1,100,naive_pub,0.7043,0.02407,3000
10,2000,500,0.1,100,naive_priv,0.957,6e-05,3000
10,2000,500,0.1,100,bonf_pub,1.0,0.02407,3000
10,2000,2000,0.1,100,naive_pub,0.6927,0.02432,3000
10,2000,2000,0.1,100,naive_priv,0.942,-0.00012,3000
10,2000,2000,0.1,100,bonf_pub,0.9993,0.02432,3000
50,200,200,0.1,100,naive_pub,0.139,0.11528,3000
50,200,200,0.1,100,naive_priv,0.9477,-0.00073,3000
50,200,200,0.1,100,bonf_pub,0.9967,0.11528,3000
50,200,500,0.1,100,naive_pub,0.134,0.11641,3000
50,200,500,0.1,100,naive_priv,0.9483,-0.00072,3000
50,200,500,0.1,100,bonf_pub,0.999,0.11641,3000
50,200,2000,0.1,100,naive_pub,0.1393,0.11539,3000
50,200,2000,0.1,100,naive_priv,0.9507,-0.00043,3000
50,200,2000,0.1,100,bonf_pub,0.9967,0.11539,3000
50,500,200,0.1,100,naive_pub,0.2063,0.0694,3000
50,500,200,0.1,100,naive_priv,0.9507,0.00028,3000
50,500,200,0.1,100,bonf_pub,0.999,0.0694,3000
50,500,500,0.1,100,naive_pub,0.1863,0.07025,3000
50,500,500,0.1,100,naive_priv,0.947,0.00065,3000
50,500,500,0.1,100,bonf_pub,0.999,0.07025,3000
50,500,2000,0.1,100,naive_pub,0.191,0.07026,3000
50,500,2000,0.1,100,naive_priv,0.947,8e-05,3000
50,500,2000,0.1,100,bonf_pub,0.999,0.07026,3000
50,2000,200,0.1,100,naive_pub,0.2373,0.03366,3000
50,2000,200,0.1,100,naive_priv,0.9493,0.00078,3000
50,2000,200,0.1,100,bonf_pub,1.0,0.03366,3000
50,2000,500,0.1,100,naive_pub,0.2317,0.03386,3000
50,2000,500,0.1,100,naive_priv,0.9477,0.00048,3000
50,2000,500,0.1,100,bonf_pub,0.9993,0.03386,3000
50,2000,2000,0.1,100,naive_pub,0.2113,0.0341,3000
50,2000,2000,0.1,100,naive_priv,0.9467,0.0007,3000
50,2000,2000,0.1,100,bonf_pub,0.9987,0.0341,3000
