M,tau_over_sigma,method,coverage,mean_ci_width,mean_deflation
4,0.3,naive,0.0315,0.002263,0.0
4,0.3,datafission,0.952,0.006401,1.8284
4,0.3,sqrtM_invalid,1.0,0.009053,3.0
4,1.0,naive,0.0025,0.002263,0.0
4,1.0,datafission,0.9495,0.006401,1.8284
4,1.0,sqrtM_invalid,1.0,0.009053,3.0
4,3.0,naive,0.0005,0.002263,0.0
4,3.0,datafission,0.9425,0.006401,1.8284
4,3.0,sqrtM_invalid,1.0,0.009053,3.0
8,0.3,naive,0.0005,0.0016,0.0
8,0.3,datafission,0.954,0.006401,3.0
8,0.3,sqrtM_invalid,1.0,0.012802,7.0
8,1.0,naive,0.0,0.0016,0.0
8,1.0,datafission,0.9455,0.006401,3.0
8,1.0,sqrtM_invalid,1.0,0.012802,7.0
8,3.0,naive,0.0,0.0016,0.0
8,3.0,datafission,0.949,0.006401,3.0
8,3.0,sqrtM_invalid,1.0,0.012802,7.0
18,0.3,naive,0.0,0.001067,0.0
18,0.3,datafission,0.9505,0.006401,5.0
18,0.3,sqrtM_invalid,1.0,0.019204,17.0
18,1.0,naive,0.0,0.001067,0.0
18,1.0,datafission,0.944,0.006401,5.0
18,1.0,sqrtM_invalid,1.0,0.019204,17.0
18,3.0,naive,0.0,0.001067,0.0
18,3.0,datafission,0.941,0.006401,5.0
18,3.0,sqrtM_invalid,1.0,0.019204,17.0
36,0.3,naive,0.0,0.000754,0.0
36,0.3,datafission,0.949,0.006401,7.4853
36,0.3,sqrtM_invalid,1.0,0.027158,35.0
36,1.0,naive,0.0,0.000754,0.0
36,1.0,datafission,0.948,0.006401,7.4853
36,1.0,sqrtM_invalid,1.0,0.027158,35.0
36,3.0,naive,0.0,0.000754,0.0
36,3.0,datafission,0.9435,0.006401,7.4853
36,3.0,sqrtM_invalid,1.0,0.027158,35.0
