analysis,benchmark,val_best,full_test_auroc,wc_original,wc_boot_mean,wc_boot_std,wc_ci_low_pct,wc_ci_high_pct,wc_ci_low_norm,wc_ci_high_norm,ci_low_gt_zero,B,alpha,note,n_test,n_val_subsample,sigma_hat,sub_auc_mean,sub_auc_std,naive_coverage,df_coverage,B_valid
A1_HAM_bootstrap_CI,HAM10000,0.928272,0.853631,0.074641,0.12962,0.029741,0.071601,0.183889,0.071329,0.187911,1.0,50.0,0.05,A1 pass => winner's curse +0.0746 非抽样噪声；val_best 固定不 bootstrap，只 bootstrap test AUROC 分布。,,,,,,,,
A2_coverage,HAM10000,,0.853631,,,,,,,,,,0.05,真值=full-test AUROC 代理（有限样本，见文件头注辖域）；sub_sample_size=n_val（口径钉死）；sigma_hat=pooled val std（ddof=1，与 a3_truthproxy 一致）；naive CI=Hanley-McNeil SE；df CI=sigma*sqrt(2)（tau=1，M=1 退化）。,600.0,600.0,0.008969,0.798652,0.029741,0.56,0.1,50.0
A2_coverage,BraTS2021,,0.978773,,,,,,,,,,0.05,真值=full-test AUROC 代理（有限样本，见文件头注辖域）；sub_sample_size=n_val（口径钉死）；sigma_hat=pooled val std（ddof=1，与 a3_truthproxy 一致）；naive CI=Hanley-McNeil SE；df CI=sigma*sqrt(2)（tau=1，M=1 退化）。,546.0,561.0,0.001706,0.79091,0.026741,0.0,0.0,50.0
A2_coverage,ISIC2020,,0.872599,,,,,,,,,,0.05,真值=full-test AUROC 代理（有限样本，见文件头注辖域）；sub_sample_size=n_val（口径钉死）；sigma_hat=pooled val std（ddof=1，与 a3_truthproxy 一致）；naive CI=Hanley-McNeil SE；df CI=sigma*sqrt(2)（tau=1，M=1 退化）。,1000.0,600.0,0.014715,0.790635,0.023999,0.16,0.0,50.0
