corruption,severity,raw_auc,raw_ece,raw_rho,raw_rho_pval,ts_auc,ts_ece,ts_rho,ts_rho_pval,qcts_auc,qcts_ece,qcts_rho,qcts_rho_pval,n
clean,0,0.7180555555555556,0.1308687507112821,-0.07193329965147317,0.21411485489858478,0.7180555555555556,0.15755504261702297,-0.07193329965147317,0.21411485489858478,0.7234722222222223,0.17608089378724495,-0.131404673366712,0.022823663697954858,300
gaussian_noise,1,0.6056250000000001,0.08831214196979999,-0.24706315952874913,1.5000178363783843e-05,0.6056250000000001,0.09993319903810821,-0.24706315952874913,1.5000178363783843e-05,0.6107638888888889,0.11475191310048105,-0.30692431565584566,5.782491158756545e-08,300
gaussian_noise,2,0.6390972222222222,0.06643363988647859,-0.31523685892719594,2.402598207921871e-08,0.6390972222222222,0.09663830423106749,-0.31523685892719594,2.402598207921871e-08,0.649375,0.12489780818422634,-0.38632303739622814,4.078089203001776e-12,300
gaussian_noise,3,0.6052777777777778,0.07517219722270965,-0.357516250471086,1.787589965655527e-10,0.6052777777777778,0.0965238851805528,-0.357516250471086,1.787589965655527e-10,0.6166666666666667,0.12860783840219178,-0.4506469132467716,2.0687300014076784e-16,300
gaussian_noise,4,0.6647916666666667,0.047675172413388894,-0.27242146101078557,1.670526192588923e-06,0.6647916666666667,0.10885628173748653,-0.27242146101078557,1.670526192588923e-06,0.6824305555555555,0.12801584656039872,-0.3939415724165912,1.4079353490466605e-12,300
gaussian_noise,5,0.6440972222222222,0.05489346255858738,-0.4383352113187561,1.621930243781115e-15,0.6440972222222222,0.09768818865219753,-0.4383352113187561,1.621930243781115e-15,0.6563888888888889,0.12918363869190216,-0.5639227044145453,1.3906951213251652e-26,300
shot_noise,1,0.6068055555555555,0.08345235774914424,-0.12608927683921833,0.028996442252397763,0.6068055555555555,0.07172157549609741,-0.12608927683921833,0.028996442252397763,0.6150694444444444,0.0978993824372689,-0.20259240859869684,0.0004139291572120954,300
shot_noise,2,0.5502777777777778,0.05953788297871749,-0.1452068374591115,0.01180516322621364,0.5502777777777778,0.06998606501768034,-0.1452068374591115,0.01180516322621364,0.5664583333333333,0.10644458542267482,-0.23938440157017998,2.7891780202334163e-05,300
shot_noise,3,0.606875,0.03952002501736085,-0.28360359395392504,5.896602898248423e-07,0.606875,0.07998534013827643,-0.28360359395392504,5.896602898248423e-07,0.6231249999999999,0.11441705020765462,-0.40005142283370354,5.881698769363398e-13,300
shot_noise,4,0.5684722222222223,0.050525453264514616,-0.35071261402785064,4.1374275912965193e-10,0.5684722222222223,0.09159503489732744,-0.35071261402785064,4.1374275912965193e-10,0.5897222222222223,0.1330143819749355,-0.46528553172812903,1.6004510156601767e-17,300
shot_noise,5,0.6002083333333333,0.05420448352893193,-0.3525921919294996,3.2878342801992504e-10,0.6002083333333333,0.10638794630765916,-0.3525921919294996,3.2878342801992504e-10,0.6144444444444445,0.13416008909543356,-0.46557331292730564,1.5200344288547016e-17,300
impulse_noise,1,0.5679861111111111,0.11490404045830171,-0.16641264512816464,0.003846293228994123,0.5679861111111111,0.1303677045802275,-0.16641264512816464,0.003846293228994123,0.5779166666666666,0.1542904669046402,-0.22994562268691707,5.816154139874732e-05,300
impulse_noise,2,0.5264583333333334,0.06517796799540522,-0.25911263611697444,5.438448119662267e-06,0.5264583333333334,0.08838295052448907,-0.25911263611697444,5.438448119662267e-06,0.5463888888888888,0.12167420307795207,-0.3552817794612633,2.3600617170980874e-10,300
impulse_noise,3,0.5270138888888889,0.04889801867306233,-0.2865042951067063,4.4669909972761026e-07,0.5270138888888889,0.08899724108477435,-0.2865042951067063,4.4669909972761026e-07,0.5456944444444445,0.12259204052388668,-0.40172855388403994,4.614008810800446e-13,300
impulse_noise,4,0.6204861111111111,0.033634992018342025,-0.3761942503095342,1.608103534109469e-11,0.6204861111111111,0.08754516636331876,-0.3761942503095342,1.608103534109469e-11,0.638125,0.12176913097500801,-0.49640479059043824,4.5371439780560815e-20,300
impulse_noise,5,0.6611805555555555,0.03932747642199199,-0.4762338841140996,2.1748868601868604e-18,0.6611805555555555,0.08829759433865547,-0.4762338841140996,2.1748868601868604e-18,0.6699999999999999,0.12387748976548513,-0.582984486593517,1.0489246363471271e-28,300
defocus_blur,1,0.7452777777777778,0.29735077485442163,-0.10126742617943077,0.07991400101219936,0.7452777777777778,0.2981230786442757,-0.10126742617943077,0.07991400101219936,0.7441666666666666,0.2962644201765458,-0.15472272837026185,0.007255689078733508,300
defocus_blur,2,0.7429861111111111,0.31351008885850506,-0.052952185098216635,0.3607319327337615,0.7429861111111111,0.31080004610121253,-0.052952185098216635,0.3607319327337615,0.7418750000000001,0.30698865386346974,-0.11205866558639142,0.05251092017515208,300
defocus_blur,3,0.7355555555555554,0.3060966189702352,-0.04055959331962173,0.48400971136268867,0.7355555555555554,0.30485554007192456,-0.04055959331962173,0.48400971136268867,0.7348611111111111,0.30180563788861037,-0.09810383301226658,0.08984640628657427,300
defocus_blur,4,0.7219444444444445,0.30286925288538136,-0.06143317481665252,0.288865449020102,0.7219444444444445,0.30101568266749384,-0.06143317481665252,0.288865449020102,0.7210416666666667,0.29847358169654997,-0.11343645974461128,0.04965604526641051,300
defocus_blur,5,0.7092361111111111,0.26690235612293084,-0.11486581007133227,0.04683241373704938,0.7092361111111111,0.26805709230403113,-0.11486581007133227,0.04683241373704938,0.7086805555555555,0.2699126849075158,-0.1729376115916568,0.002651095914417736,300
motion_blur,1,0.7358333333333333,0.2413237280895313,-0.13360069947502307,0.02062618161239937,0.7358333333333333,0.25052475883315006,-0.13360069947502307,0.02062618161239937,0.7359722222222222,0.25521315646668274,-0.18747778445816082,0.0011038324124770993,300
motion_blur,2,0.7491666666666666,0.24822068579494955,-0.13416981735231356,0.020087557668594498,0.7491666666666666,0.2561160652339458,-0.13416981735231356,0.020087557668594498,0.7488888888888888,0.25966615773737434,-0.19380630414167452,0.0007385217408322998,300
motion_blur,3,0.7093055555555556,0.26066281273961067,-0.14906177217889208,0.009723570289041908,0.7093055555555556,0.2623903367171685,-0.14906177217889208,0.009723570289041908,0.7096527777777777,0.2646181241422892,-0.20233418330646272,0.0004211804947959215,300
motion_blur,4,0.7492361111111111,0.23697732910513877,-0.1838517413485361,0.0013818357003720597,0.7492361111111111,0.24116692081093788,-0.1838517413485361,0.0013818357003720597,0.7493055555555556,0.2464902370547255,-0.23346477563684762,4.437830187628035e-05,300
motion_blur,5,0.7332638888888889,0.21487163523832956,-0.1288615320204752,0.02561873427186716,0.7332638888888889,0.22506899266193314,-0.1288615320204752,0.02561873427186716,0.7354861111111112,0.23206330792357524,-0.18627310346917536,0.0011899005284987073,300
zoom_blur,1,0.737638888888889,0.298910622857511,-0.13723429823003155,0.017392301319166564,0.737638888888889,0.29741136031846205,-0.13723429823003155,0.017392301319166564,0.7359722222222222,0.29508502349257465,-0.19446764533762004,0.0007076322583542007,300
zoom_blur,2,0.7292361111111111,0.30710588487486046,-0.1327904676200441,0.021414596689794705,0.7292361111111111,0.30450634879370525,-0.1327904676200441,0.021414596689794705,0.7272916666666667,0.30110587092737356,-0.19430097668944832,0.0007153022728722586,300
zoom_blur,3,0.7195138888888889,0.2827963862319787,-0.14934110883322796,0.009586227917601425,0.7195138888888889,0.2835002299646537,-0.14934110883322796,0.009586227917601425,0.7183333333333333,0.28252121837188804,-0.2096744927968111,0.0002549424641774821,300
zoom_blur,4,0.7139583333333334,0.27366734077533084,-0.12775996336849202,0.02691801485426201,0.7139583333333334,0.2756306063135465,-0.1277412964798968,0.02694051108383539,0.7139583333333334,0.275744314789772,-0.18737869298880197,0.0011106896186975353,300
zoom_blur,5,0.7029861111111111,0.24882949173450472,-0.11615849210655241,0.04439574409127137,0.7029861111111111,0.254849908426404,-0.11615849210655241,0.04439574409127137,0.7025694444444444,0.25757145324101055,-0.17596142531922093,0.0022213648331334446,300
