# WS5 退化审计覆盖统计: 每 工具×变体 一行 (共 30×51)
# n_patients_valid=能算出有效 ρ 的患者数(<=9); n_degenerate=中招退化的患者数
# smallk_or_softmax=该变体是否属小 k topk(k<=5)/softmax 类
tool,pooling,non_null_total,n_patients_valid,n_degenerate,smallk_or_softmax
HLAthena,topk_k20_a2,121,9,1,False
HLAthena,topk_k50_a0,121,9,1,False
HLAthena,topk_k50_a0p5,121,9,1,False
HLAthena,topk_k50_a1,121,9,1,False
HLAthena,topk_k50_a2,121,9,1,False
HLAthena,topk_k100_a0,121,9,1,False
HLAthena,topk_k100_a0p5,121,9,1,False
HLAthena,topk_k100_a1,121,9,1,False
HLAthena,topk_k100_a2,121,9,1,False
HLAthena,softmax_T0p03,121,9,1,True
HLAthena,softmax_T0p05,121,9,1,True
HLAthena,softmax_T0p1,121,9,1,True
HLAthena,softmax_T0p2,121,9,1,True
HLAthena,softmax_T0p5,121,9,1,True
HLAthena,softmax_T1,121,9,1,True
HLAthena,softmax_T2,121,9,1,True
HLAthena,rankdecay_g1,121,9,1,False
HLAthena,rankdecay_g1p5,121,9,1,False
HLAthena,rankdecay_g2,121,9,1,False
HLAthena,rankdecay_g3,121,9,1,False
HLAthena,rankdecay_g5,121,9,1,False
HLAthena,rankdecay_g10,121,9,1,False
HLAthena,rankdecay_g20,121,9,1,False
ICERFIRE,max,100,9,0,False
ICERFIRE,topk_k1_a0,100,9,0,True
ICERFIRE,topk_k1_a0p5,100,9,0,True
ICERFIRE,topk_k1_a1,100,9,0,True
ICERFIRE,topk_k1_a2,100,9,0,True
ICERFIRE,topk_k2_a0,100,9,0,True
ICERFIRE,topk_k2_a0p5,100,9,0,True
ICERFIRE,topk_k2_a1,100,9,0,True
ICERFIRE,topk_k2_a2,100,9,0,True
ICERFIRE,topk_k3_a0,100,9,0,True
ICERFIRE,topk_k3_a0p5,100,9,0,True
ICERFIRE,topk_k3_a1,100,9,0,True
ICERFIRE,topk_k3_a2,100,9,0,True
ICERFIRE,topk_k5_a0,100,9,0,True
ICERFIRE,topk_k5_a0p5,100,9,0,True
ICERFIRE,topk_k5_a1,100,9,0,True
ICERFIRE,topk_k5_a2,100,9,0,True
ICERFIRE,topk_k8_a0,100,9,0,False
ICERFIRE,topk_k8_a0p5,100,9,0,False
ICERFIRE,topk_k8_a1,100,9,0,False
ICERFIRE,topk_k8_a2,100,9,0,False
ICERFIRE,topk_k10_a0,100,9,0,False
ICERFIRE,topk_k10_a0p5,100,9,0,False
ICERFIRE,topk_k10_a1,100,9,0,False
ICERFIRE,topk_k10_a2,100,9,0,False
ICERFIRE,topk_k20_a0,100,9,0,False
ICERFIRE,topk_k20_a0p5,100,9,0,False
ICERFIRE,topk_k20_a1,100,9,0,False
ICERFIRE,topk_k20_a2,100,9,0,False
ICERFIRE,topk_k50_a0,100,9,0,False
ICERFIRE,topk_k50_a0p5,100,9,0,False
ICERFIRE,topk_k50_a1,100,9,0,False
ICERFIRE,topk_k50_a2,100,9,0,False
ICERFIRE,topk_k100_a0,100,9,0,False
ICERFIRE,topk_k100_a0p5,100,9,0,False
ICERFIRE,topk_k100_a1,100,9,0,False
ICERFIRE,topk_k100_a2,100,9,0,False
ICERFIRE,softmax_T0p03,100,9,0,True
ICERFIRE,softmax_T0p05,100,9,0,True
ICERFIRE,softmax_T0p1,100,9,0,True
ICERFIRE,softmax_T0p2,100,9,0,True
