# WS4 饱和度 vs 肽长敏感度: 验「越饱和/离散封顶 -> |ρ_XZ| 越小」
# 饱和度量在 <tool>_max 列 (data/frozen/pooled_clean_9mer.csv) 全部非空肽上算
# abs_rho_XZ=|工具分↔肽长 per-patient Fisher-z| (源 mechanism_toollevel.csv); delta_A=控肽长改动
# 预期: nunique_ratio/std_norm 与 |ρ_XZ| 正相关; ceiling_tie_frac/top_decile_mass 负相关
tool,n_nonnull,nunique_ratio,ceiling_tie_frac,std_norm,top_decile_mass,rho_XZ,abs_rho_XZ,delta_A
BigMHC_IM,130,0.8769230769230769,0.015384615384615385,0.21739073320963428,0.015384615384615385,0.0803682868230068,0.0803682868230068,0.047978
CNNeo,130,0.5230769230769231,0.007692307692307693,0.2705199250793953,0.23076923076923078,0.1301473170348005,0.1301473170348005,0.018812
DeepImmuno,130,0.9,0.007692307692307693,0.14970951243268266,0.6307692307692307,0.1938220743699873,0.1938220743699873,-0.010244
DeepNetBim,130,0.007692307692307693,1.0,0.0,1.0,,,
HLAthena,121,0.8842975206611571,0.008264462809917356,0.3331028686440901,0.2396694214876033,0.052992750462374,0.052992750462374,-0.043462
ICERFIRE,100,0.9,0.01,0.20103803354979358,0.39,0.2948386665071981,0.2948386665071981,0.051412
IEDB_Calis,130,0.9153846153846154,0.007692307692307693,0.20795798277384483,0.015384615384615385,0.2606801172778475,0.2606801172778475,0.074694
IMPROVE,130,0.8923076923076924,0.007692307692307693,0.18856583226593093,0.007692307692307693,0.3164765077128493,0.3164765077128493,0.0546
ImmuGenX,130,0.8846153846153846,0.007692307692307693,0.24349832355538992,0.19230769230769232,0.1339837664357262,0.1339837664357262,-0.007668
ImmuneApp,130,0.7615384615384615,0.07692307692307693,0.18674605978312542,0.8846153846153846,0.2383342515202956,0.2383342515202956,0.077314
MHCflurry,130,0.8769230769230769,0.007692307692307693,0.2791369988923783,0.26153846153846155,0.0760220810033548,0.0760220810033548,0.006249
MHCnuggets,130,0.8923076923076924,0.007692307692307693,0.34527481573610674,0.5615384615384615,0.1717200404881945,0.1717200404881945,0.033883
MHCseqNet,130,0.8769230769230769,0.015384615384615385,0.1707427903157731,0.8,0.1275493106164935,0.1275493106164935,0.039292
MUNIS,130,0.8307692307692308,0.023076923076923078,0.29538400609262466,0.46153846153846156,0.0967487891996999,0.0967487891996999,0.034825
NeoTImmuML,130,0.9,0.007692307692307693,0.3065473149767285,0.03076923076923077,0.0011106611721834,0.0011106611721834,-0.068246
NeoaG,102,0.21568627450980393,0.00980392156862745,0.25554492870519535,0.0196078431372549,-0.139519221796096,0.139519221796096,-0.053516
NeoaPred,14,1.0,0.07142857142857142,0.36537223121058165,0.5714285714285714,,,
NetTepi,125,0.736,0.008,0.258258396359303,0.064,0.0813028276676852,0.0813028276676852,0.036631
PRIME,130,0.8769230769230769,0.023076923076923078,0.247118086069596,0.038461538461538464,0.0726793338106694,0.0726793338106694,0.012021
PredIG,130,0.8846153846153846,0.007692307692307693,0.29985990942882174,0.13076923076923078,0.3573275663112231,0.3573275663112231,0.022186
Repitope,130,0.8923076923076924,0.023076923076923078,0.24000225091584854,0.03076923076923077,0.0816924511028331,0.0816924511028331,-0.014984
Seq2Neo,130,0.9,0.007692307692307693,0.21948403713801976,0.24615384615384617,0.1300701619971778,0.1300701619971778,0.070421
TSCAPE,130,0.8923076923076924,0.007692307692307693,0.22474550137764862,0.06153846153846154,0.2185525084435255,0.2185525084435255,0.101632
TransHLA,130,0.8769230769230769,0.007692307692307693,0.18421475556911163,0.7153846153846154,0.1291790811138898,0.1291790811138898,0.028026
andy90,130,0.8769230769230769,0.007692307692307693,0.09292174150704852,0.007692307692307693,-0.1006667297364312,0.1006667297364312,-0.066388
deepHLApan,130,0.7615384615384615,0.015384615384615385,0.148126666588032,0.7461538461538462,0.1996944899985617,0.1996944899985617,0.046584
netMHCpan_BA,130,0.8692307692307693,0.007692307692307693,0.2519885968562246,0.08461538461538462,0.111348719433602,0.111348719433602,-0.040531
netMHCpan_EL,130,0.8846153846153846,0.015384615384615385,0.338937864951477,0.13846153846153847,-0.0501127072290011,0.0501127072290011,-0.036396
netMHCstabpan,130,0.823076923076923,0.023076923076923078,0.28710479236383724,0.06923076923076923,0.1549080566653951,0.1549080566653951,0.03004
pTuneos,102,0.08823529411764706,0.029411764705882353,0.22799957214729635,0.029411764705882353,0.094645108995853,0.094645108995853,0.01447
