# 退化点审计: 扫 30 工具×9 患者, 旧 per-patient 口径 (min_pep=3, 不剔退化) 复算 raw ρ。
# is_degenerate=True: |rho|>0.999 且 n_eff<=4 (小 n 秩完美相关伪迹, 被 clip-Fisher-z 夸大)。
#   预期只有 HLAthena/P101(n_eff=3,ρ=+1.0)、NetTepi/P102(n_eff=3,ρ=−1.0) 两点。
# coverage_flag=覆盖过稀不可靠: 该工具 k_matched<=1 (NeoaPred k=1 / DeepNetBim k=0 退化maxpool)。
# n_full=患者总肽数; n_eff=该工具完整用例数; non_null_total=该工具全表 non-null 覆盖数。
tool,patient,n_full,n_eff,rho,non_null_total,is_degenerate,k_matched,coverage_flag
BigMHC_IM,101,12,12,0.380291,130,False,9,
BigMHC_IM,102,8,8,0.428571,130,False,9,
BigMHC_IM,104,17,17,-0.164417,130,False,9,
BigMHC_IM,105,19,19,0.353252,130,False,9,
BigMHC_IM,106,16,16,-0.329412,130,False,9,
BigMHC_IM,107,12,12,-0.041958,130,False,9,
BigMHC_IM,108,15,15,0.379249,130,False,9,
BigMHC_IM,109,16,16,0.430607,130,False,9,
BigMHC_IM,110,15,15,0.094727,130,False,9,
CNNeo,101,12,12,-0.035275,130,False,9,
CNNeo,102,8,8,-0.035929,130,False,9,
CNNeo,104,17,17,0.218597,130,False,9,
CNNeo,105,19,19,0.046655,130,False,9,
CNNeo,106,16,16,-0.237221,130,False,9,
CNNeo,107,12,12,0.088344,130,False,9,
CNNeo,108,15,15,0.034893,130,False,9,
CNNeo,109,16,16,0.44027,130,False,9,
CNNeo,110,15,15,-0.039568,130,False,9,
DeepImmuno,101,12,12,0.345079,130,False,9,
DeepImmuno,102,8,8,0.166667,130,False,9,
DeepImmuno,104,17,17,0.398773,130,False,9,
DeepImmuno,105,19,19,0.073749,130,False,9,
DeepImmuno,106,16,16,-0.6,130,False,9,
DeepImmuno,107,12,12,0.286713,130,False,9,
DeepImmuno,108,15,15,0.462914,130,False,9,
DeepImmuno,109,16,16,0.148485,130,False,9,
DeepImmuno,110,15,15,0.151921,130,False,9,
DeepNetBim,101,12,12,,130,False,0,覆盖过稀不可靠
DeepNetBim,102,8,8,,130,False,0,覆盖过稀不可靠
DeepNetBim,104,17,17,,130,False,0,覆盖过稀不可靠
DeepNetBim,105,19,19,,130,False,0,覆盖过稀不可靠
DeepNetBim,106,16,16,,130,False,0,覆盖过稀不可靠
DeepNetBim,107,12,12,,130,False,0,覆盖过稀不可靠
DeepNetBim,108,15,15,,130,False,0,覆盖过稀不可靠
DeepNetBim,109,16,16,,130,False,0,覆盖过稀不可靠
DeepNetBim,110,15,15,,130,False,0,覆盖过稀不可靠
HLAthena,101,12,3,1.0,121,True,8,
HLAthena,102,8,8,-0.142857,121,False,8,
HLAthena,104,17,17,0.384049,121,False,8,
HLAthena,105,19,19,0.165202,121,False,8,
HLAthena,106,16,16,-0.191176,121,False,8,
HLAthena,107,12,12,0.076923,121,False,8,
HLAthena,108,15,15,0.415027,121,False,8,
HLAthena,109,16,16,0.620667,121,False,8,
HLAthena,110,15,15,0.198392,121,False,8,
ICERFIRE,101,12,9,0.117156,100,False,9,
ICERFIRE,102,8,4,0.4,100,False,9,
ICERFIRE,104,17,14,0.253025,100,False,9,
ICERFIRE,105,19,16,0.546796,100,False,9,
