# 退化点审计: 扫 30 工具×9 患者, 旧 per-patient 口径 (min_pep=3, 不剔退化) 复算 raw ρ。
# is_degenerate=True: |rho|>0.999 且 n_eff<=4 (小 n 秩完美相关伪迹, 被 clip-Fisher-z 夸大)。
#   预期只有 HLAthena/P101(n_eff=3,ρ=+1.0)、NetTepi/P102(n_eff=3,ρ=−1.0) 两点。
# coverage_flag=覆盖过稀不可靠: 该工具 k_matched<=1 (NeoaPred k=1 / DeepNetBim k=0 退化maxpool)。
# n_full=患者总肽数; n_eff=该工具完整用例数; non_null_total=该工具全表 non-null 覆盖数。
tool,patient,n_full,n_eff,rho,non_null_total,is_degenerate,k_matched,coverage_flag
ICERFIRE,106,16,13,0.456044,100,False,9,
ICERFIRE,107,12,8,0.095238,100,False,9,
ICERFIRE,108,15,12,-0.108582,100,False,9,
ICERFIRE,109,16,10,0.166174,100,False,9,
ICERFIRE,110,15,14,0.387239,100,False,9,
IEDB_Calis,101,12,12,0.75354,130,False,9,
IEDB_Calis,102,8,8,0.642857,130,False,9,
IEDB_Calis,104,17,17,-0.035583,130,False,9,
IEDB_Calis,105,19,19,0.213345,130,False,9,
IEDB_Calis,106,16,16,0.055882,130,False,9,
IEDB_Calis,107,12,12,-0.13986,130,False,9,
IEDB_Calis,108,15,15,0.184093,130,False,9,
IEDB_Calis,109,16,16,0.346418,130,False,9,
IEDB_Calis,110,15,15,-0.101877,130,False,9,
IMPROVE,101,12,12,0.760582,130,False,9,
IMPROVE,102,8,8,0.0,130,False,9,
IMPROVE,104,17,17,0.439264,130,False,9,
IMPROVE,105,19,19,0.280193,130,False,9,
IMPROVE,106,16,16,0.420588,130,False,9,
IMPROVE,107,12,12,-0.20979,130,False,9,
IMPROVE,108,15,15,0.135957,130,False,9,
IMPROVE,109,16,16,0.177783,130,False,9,
IMPROVE,110,15,15,0.319929,130,False,9,
ImmuGenX,101,12,12,0.401418,130,False,9,
ImmuGenX,102,8,8,-0.261905,130,False,9,
ImmuGenX,104,17,17,-0.023313,130,False,9,
ImmuGenX,105,19,19,0.31986,130,False,9,
ImmuGenX,106,16,16,0.4,130,False,9,
ImmuGenX,107,12,12,-0.13986,130,False,9,
ImmuGenX,108,15,15,-0.343471,130,False,9,
ImmuGenX,109,16,16,0.66224,130,False,9,
ImmuGenX,110,15,15,0.005362,130,False,9,
ImmuneApp,101,12,12,0.295782,130,False,9,
ImmuneApp,102,8,8,0.146385,130,False,9,
ImmuneApp,104,17,17,0.190915,130,False,9,
ImmuneApp,105,19,19,0.411248,130,False,9,
ImmuneApp,106,16,16,0.235294,130,False,9,
ImmuneApp,107,12,12,-0.423819,130,False,9,
ImmuneApp,108,15,15,-0.220036,130,False,9,
ImmuneApp,109,16,16,0.510118,130,False,9,
ImmuneApp,110,15,15,0.394996,130,False,9,
MHCflurry,101,12,12,0.549309,130,False,9,
MHCflurry,102,8,8,0.0,130,False,9,
MHCflurry,104,17,17,0.238037,130,False,9,
MHCflurry,105,19,19,0.398946,130,False,9,
MHCflurry,106,16,16,0.191176,130,False,9,
MHCflurry,107,12,12,0.034965,130,False,9,
MHCflurry,108,15,15,0.218247,130,False,9,
MHCflurry,109,16,16,0.668183,130,False,9,
MHCflurry,110,15,15,0.312779,130,False,9,
MHCnuggets,101,12,12,0.26057,130,False,9,
MHCnuggets,102,8,8,0.119048,130,False,9,
MHCnuggets,104,17,17,0.574234,130,False,9,
MHCnuggets,105,19,19,0.624232,130,False,9,
MHCnuggets,106,16,16,0.461765,130,False,9,
MHCnuggets,107,12,12,0.636364,130,False,9,
MHCnuggets,108,15,15,0.24687,130,False,9,
MHCnuggets,109,16,16,0.537516,130,False,9,
MHCnuggets,110,15,15,0.420018,130,False,9,
MHCseqNet,101,12,12,0.52114,130,False,9,
MHCseqNet,102,8,8,-0.642857,130,False,9,
MHCseqNet,104,17,17,0.328835,130,False,9,
MHCseqNet,105,19,19,0.576451,130,False,9,
MHCseqNet,106,16,16,-0.067647,130,False,9,
MHCseqNet,107,12,12,0.062937,130,False,9,
MHCseqNet,108,15,15,0.565296,130,False,9,
MHCseqNet,109,16,16,0.620667,130,False,9,
MHCseqNet,110,15,15,0.084004,130,False,9,
MUNIS,101,12,12,0.183103,130,False,9,
MUNIS,102,8,8,-0.595238,130,False,9,
MUNIS,104,17,17,0.117791,130,False,9,
MUNIS,105,19,19,0.543059,130,False,9,
MUNIS,106,16,16,0.208824,130,False,9,
MUNIS,107,12,12,0.195804,130,False,9,
MUNIS,108,15,15,0.286226,130,False,9,
MUNIS,109,16,16,0.674122,130,False,9,
MUNIS,110,15,15,0.137623,130,False,9,
NeoTImmuML,101,12,12,0.042255,130,False,9,
NeoTImmuML,102,8,8,0.309524,130,False,9,
NeoTImmuML,104,17,17,0.101841,130,False,9,
NeoTImmuML,105,19,19,0.229148,130,False,9,
NeoTImmuML,106,16,16,-0.120588,130,False,9,
NeoTImmuML,107,12,12,-0.307692,130,False,9,
NeoTImmuML,108,15,15,0.430742,130,False,9,
NeoTImmuML,109,16,16,0.659273,130,False,9,
NeoTImmuML,110,15,15,-0.01966,130,False,9,
NeoaG,101,12,9,-0.328634,102,False,9,
NeoaG,102,8,6,-0.26482,102,False,9,
NeoaG,104,17,14,0.068241,102,False,9,
NeoaG,105,19,16,0.177915,102,False,9,
NeoaG,106,16,13,0.403439,102,False,9,
NeoaG,107,12,8,-0.294617,102,False,9,
NeoaG,108,15,12,-0.049297,102,False,9,
NeoaG,109,16,10,0.075525,102,False,9,
NeoaG,110,15,14,-0.394253,102,False,9,
NeoaPred,101,12,0,,14,False,1,覆盖过稀不可靠
NeoaPred,102,8,0,,14,False,1,覆盖过稀不可靠
NeoaPred,104,17,13,0.077029,14,False,1,覆盖过稀不可靠
NeoaPred,105,19,0,,14,False,1,覆盖过稀不可靠
NeoaPred,106,16,0,,14,False,1,覆盖过稀不可靠
NeoaPred,107,12,0,,14,False,1,覆盖过稀不可靠
NeoaPred,108,15,0,,14,False,1,覆盖过稀不可靠
NeoaPred,109,16,0,,14,False,1,覆盖过稀不可靠
NeoaPred,110,15,1,,14,False,1,覆盖过稀不可靠
NetTepi,101,12,12,0.471843,125,False,8,
NetTepi,102,8,3,-1.0,125,True,8,
NetTepi,104,17,17,0.200246,125,False,8,
NetTepi,105,19,19,-0.019332,125,False,8,
NetTepi,106,16,16,0.444118,125,False,8,
NetTepi,107,12,12,0.08772,125,False,8,
NetTepi,108,15,15,0.314848,125,False,8,
NetTepi,109,16,16,0.721637,125,False,8,
NetTepi,110,15,15,-0.087578,125,False,8,
PRIME,101,12,12,0.098594,130,False,9,
PRIME,102,8,8,0.214286,130,False,9,
PRIME,104,17,17,0.419632,130,False,9,
PRIME,105,19,19,0.260106,130,False,9,
PRIME,106,16,16,0.164706,130,False,9,
PRIME,107,12,12,-0.167832,130,False,9,
PRIME,108,15,15,0.24687,130,False,9,
PRIME,109,16,16,0.727577,130,False,9,
PRIME,110,15,15,0.484361,130,False,9,
PredIG,101,12,12,0.471843,130,False,9,
PredIG,102,8,8,0.0,130,False,9,
PredIG,104,17,17,0.272393,130,False,9,
PredIG,105,19,19,0.31986,130,False,9,
PredIG,106,16,16,0.197059,130,False,9,
PredIG,107,12,12,0.146853,130,False,9,
PredIG,108,15,15,0.089446,130,False,9,
PredIG,109,16,16,0.11704,130,False,9,
PredIG,110,15,15,0.552279,130,False,9,
Repitope,101,12,12,0.380291,130,False,9,
Repitope,102,8,8,0.190476,130,False,9,
Repitope,104,17,17,0.002454,130,False,9,
Repitope,105,19,19,0.246046,130,False,9,
Repitope,106,16,16,-0.026471,130,False,9,
Repitope,107,12,12,-0.097902,130,False,9,
Repitope,108,15,15,0.1,130,False,9,
Repitope,109,16,16,-0.098,130,False,9,
Repitope,110,15,15,0.359249,130,False,9,
Seq2Neo,101,12,12,-0.056339,130,False,9,
Seq2Neo,102,8,8,0.047619,130,False,9,
Seq2Neo,104,17,17,0.202454,130,False,9,
Seq2Neo,105,19,19,-0.091389,130,False,9,
Seq2Neo,106,16,16,0.194118,130,False,9,
Seq2Neo,107,12,12,-0.146853,130,False,9,
Seq2Neo,108,15,15,0.094727,130,False,9,
Seq2Neo,109,16,16,0.332599,130,False,9,
Seq2Neo,110,15,15,0.055407,130,False,9,
TSCAPE,101,12,12,0.4648,130,False,9,
TSCAPE,102,8,8,0.357143,130,False,9,
TSCAPE,104,17,17,0.12638,130,False,9,
TSCAPE,105,19,19,0.079086,130,False,9,
TSCAPE,106,16,16,-0.355882,130,False,9,
TSCAPE,107,12,12,-0.055944,130,False,9,
TSCAPE,108,15,15,-0.01966,130,False,9,
TSCAPE,109,16,16,0.512607,130,False,9,
TSCAPE,110,15,15,-0.144772,130,False,9,
TransHLA,101,12,12,0.570437,130,False,9,
TransHLA,102,8,8,0.571429,130,False,9,
TransHLA,104,17,17,-0.112884,130,False,9,
TransHLA,105,19,19,0.207382,130,False,9,
TransHLA,106,16,16,0.302941,130,False,9,
TransHLA,107,12,12,0.125874,130,False,9,
TransHLA,108,15,15,-0.214669,130,False,9,
TransHLA,109,16,16,-0.124727,130,False,9,
TransHLA,110,15,15,0.048257,130,False,9,
andy90,101,12,12,-0.26057,130,False,9,
andy90,102,8,8,0.047619,130,False,9,
andy90,104,17,17,0.022086,130,False,9,
andy90,105,19,19,-0.080844,130,False,9,
andy90,106,16,16,0.120588,130,False,9,
andy90,107,12,12,-0.216783,130,False,9,
andy90,108,15,15,0.193202,130,False,9,
andy90,109,16,16,0.19897,130,False,9,
andy90,110,15,15,0.273459,130,False,9,
deepHLApan,101,12,12,0.387334,130,False,9,
deepHLApan,102,8,8,-0.299407,130,False,9,
deepHLApan,104,17,17,-0.172604,130,False,9,
deepHLApan,105,19,19,0.031634,130,False,9,
deepHLApan,106,16,16,-0.041237,130,False,9,
deepHLApan,107,12,12,-0.153846,130,False,9,
deepHLApan,108,15,15,0.044683,130,False,9,
deepHLApan,109,16,16,-0.082965,130,False,9,
deepHLApan,110,15,15,0.630921,130,False,9,
netMHCpan_BA,101,12,12,0.039152,130,False,9,
netMHCpan_BA,102,8,8,-0.357143,130,False,9,
netMHCpan_BA,104,17,17,0.466258,130,False,9,
netMHCpan_BA,105,19,19,0.666082,130,False,9,
netMHCpan_BA,106,16,16,0.597059,130,False,9,
netMHCpan_BA,107,12,12,0.237762,130,False,9,
netMHCpan_BA,108,15,15,0.189625,130,False,9,
netMHCpan_BA,109,16,16,0.79291,130,False,9,
netMHCpan_BA,110,15,15,0.49866,130,False,9,
netMHCpan_EL,101,12,12,-0.119721,130,False,9,
netMHCpan_EL,102,8,8,-0.47619,130,False,9,
netMHCpan_EL,104,17,17,0.233129,130,False,9,
netMHCpan_EL,105,19,19,0.253843,130,False,9,
netMHCpan_EL,106,16,16,0.347059,130,False,9,
netMHCpan_EL,107,12,12,0.020979,130,False,9,
netMHCpan_EL,108,15,15,0.243292,130,False,9,
netMHCpan_EL,109,16,16,0.700849,130,False,9,
netMHCpan_EL,110,15,15,0.262735,130,False,9,
netMHCstabpan,101,12,12,-0.253527,130,False,9,
netMHCstabpan,102,8,8,-0.261905,130,False,9,
netMHCstabpan,104,17,17,0.290798,130,False,9,
netMHCstabpan,105,19,19,0.033392,130,False,9,
netMHCstabpan,106,16,16,0.55,130,False,9,
netMHCstabpan,107,12,12,0.538462,130,False,9,
netMHCstabpan,108,15,15,0.327665,130,False,9,
netMHCstabpan,109,16,16,0.709758,130,False,9,
netMHCstabpan,110,15,15,-0.109026,130,False,9,
pTuneos,101,12,9,-0.365148,102,False,9,
pTuneos,102,8,6,0.48795,102,False,9,
pTuneos,104,17,14,0.120249,102,False,9,
pTuneos,105,19,16,0.546818,102,False,9,
pTuneos,106,16,13,0.358588,102,False,9,
pTuneos,107,12,8,0.278834,102,False,9,
pTuneos,108,15,12,-0.018231,102,False,9,
pTuneos,109,16,10,-0.29295,102,False,9,
pTuneos,110,15,14,0.242186,102,False,9,
