detector,domain,macroF1,n_faithful,n_unfaithful,G_domain,ci_low,ci_high
mDeBERTa-XNLI,general,0.7204,39,39,0.2927,0.1844,0.3912
mDeBERTa-XNLI,medical,0.4277,1000,1000,0.2927,0.1844,0.3912
