bb_idx,MT_Repitope,WT_Repitope
0,0.30544,
1,0.30544,
2,0.30544,
3,0.30544,
4,0.2984,
5,0.2984,
6,0.2984,
7,0.2984,
8,0.28168,
9,0.28168,
10,0.28168,
11,0.28168,
12,0.28688,
13,0.28688,
14,0.28688,
15,0.28688,
16,0.26632,
17,0.26632,
18,0.26632,
19,0.26632,
20,0.2624,
21,0.2624,
22,0.2624,
23,0.2624,
24,0.19656,
25,0.19656,
26,0.19656,
27,0.19656,
28,0.47896,
29,0.47896,
30,0.47896,
31,0.47896,
32,0.46744,
33,0.46744,
34,0.46744,
35,0.46744,
36,0.40856,
37,0.40856,
38,0.40856,
39,0.40856,
40,0.44232,
41,0.44232,
42,0.44232,
43,0.44232,
44,0.3836,
45,0.3836,
46,0.3836,
47,0.3836,
48,0.34936,
49,0.34936,
50,0.34936,
51,0.34936,
52,0.2744,
53,0.2744,
54,0.2744,
55,0.2744,
56,0.24032,
57,0.24032,
58,0.24032,
59,0.24032,
60,0.27472,
61,0.27472,
62,0.27472,
63,0.27472,
64,0.25096,
65,0.25096,
66,0.25096,
67,0.25096,
68,0.37072,
69,0.37072,
70,0.37072,
71,0.37072,
72,0.41328,
73,0.41328,
74,0.41328,
75,0.41328,
76,0.30496,
77,0.30496,
78,0.30496,
79,0.30496,
80,0.40376,
81,0.40376,
82,0.40376,
83,0.40376,
84,0.514,
85,0.514,
86,0.514,
87,0.514,
88,0.53704,
89,0.53704,
90,0.53704,
91,0.53704,
92,0.45096,
93,0.45096,
94,0.45096,
95,0.45096,
96,0.4256,
97,0.4256,
98,0.4256,
99,0.4256,
100,0.40528,
101,0.40528,
102,0.40528,
103,0.40528,
104,0.42472,
105,0.42472,
106,0.42472,
107,0.42472,
108,0.37696,
109,0.37696,
110,0.37696,
111,0.37696,
112,0.26416,
113,0.26416,
114,0.26416,
115,0.26416,
116,0.3324,
117,0.3324,
118,0.3324,
119,0.3324,
120,0.37608,
121,0.37608,
122,0.37608,
123,0.37608,
124,0.35424,
125,0.35424,
126,0.35424,
127,0.35424,
128,0.32056,
129,0.32056,
130,0.32056,
131,0.32056,
132,0.3176,
133,0.3176,
134,0.3176,
135,0.3176,
136,0.44824,
137,0.44824,
138,0.44824,
139,0.44824,
140,0.44392,
141,0.44392,
142,0.44392,
143,0.44392,
144,0.41632,
145,0.41632,
146,0.41632,
147,0.41632,
148,0.22576,
149,0.22576,
150,0.22576,
151,0.30248,
152,0.30248,
153,0.30248,
154,0.24136,
155,0.24136,
156,0.24136,
157,0.2004,
158,0.2004,
159,0.2004,
160,0.21936,
161,0.21936,
162,0.21936,
163,0.27392,
164,0.27392,
165,0.27392,
166,0.3512,
167,0.3512,
168,0.3512,
169,0.30824,
170,0.30824,
171,0.30824,
172,0.2604,
173,0.2604,
174,0.2604,
175,0.3044,
176,0.3044,
177,0.3044,
178,0.29688,
179,0.29688,
180,0.29688,
181,0.54216,
182,0.54216,
183,0.54216,
184,0.51184,
