bb_idx,MT_PredIG,WT_PredIG
0,0.038215,
1,0.102574,
2,0.243017,
3,0.035571,
4,0.128195,
5,0.044463,
6,0.159978,
7,0.01852,
8,0.002017,
9,0.001401,
10,0.000626,
11,0.004236,
12,0.051451,
13,0.144967,
14,0.096352,
15,0.306717,
16,0.007759,
17,0.048138,
18,0.066118,
19,0.092333,
20,0.007759,
21,0.158088,
22,0.061716,
23,0.066118,
24,0.007759,
25,0.040065,
26,0.086156,
27,0.00015,
28,0.002509,
29,0.335438,
30,0.492295,
31,0.395971,
32,0.050592,
33,0.069943,
34,0.423727,
35,0.427586,
36,0.037775,
37,0.008173,
38,0.204198,
39,0.216969,
40,0.109485,
41,0.632643,
42,0.697638,
43,0.963039,
44,0.04122,
45,0.292626,
46,0.629166,
47,0.156921,
48,0.003139,
49,0.168971,
50,0.167859,
51,0.267089,
52,0.135056,
53,0.705028,
54,0.590926,
55,0.779903,
56,0.010442,
57,0.370094,
58,0.252065,
59,0.423144,
60,0.001445,
61,0.000819,
62,0.00036,
63,0.00036,
64,0.007972,
65,0.006185,
66,0.008499,
67,0.005393,
68,0.001619,
69,0.000856,
70,0.000856,
71,0.000856,
72,0.003768,
73,0.032096,
74,0.061937,
75,0.049622,
76,0.005411,
77,0.010771,
78,0.014738,
79,0.002774,
80,0.001737,
81,0.005682,
82,0.003489,
83,0.067809,
84,0.046133,
85,0.130532,
86,0.474586,
87,0.142991,
88,0.001899,
89,0.007414,
90,0.020925,
91,0.003467,
92,0.008461,
93,0.012045,
94,0.018716,
95,0.055618,
96,0.001415,
97,0.004739,
98,0.004739,
99,0.010555,
100,9.2e-05,
101,0.010259,
102,0.010259,
103,0.00044,
104,0.000115,
105,0.002344,
106,0.001987,
107,0.000721,
108,0.000291,
109,0.00044,
110,0.001123,
111,0.000402,
112,0.034262,
113,0.04223,
114,0.024854,
115,0.031415,
116,0.074369,
117,0.045005,
118,0.010718,
119,0.040113,
120,0.099159,
121,0.046032,
122,0.016088,
123,0.017579,
124,0.047794,
125,0.009927,
126,0.021973,
127,0.040177,
128,0.099159,
129,0.007244,
130,0.016088,
131,0.048678,
132,0.074849,
133,0.027508,
134,0.28469,
135,0.190888,
136,0.003826,
137,0.286508,
138,0.014947,
139,0.036803,
140,0.012293,
141,0.214936,
142,0.100731,
143,0.041696,
144,0.007865,
145,0.056695,
146,0.119537,
147,0.328847,
148,0.055903,
149,0.053155,
150,0.028443,
151,0.032185,
152,0.035242,
153,0.029943,
154,0.057238,
155,0.053346,
156,0.128195,
157,0.106285,
158,0.277883,
159,0.113724,
160,0.036707,
161,0.012001,
162,0.012001,
163,0.179563,
164,0.110811,
165,0.154158,
166,0.265331,
167,0.004824,
168,0.001309,
169,0.025384,
170,0.001357,
171,0.005088,
172,0.002939,
173,4e-06,
174,1.3e-05,
175,0.004342,
176,0.000484,
177,0.000484,
178,0.004868,
179,2.5e-05,
180,0.000153,
181,0.003183,
182,0.004559,
183,0.015221,
184,0.464585,
185,0.081441,
186,0.116647,
187,0.167359,
188,0.048746,
189,0.048746,
190,0.130411,
191,0.575335,
192,0.779503,
193,0.003096,
194,0.412749,
195,0.412749,
196,0.055164,
197,0.291075,
198,0.139087,
199,0.019412,
200,0.072851,
201,0.046856,
202,0.005635,
203,0.016502,
204,0.016346,
205,0.036259,
206,0.102689,
207,0.158493,
208,0.053792,
209,0.211056,
210,0.050816,
211,0.094565,
212,0.236835,
213,0.114074,
214,0.12511,
215,0.003431,
216,0.008936,
217,0.149923,
218,0.004755,
219,0.004755,
220,0.076073,
221,0.00471,
222,0.004774,
223,0.002736,
224,0.073268,
225,0.049739,
226,0.007016,0.001157
227,0.036312,0.072163
228,0.033285,0.016538
229,0.001443,0.000627
230,0.048941,0.048941
231,0.007194,0.000671
232,0.027457,0.06433
233,0.023105,0.010787
234,0.097903,0.097903
235,0.042888,0.042888
236,0.011645,0.011645
237,0.020054,0.020054
238,0.082646,0.082646
239,0.031776,0.031776
240,0.225011,0.225011
241,0.342228,0.342228
242,0.048068,0.048068
243,0.000924,
244,0.002858,
245,0.003053,
246,0.002786,
247,0.003639,
248,0.000173,
249,0.014254,
250,0.02655,
251,0.00378,
252,0.023531,
253,0.033285,
254,0.007972,
255,0.001012,
256,0.011697,
257,0.002164,
258,0.000475,
259,0.00482,
260,0.00247,
261,0.015937,
262,0.008765,
263,0.016296,
264,0.000935,
265,0.00061,
266,0.010173,
267,0.453632,
268,0.51999,
269,0.324126,
270,0.014605,
271,0.738681,
272,0.020322,
273,0.076349,
274,0.00079,
275,0.000682,
276,0.000474,
277,0.017943,
278,0.000501,
279,0.095119,
280,0.026959,
281,0.00091,
282,0.00027,
283,0.000371,
284,0.000157,
285,0.00162,
286,0.006049,
287,0.007656,
288,0.000263,
289,0.026341,
290,0.003359,
291,0.006751,0.006751
292,0.013976,0.013976
293,0.003919,0.003919
294,0.10802,0.10802
295,0.186367,0.186367
296,0.039875,0.178228
297,0.000348,0.000126
298,0.045782,0.005857
299,0.0082,0.004662
300,0.007713,0.232298
301,0.123979,0.248416
302,0.014337,0.420621
303,0.062907,0.062907
304,0.378596,0.378596
305,0.271161,0.127044
306,0.032503,0.016462
307,0.101781,0.055618
308,0.000992,0.001104
309,0.10952,0.08109
310,0.024198,0.103337
311,0.119504,0.141552
312,0.056695,0.076746
313,0.186353,0.114289
314,0.773534,
315,0.310141,
316,0.03193,
317,0.044615,
318,0.003047,
319,0.032996,
320,0.015586,
321,0.009942,
322,0.001747,
323,0.095261,
324,0.019031,
325,0.014947,
326,0.056695,
327,0.119504,
328,0.026972,0.026972
329,0.032855,0.032855
330,0.011242,0.011242
331,0.19895,0.19895
332,0.180325,0.180325
333,0.381298,0.442813
334,0.017875,0.031862
335,0.021196,0.031692
336,0.005285,0.119341
337,0.000721,0.000368
338,0.002141,8.2e-05
339,0.005904,0.005904
340,0.015064,0.015064
341,0.66796,0.66796
342,0.077006,0.077006
343,0.051982,0.047107
344,0.01283,0.022048
345,0.042307,0.000299
346,0.015609,0.033285
347,0.016971,0.01507
348,0.062575,0.040489
349,0.425593,0.335449
350,0.006433,0.010559
351,0.000489,0.000748
352,0.001101,0.004778
353,0.024656,0.008989
354,0.000437,0.008094
355,0.024785,0.032096
356,0.004191,0.001315
357,0.132207,0.012549
358,0.004547,0.016088
359,0.056695,0.001906
360,0.286508,0.002141
361,0.002139,0.002139
362,0.096235,0.052706
363,0.349407,0.349407
364,0.300051,0.799726
365,0.585577,0.818996
366,0.877666,0.867955
367,0.183038,0.547994
368,0.094565,0.102574
369,0.012366,0.012366
370,0.016088,0.04536
371,0.074499,0.014651
372,0.054732,0.263135
373,0.013747,0.013747
374,0.028483,0.028483
375,0.076746,0.076746
376,0.012257,0.012257
377,0.171621,0.171621
378,0.002653,0.002653
379,0.161022,0.161022
380,0.008959,0.008959
381,0.409407,0.409407
382,0.258728,0.185728
383,0.000576,0.000576
384,0.009981,0.02814
385,0.004238,0.141552
386,0.032603,0.032603
387,0.017811,0.017811
388,0.031415,0.031415
389,0.071159,0.071159
390,0.225011,0.225011
391,0.158616,0.158616
392,0.158616,0.065526
393,0.367531,0.367531
394,0.804703,0.804703
395,0.304566,0.304566
396,0.121736,0.121736
397,0.26348,0.26348
398,0.86549,0.083163
399,0.016967,0.051074
400,0.020409,0.008937
401,0.020297,0.007259
402,0.035379,0.007012
403,0.042664,0.184578
404,0.00221,0.000679
405,0.142585,0.989747
406,0.079788,0.615151
407,0.72186,0.72186
408,0.18909,0.18909
409,0.000815,0.000815
410,0.000407,0.003377
411,0.388376,0.201905
412,0.004362,0.184354
413,0.001071,0.020408
414,0.008381,0.000188
415,0.001856,0.008396
416,0.226345,0.023776
417,0.038978,0.038978
418,0.011396,0.011396
419,0.000855,0.000855
420,0.853237,0.853237
421,0.863467,0.923504
422,0.848927,0.773256
423,0.485033,0.576406
424,0.3495,0.152565
425,0.315164,0.105252
426,0.012357,0.013776
427,0.11788,0.00221
428,0.155489,0.416708
429,0.146174,0.12805
430,0.106524,0.106524
431,0.002432,
432,0.004067,
433,0.006348,
434,0.00348,
435,0.004067,
436,0.00348,
437,0.005017,
438,0.018851,
439,0.038411,
440,0.002837,
441,0.005017,
442,0.002837,
443,0.000115,
444,0.000448,
445,0.000228,
446,0.000331,
447,0.000724,
448,0.000331,
449,0.020884,
