bb_idx,MT_TransHLA,WT_TransHLA
0,0.05579848960042,
1,0.05579848960042,
2,0.05579848960042,
3,0.05579848960042,
4,0.0409507378935813,
5,0.0409507378935813,
6,0.0409507378935813,
7,0.0409507378935813,
8,0.1616753488779068,
9,0.1616753488779068,
10,0.1616753488779068,
11,0.1616753488779068,
12,0.0491576865315437,
13,0.0491576865315437,
14,0.0491576865315437,
15,0.0491576865315437,
16,0.0664154216647148,
17,0.0664154216647148,
18,0.0664154216647148,
19,0.0664154216647148,
20,0.0295585822314023,
21,0.0295585822314023,
22,0.0295585822314023,
23,0.0295585822314023,
24,0.9040396213531494,
25,0.9040396213531494,
26,0.9040396213531494,
27,0.9040396213531494,
28,0.3480954766273498,
29,0.3480954766273498,
30,0.3480954766273498,
31,0.3480954766273498,
32,0.2478309422731399,
33,0.2478309422731399,
34,0.2478309422731399,
35,0.2478309422731399,
36,0.9662794470787048,
37,0.9662794470787048,
38,0.9662794470787048,
39,0.9662794470787048,
40,0.0655088126659393,
41,0.0655088126659393,
42,0.0655088126659393,
43,0.0655088126659393,
44,0.6872406005859375,
45,0.6872406005859375,
46,0.6872406005859375,
47,0.6872406005859375,
48,0.9740082621574402,
49,0.9740082621574402,
50,0.9740082621574402,
51,0.9740082621574402,
52,0.0923718735575676,
53,0.0923718735575676,
54,0.0923718735575676,
55,0.0923718735575676,
56,0.1007281392812728,
57,0.1007281392812728,
58,0.1007281392812728,
59,0.1007281392812728,
60,0.9528502821922302,
61,0.9528502821922302,
62,0.9528502821922302,
63,0.9528502821922302,
64,0.2569080889225006,
65,0.2569080889225006,
66,0.2569080889225006,
67,0.2569080889225006,
68,0.9473873376846312,
69,0.9473873376846312,
70,0.9473873376846312,
71,0.9473873376846312,
72,0.0435312800109386,
73,0.0435312800109386,
74,0.0435312800109386,
75,0.0435312800109386,
76,0.1415276080369949,
77,0.1415276080369949,
78,0.1415276080369949,
79,0.1415276080369949,
80,0.1194208338856697,
81,0.1194208338856697,
82,0.1194208338856697,
83,0.1194208338856697,
84,0.0769720450043678,
85,0.0769720450043678,
86,0.0769720450043678,
87,0.0769720450043678,
88,0.0223513636738061,
89,0.0223513636738061,
90,0.0223513636738061,
91,0.0223513636738061,
92,0.2039504945278167,
93,0.2039504945278167,
94,0.2039504945278167,
95,0.2039504945278167,
96,0.0571702159941196,
97,0.0571702159941196,
98,0.0571702159941196,
99,0.0571702159941196,
100,0.0306887365877628,
101,0.0306887365877628,
102,0.0306887365877628,
103,0.0306887365877628,
104,0.0019821133464574,
105,0.0019821133464574,
106,0.0019821133464574,
107,0.0019821133464574,
