bb_idx,MT_Seq2Neo
0,0.7354134
1,0.8425182
2,0.8010576
3,0.9327997
4,0.76172584
5,0.8521099
6,0.79160106
7,0.9211758
8,0.7840158
9,0.8526257
10,0.80883133
11,0.93827236
12,0.66370887
13,0.75053847
14,0.7056324
15,0.86325026
16,0.7443487
17,0.85984933
18,0.81067926
19,0.94027686
20,0.8055787
21,0.87796354
22,0.8383504
23,0.94454396
24,0.55779785
25,0.7592858
26,0.6998459
27,0.8283889
28,0.88541496
29,0.9323778
30,0.8960626
31,0.9764303
32,0.72625524
33,0.80295956
34,0.7699545
35,0.9244602
36,0.300507
37,0.709182
38,0.5603543
39,0.896672
40,0.7671171
41,0.8828559
42,0.8196198
43,0.9534978
44,0.650874
45,0.78389764
46,0.7402128
47,0.8811406
48,0.4632411
49,0.65131325
50,0.5375067
51,0.7498279
52,0.66693
53,0.7308673
54,0.6895594
55,0.86876345
56,0.74731034
57,0.8358549
58,0.78353965
59,0.93820524
60,0.7073294
61,0.8275504
62,0.74463284
63,0.92125356
64,0.7906689
65,0.88831216
66,0.8510672
67,0.94069564
68,0.8103261
69,0.8980131
70,0.86607516
71,0.9514476
72,0.8162259
73,0.8796377
74,0.84588516
75,0.9469799
76,0.78972685
77,0.8533554
78,0.82524204
79,0.9237269
80,0.7018406
81,0.78428376
82,0.7195888
83,0.88677907
84,0.669202
85,0.7452014
86,0.7385422
87,0.8848927
88,0.7684349
89,0.8369857
90,0.80733514
91,0.9154157
92,0.7038863
93,0.7644222
94,0.71830416
95,0.8813697
96,0.6318923
97,0.68769896
98,0.6558713
99,0.801682
100,0.6439135
101,0.76929533
102,0.7281236
103,0.8677559
104,0.8190784
105,0.8919927
106,0.86387324
107,0.9537513
108,0.6578616
109,0.75509226
110,0.697369
111,0.85353833
112,0.71677685
113,0.8445053
114,0.81219864
115,0.924916
116,0.7561872
117,0.8418397
118,0.777967
119,0.92708874
120,0.70712656
121,0.8047473
122,0.72502553
123,0.9050118
124,0.76196647
125,0.8359056
126,0.7655683
127,0.9236804
128,0.8142234
129,0.86083233
130,0.80168045
131,0.94056654
132,0.66439116
133,0.76236224
134,0.6953888
135,0.87412965
136,0.69168085
137,0.7567281
138,0.70214856
139,0.822768
140,0.7214445
141,0.7887121
142,0.7713777
143,0.880288
144,0.7955761
145,0.87990785
146,0.83110756
147,0.95243156
148,0.4042543
149,0.6931218
150,0.8569343
151,0.70565414
152,0.73530275
153,0.89700234
154,0.6627946
155,0.7125428
156,0.8699717
157,0.5439687
158,0.6361641
159,0.82922673
160,0.74219656
161,0.7256502
162,0.8945165
163,0.5044745
164,0.62233686
165,0.7589438
166,0.6419639
167,0.7273314
168,0.84935975
169,0.7000315
170,0.7673229
171,0.92296517
172,0.7124424
173,0.7154072
174,0.90779185
175,0.36512646
176,0.6324266
177,0.8006109
178,0.49604127
179,0.73996437
180,0.89699787
181,0.5476499
182,0.63892686
183,0.73609906
184,0.7325337
185,0.78557694
186,0.8652582
187,0.726538
188,0.78024495
189,0.8552592
190,0.6218351
191,0.69294465
192,0.75915134
193,0.73722833
194,0.76203454
195,0.84954214
196,0.78404284
197,0.8337699
198,0.91618496
199,0.6941979
200,0.68817204
201,0.85156786
202,0.6472124
203,0.7546826
204,0.858744
205,0.6671095
206,0.7936344
207,0.89119494
208,0.65912515
209,0.73026425
210,0.7828562
211,0.63131154
212,0.7486501
213,0.84779966
214,0.78165746
215,0.7846376
216,0.87318397
