bb_idx,MT_MUNIS,WT_MUNIS
0,0.0015780016547068,
1,0.0005419174558483,
2,0.0008856025524437,
3,0.0023218479473143,
4,0.00106366595719,
5,0.0003375943633727,
6,0.0044605107977986,
7,0.1089755743741989,
8,0.005701701156795,
9,0.0003744644927792,
10,0.0015779305249452,
11,0.0014563949080184,
12,0.0027662047650665,
13,0.0006130352267064,
14,0.0026914731133729,
15,0.0025540017522871,
16,0.0264042057096958,
17,0.0008161535370163,
18,0.0042891674675047,
19,0.002055944642052,
20,0.0074895853176712,
21,0.0004294021637178,
22,0.008819936774671,
23,0.0025019713211804,
24,0.0084435679018497,
25,0.0006472664535976,
26,0.0302879698574543,
27,0.5580435991287231,
28,0.0119401086121797,
29,0.0217839833348989,
30,0.0066537717357277,
31,0.0479497984051704,
32,0.00099732959643,
33,0.0025117865297943,
34,0.0026080631650984,
35,0.0173266269266605,
36,0.0081965345889329,
37,0.1598859131336212,
38,0.0404571592807769,
39,0.0398649200797081,
40,0.0033661082852631,
41,0.002323136664927,
42,0.0042460723780095,
43,0.0149138625711202,
44,0.005969445221126,
45,0.000998736009933,
46,0.00393503671512,
47,0.0196027942001819,
48,0.0307283848524093,
49,0.0029395977035164,
50,0.1568948030471801,
51,0.1470814347267151,
52,0.0020849702414125,
53,0.0008679229067638,
54,0.0058773555792868,
55,0.0139543917030096,
56,0.003075610846281,
57,0.0004512939485721,
58,0.0074777575209736,
59,0.0054858545772731,
60,0.9208450317382812,
61,0.0027482374571263,
62,0.1880050003528595,
63,0.1291569769382476,
64,0.0068128099665045,
65,0.0014863639371469,
66,0.0049539636820554,
67,0.0101799238473176,
68,0.015030656941235,
69,0.0079453494399786,
70,0.0975786447525024,
71,0.0327689014375209,
72,0.0026061499956995,
73,0.0014539900003001,
74,0.0028418502770364,
75,0.0083418749272823,
76,0.0063671553507447,
77,0.0018059393623843,
78,0.0042365156114101,
79,0.0197460018098354,
80,0.0038725188933312,
81,0.0019319880520924,
82,0.0126314163208007,
83,0.006459679454565,
84,0.0051645734347403,
85,0.0308510921895504,
86,0.0064219757914543,
87,0.0054982444271445,
88,0.0204922445118427,
89,0.0302293300628662,
90,0.0038681551814079,
91,0.0110968882218003,
92,0.0040155039168894,
93,0.0018778775120154,
94,0.0990449264645576,
95,0.0116885658353567,
96,0.0063811144791543,
97,0.0092743765562772,
98,0.0067206211388111,
99,0.0057428437285125,
100,0.0076032192446291,
101,0.0035347356460988,
102,0.0090593565255403,
103,0.00744533771649,
104,0.0026109623722732,
105,0.0018306786660104,
106,0.0133558632805943,
107,0.0053778644651174,
108,0.001989624928683,
109,0.0014508607564494,
110,0.0091026425361633,
111,0.0081664100289344,
112,0.0701098963618278,
113,0.0023174206726253,
114,0.0077942190691828,
115,0.0782069936394691,
116,0.0140600930899381,
117,0.0073086852207779,
118,0.0636276453733444,
119,0.0228645075112581,
120,0.0172958560287952,
121,0.0028213465120643,
122,0.0380205884575843,
123,0.0130316913127899,
124,0.0065414817072451,
125,0.0013907054672017,
126,0.0100861946120858,
127,0.0075439377687871,
128,0.0125176962465047,
129,0.0070403590798377,
130,0.0257775671780109,
131,0.0097648128867149,
132,0.0042821047827601,
133,0.0013322971062734,
134,0.0369249992072582,
135,0.0103144459426403,
136,0.0037082857452332,
137,0.0014383149100467,
138,0.7365378141403198,
139,0.4151870608329773,
140,0.0009642682271078,
141,0.0013947589322924,
142,0.0309588611125946,
143,0.0253201536834239,
144,0.0036659589968621,
145,0.0029948377050459,
146,0.0220704022794961,
147,0.018803434446454,
148,0.4154956936836242,
149,0.004130657762289,
150,0.0032256685663014,
151,0.1212791800498962,
152,0.00767641980201,
153,0.0022281431593,
154,0.0797474831342697,
155,0.0036551468074321,
156,0.0013411433901637,
157,0.9134620428085328,
158,0.1004131436347961,
159,0.0071435361169278,
160,0.7403990626335144,
161,0.0937245488166809,
162,0.2692615985870361,
163,0.0865750014781951,
164,0.0045021520927548,
165,0.7114641070365906,
166,0.0203040465712547,
167,0.0045899697579443,
168,0.012640630826354,
169,0.0254159830510616,
170,0.0063810162246227,
171,0.0013438535388559,
172,0.1187835112214088,
173,0.0513657517731189,
174,0.0025407020002603,
175,0.0225430410355329,
176,0.1780428439378738,
177,0.0046367212198674,
178,0.0110425138846039,
179,0.0165563337504863,
180,0.0010562530951574,
181,0.3570474982261657,
182,0.0884244740009307,
183,0.0092472778633236,
184,0.3280290961265564,
185,0.0685126334428787,
186,0.0081488359719514,
187,0.3370631337165832,
188,0.0146982129663228,
189,0.0051453174091875,
190,0.2943340837955475,
191,0.0025617005303502,
192,0.0035464558750391,
193,0.107771947979927,
194,0.1370813399553299,
195,0.0231183618307113,
196,0.0365076586604118,
197,0.000849206931889,
198,0.0006301492103375,
199,0.0761151164770126,
200,0.0663319304585456,
201,0.0009753152844496,
202,0.1386544704437255,
203,0.0697549432516098,
204,0.0414870046079158,
205,0.0164715573191642,
206,0.0013134030159562,
207,0.0024079035501927,
208,0.0480460450053215,
209,0.0123801166191697,
210,0.6827867031097412,
211,0.0431665405631065,
212,0.0012770059984177,
213,0.0013002620544284,
214,0.1340508162975311,
215,0.0033012710046023,
216,0.0043897968716919,
217,0.2393071204423904,
218,0.0362913087010383,
219,0.013727624900639,
220,0.2576106488704681,
221,0.0134856682270765,
222,0.0089497044682502,
223,0.9315295219421388,
224,0.0104481009766459,
225,0.0120179411023855,
226,0.0126037988811731,0.007631002459675
227,0.0063849529251456,0.0010138744255527
228,0.0314327962696552,0.0060809017159044
229,0.0183061622083187,0.0124025074765086
230,0.0002990798966493,0.0004637107776943
231,0.0032629570923745,0.0015927596250548
232,0.1575293838977813,0.026541318744421
233,0.0258507691323757,0.0048170047812163
234,0.0416053794324398,0.0416053794324398
235,0.1077134981751442,0.1077134981751442
236,0.5654328465461731,0.5654328465461731
237,0.2085739374160766,0.2085739374160766
238,0.0041773612610995,0.0041773612610995
239,0.0045572486706078,0.0045572486706078
240,0.0142257455736398,0.0142257455736398
241,0.015260899439454,0.015260899439454
242,0.3989897668361664,0.3989897668361664
243,0.0679297447204589,
244,0.379434734582901,
245,0.1458169668912887,
246,0.9960750341415404,
247,0.2843270897865295,
248,0.1495388001203537,
249,0.0028210896998643,
250,0.016185900196433,
251,0.0219256747514009,
252,0.0226367749273777,
253,0.0357306413352489,
254,0.0256939772516489,
255,0.0691957920789718,
256,0.0495373755693435,
257,0.5098498463630676,
258,0.0543434731662273,
259,0.2866200804710388,
260,0.5686609148979187,
261,0.6523405909538269,
262,0.0585693195462226,
263,0.9490407705307008,
264,0.1741102635860443,
265,0.8229616284370422,
266,0.4395211637020111,
267,0.0061770798638463,
268,0.0020328145474195,
269,0.0078956335783004,
270,0.0050425687804818,
271,0.0223786048591136,
272,0.0111156934872269,
273,0.0098382644355297,
274,0.0072722760960459,
275,0.0719044804573059,
276,0.016109649091959,
277,0.0183375384658575,
278,0.0240826401859521,
279,0.0056603201664984,
280,0.0035089396405965,
281,0.1288027018308639,
282,0.0044649988412857,
283,0.0272712763398885,
284,0.0356399193406105,
285,0.0031653991900384,
286,0.0118040069937706,
287,0.0138315912336111,
288,0.0203510969877243,
289,0.0058956146240234,
290,0.0072268308140337,
291,0.0033543270546942,0.0033543270546942
292,0.0062458827160298,0.0062458827160298
293,0.0185008309781551,0.0185008309781551
294,0.0193202830851078,0.0193202830851078
295,0.0033799118828028,0.0033799118828028
296,0.0439013764262199,0.0439013764262199
297,0.0058723157271742,0.0058723157271742
298,0.0027583842165768,0.0015598589088767
299,0.1232960373163223,0.129343956708908
300,0.2528205513954162,0.1045560464262962
301,0.0291301105171442,0.012620985507965
302,0.1068947911262512,0.0825140178203582
303,0.0009796953527256,0.0009796953527256
304,0.0064356178045272,0.0064356178045272
305,0.0005174397374503,0.0005174397374503
306,0.0081017641350626,0.0081017641350626
307,0.0010776609415188,0.0010776609415188
308,0.0052446415647864,0.0078532407060265
309,0.0011565811000764,0.0007370052044279
310,0.0161605887115001,0.0025292097125202
311,0.3138851523399353,0.0965296998620033
312,0.0069930194877088,0.0015268748393282
313,0.0110770789906382,0.011721396818757
314,0.0016558393836021,
315,0.0127187026664614,
316,0.0015940716257318,
317,0.0129651250317692,
318,0.0955375283956527,
319,0.0290967877954244,
320,0.0133077995851635,
321,0.0027058462146669,
322,0.0003641219227574,
