bb_idx,MT_HLAthena,WT_HLAthena
0,0.0004756859915192,
1,0.0002042613345702,
2,0.013236824542451,
3,0.0103825543729626,
4,0.0009026999386749,
5,3.35881200522575e-05,
6,0.001913819925487,
7,0.369406014836083,
8,0.0124319958449026,
9,9.07078056728652e-05,
10,0.0518586315497184,
11,0.000314246498005,
12,0.0001377703878468,
13,1.98636340777448e-05,
14,0.00145664962217,
15,0.0006678541282168,
16,0.0122034809566786,
17,7.84979002493142e-05,
18,0.0146048281092489,
19,0.0006886769264526,
20,0.0037316507770002,
21,4.94567548479689e-05,
22,0.0036447170988872,
23,5.34808135106063e-05,
24,0.0014532909869773,
25,2.53112188095884e-05,
26,0.005126351429896,
27,0.0790788919722318,
28,0.0371974513748885,
29,0.0014777755464911,
30,0.0063342916823834,
31,0.0022731363865416,
32,2.78473531312383e-05,
33,0.0001214526658608,
34,0.0019242905675115,
35,0.0953436925716232,
36,0.0165112565512067,
37,0.316026622367402,
38,0.0094592463348211,
39,0.0376427524533129,
40,0.0054757567719308,
41,0.0009371115841834,
42,0.002670953468264,
43,0.0029547381201811,
44,0.0265840084524017,
45,7.92739354720437e-05,
46,0.0012115117167101,
47,0.261831638999542,
48,0.0367818881920862,
49,0.0001539715967218,
50,0.388425508689963,
51,0.0872889832401092,
52,0.0007028624887981,
53,0.0010946833758882,
54,0.0094586156997239,
55,0.0178623090258649,
56,0.0037980044886505,
57,0.0001797267761287,
58,0.0006875150384277,
59,0.0001007249484584,
60,0.979665448930528,
61,0.0001188765347117,
62,0.301095967725592,
63,0.0066995939817894,
64,0.0002603951391706,
65,2.41925009251946e-05,
66,0.0003060546725085,
67,0.0021650802836831,
68,0.0020580805400211,
69,0.000726719732956,
70,0.005069480507695,
71,0.0178186352441773,
72,0.0008207797551773,
73,0.0004121659527717,
74,0.004996321687391,
75,7.38252438944049e-05,
76,0.0006038221916092,
77,1.06935903970632e-05,
78,0.0002514208471113,
79,0.0024152799443371,
80,0.0013739187731466,
81,2.12380163779397e-05,
82,0.0013096920497764,
83,1.45423729788985e-05,
84,2.31863269441036e-05,
85,0.0147867398936569,
86,0.0006250942094482,
87,8.76466793342992e-05,
88,0.0011558295073913,
89,0.0003063653356146,
90,0.0001881127692583,
91,0.0002854118406229,
92,0.0593059657833591,
93,0.0001013097147037,
94,0.0208064403113831,
95,0.0001240316606857,
96,0.0004586682710796,
97,0.0004206797836745,
98,0.0017387433925263,
99,0.0025328012464898,
100,0.0003640182035456,
101,2.96595280269448e-05,
102,0.0001678592609111,
103,0.0001538787869999,
104,0.0001754696732306,
105,3.70213554559946e-05,
106,0.0004745951793007,
107,4.17400230792249e-05,
108,0.0003692808931267,
109,1.20682438597123e-05,
110,0.0003723056256017,
111,0.0003628122409696,
112,0.211733458685275,
113,6.22396926252359e-05,
114,0.0004737344565727,
115,0.0565596285732883,
116,0.0106037027741523,
117,0.0003420794154812,
118,0.0473872677494203,
119,0.0086943506284569,
120,0.0014925289776894,
121,9.76378963479302e-06,
122,0.0021820231104663,
123,0.0012634021528511,
124,0.0001469704239264,
125,3.27704422021322e-05,
126,0.0019951964459601,
127,0.000209701653949,
128,0.0008318388201113,
129,4.86201960725907e-05,
130,0.0048025908228484,
131,0.0002680670014963,
132,0.004823961407889,
133,7.01336041570145e-06,
134,0.0009942209067156,
135,1.48758596465191e-05,
136,0.000533190056432,
137,0.0002464525277352,
138,0.513124216430717,
139,0.0393221016315692,
140,2.53475683479393e-05,
141,9.05821744092428e-06,
142,0.0010648961307626,
143,0.0262566761095918,
144,0.0007506122709195,
145,0.0001527854977327,
146,0.003736157768867,
147,4.60741463688568e-05,
148,0.0974026440979085,
149,0.0005093563309976,
150,0.0044628609730239,
151,0.0001262449083102,
152,0.0015528424495187,
153,1.82525085715843e-05,
154,0.0001045270884873,
155,0.0014969174105727,
156,2.47868292791529e-05,
157,0.248580064294705,
158,0.0018264132689586,
159,0.0001392226614029,
160,9.93587535212911e-05,
161,0.001646001410267,
162,0.0799825588933244,
163,0.0133660337998739,
164,0.0003673211872549,
165,0.755993757810858,
166,0.0002891777876155,
167,0.0021642864672685,
168,0.0024510352967202,
169,0.000806789227553,
170,0.0040063671988497,
171,4.87109291987488e-05,
172,0.0115688406989989,
173,0.281349691708116,
174,0.0029871895252805,
175,0.0001625719376806,
176,0.0061433515847119,
177,0.0075455051300903,
178,0.0001893807123057,
179,0.0485616568070933,
180,0.000105561674281,
181,0.0404364115175263,
182,0.0116765106394193,
183,0.0019923744047345,
184,0.0026765581135489,
185,0.0026959379861447,
186,5.77259113830072e-05,
187,0.119563768980717,
188,7.22605192557513e-05,
189,0.0001178436490435,
190,0.112668808718702,
191,2.58715649909252e-05,
192,0.0002933775087032,
193,0.0012656499168144,
194,0.0537681804752639,
195,0.0027030913704177,
196,0.0004181023438407,
197,1.2707593954434e-05,
198,2.15900425020407e-05,
199,0.0009180244339124,
200,0.0102984358448036,
201,5.87666806185815e-05,
202,0.0089433341474691,
203,0.0012909184967377,
204,0.000940737932299,
205,3.35597581519853e-05,
206,3.30921158044895e-05,
207,0.0001194728604297,
208,0.0024715349271227,
209,0.0035754944754065,
210,0.30372168906033,
211,0.0001525042430355,
212,5.58940866496176e-05,
213,5.04452173591441e-05,
214,0.0002190062376758,
215,0.0002200420572542,
216,0.0005229912336967,
217,0.0004991002950797,
218,0.0032301689535201,
219,0.0090499366274242,
220,0.0001050548943651,
221,0.0004416415720957,
222,0.0001398972907285,
223,0.490600388600595,
224,3.44375841175884e-05,
225,0.0005466077049706,
226,0.0004441770579861,0.0002000792167903
227,0.0078911099145461,0.00243831486192
228,0.0061570295662982,0.0006445244705909
229,0.0031432653411862,0.0009729565346949
230,5.89080406874204e-05,6.61542755725019e-05
231,0.0100311004779744,0.0004660582544718
232,0.166044785247909,0.0162848885936304
233,0.0215412743138308,0.0034435093719819
234,0.0311680268041528,0.0311680268041528
235,0.347403995785862,0.347403995785862
236,0.791342649857203,0.791342649857203
237,0.112462963135396,0.112462963135396
238,0.0184262268835305,0.0184262268835305
239,0.0194387832822233,0.0194387832822233
240,0.100761437374685,0.100761437374685
