bb_idx,MT_BigMHC_IM,WT_BigMHC_IM
0,0.0024939848,
1,0.01368963,
2,0.0057153283,
3,0.0091014225,
4,0.003080325,
5,0.010314512,
6,0.023006707,
7,0.16512236,
8,0.0028317594,
9,0.046305317,
10,0.06167978,
11,0.0035497914,
12,0.0021244723,
13,0.013011574,
14,0.007041958,
15,0.001654476,
16,0.009924592,
17,0.009099312,
18,0.013778086,
19,0.00682557,
20,0.0017516034,
21,0.019696888,
22,0.024254555,
23,0.01645204,
24,0.00033220378,
25,0.011342956,
26,0.005558641,
27,0.012911724,
28,0.008051013,
29,0.08641507,
30,0.08402324,
31,0.19285774,
32,0.0056490633,
33,0.2199994,
34,0.010719983,
35,0.09018256,
36,0.0035477418,
37,0.117210515,
38,0.006334961,
39,0.06390209,
40,0.013904001,
41,0.036124505,
42,0.010308114,
43,0.06695517,
44,0.004262175,
45,0.09987624,
46,0.014475385,
47,0.21153559,
48,0.0011850989,
49,0.09529089,
50,0.015350893,
51,0.064691104,
52,0.02255459,
53,0.040076192,
54,0.058039583,
55,0.056275126,
56,0.0047041313,
57,0.07379471,
58,0.044542376,
59,0.02332011,
60,0.05115729,
61,0.05363049,
62,0.33803272,
63,0.29792714,
64,0.011531319,
65,0.031187952,
66,0.013097589,
67,0.013903217,
68,0.004558117,
69,0.09730973,
70,0.006405341,
71,0.031798758,
72,0.0045519127,
73,0.013685273,
74,0.006353247,
75,0.016585449,
76,0.0025798266,
77,0.019607458,
78,0.024937382,
79,0.05129122,
80,0.0063468176,
81,0.08792394,
82,0.026209611,
83,0.005364232,
84,0.0025217093,
85,0.007357016,
86,0.011705962,
87,0.0031595582,
88,0.0014317882,
89,0.011323984,
90,0.015538877,
91,0.0023394288,
92,0.0009878954,
93,0.10773342,
94,0.024449814,
95,0.013158776,
96,0.00049266324,
97,0.021767063,
98,0.003883686,
99,0.006330181,
100,0.0013732094,
101,0.009076041,
102,0.005035874,
103,0.007046218,
104,0.00042613267,
105,0.0050857514,
106,0.0023219842,
107,0.0044683157,
108,0.0008691564,
109,0.008609912,
110,0.006913118,
111,0.0048574163,
112,0.001798536,
113,0.006040468,
114,0.008895279,
115,0.0014894864,
116,0.001683567,
117,0.013736365,
118,0.009446078,
119,0.0038706171,
120,0.0010303197,
121,0.01179025,
122,0.020005262,
123,0.027361771,
124,0.0005314942,
125,0.02498709,
126,0.02531093,
127,0.011097079,
128,0.0012961142,
129,0.045895714,
130,0.026626175,
131,0.0037094944,
132,0.0015046677,
133,0.017844232,
134,0.041086286,
135,0.0015994968,
136,0.00022651255,
137,0.008196418,
138,0.07064861,
139,0.0013551308,
140,0.0008011335,
141,0.0074711842,
142,0.020621436,
143,0.015352742,
144,0.0005920249,
145,0.018561384,
146,0.011287191,
147,0.0084769875,
148,0.066033155,
149,0.068684556,
150,0.008412185,
151,0.14881386,
152,0.29462415,
153,0.008265142,
154,0.06620736,
155,0.09397354,
156,0.0029597334,
157,0.127567,
158,0.05263703,
159,0.0054680808,
160,0.05013034,
161,0.048217546,
162,0.00827562,
163,0.260129,
164,0.22968997,
165,0.06623799,
166,0.060114153,
167,0.13754423,
168,0.0037943241,
169,0.07932321,
170,0.10158575,
171,0.004861023,
172,0.12855557,
173,0.11603534,
174,0.010157685,
175,0.042450912,
176,0.14303504,
177,0.0060510477,
178,0.10961502,
179,0.094532534,
180,0.013052883,
181,0.2008778,
182,0.18163027,
183,0.008385346,
184,0.24444033,
185,0.07378359,
186,0.01037971,
187,0.22469126,
188,0.031066533,
189,0.03235135,
190,0.21300837,
191,0.029403467,
192,0.0022735856,
193,0.07331483,
194,0.010900787,
195,0.0081120925,
196,0.1432868,
197,0.054290336,
198,0.0014977743,
199,0.07180618,
200,0.09289027,
201,0.0033919308,
202,0.11647495,
203,0.11553572,
204,0.0113969585,
205,0.100073114,
206,0.017640863,
207,0.011711686,
208,0.047986235,
209,0.23792012,
210,0.05713297,
211,0.104076385,
212,0.027394926,
213,0.004104434,
214,0.09485886,
215,0.05897194,
216,0.0019697573,
217,0.1757422,
218,0.102298185,
219,0.004898846,
220,0.0294354,
221,0.0081358235,
222,0.001855798,
223,0.2777993,
224,0.015635207,
225,0.0022773866,
226,0.047782548,0.030360341
227,0.18722129,0.16703837
228,0.4833786,0.30389366
229,0.502948,0.44317967
230,0.2699575,0.28356105
231,0.1555577,0.19573869
232,0.59476006,0.5329787
233,0.5447014,0.5492053
234,0.3593754,0.3593754
235,0.033527974,0.033527974
236,0.20204481,0.20204481
237,0.11221931,0.11221931
238,0.020010775,0.020010775
239,0.018100454,0.018100454
240,0.02477816,0.02477816
241,0.01843044,0.01843044
242,0.05190474,0.05190474
243,0.00014350987,
244,0.028348576,
245,0.0005441102,
246,0.07273822,
247,0.0026396124,
248,0.0019155239,
249,0.0008269809,
250,0.29799733,
251,0.0032850131,
252,8.969158e-05,
253,0.025861224,
254,0.0365034,
255,0.00032373462,
256,0.051931042,
257,0.018298646,
258,0.00010729109,
259,0.059148453,
260,0.07395703,
261,0.00068790093,
262,0.06912966,
263,0.03433305,
264,0.0009674635,
265,0.07430429,
266,0.0819891,
267,0.00026859116,
268,0.020441284,
269,0.0016999033,
270,0.00014356154,
271,0.04996366,
272,0.019518916,
273,6.2740604e-05,
274,0.012573427,
275,0.0053924173,
276,0.00037757284,
277,0.033553116,
278,0.005980513,
279,2.1454196e-05,
280,0.11382519,
281,0.0019040091,
282,9.3637655e-06,
283,0.0028674195,
284,0.0017396958,
285,9.9208424e-05,
286,0.41852233,
287,0.002673038,
288,0.00017574639,
289,0.005477904,
290,0.0037992182,
291,0.023401175,0.023401175
292,0.1386946,0.1386946
293,0.28759632,0.28759632
294,0.3505188,0.3505188
295,0.18200633,0.18200633
296,0.25731632,0.25731632
297,0.18676935,0.18676935
298,0.10467378,0.114746965
299,0.36573356,0.36590728
300,0.24383007,0.28892422
301,0.24530984,0.1853509
302,0.032037422,0.03255738
303,0.122512594,0.122512594
304,0.23901653,0.23901653
305,0.2139349,0.2139349
306,0.12560257,0.12560257
307,0.018799411,0.018799411
308,0.038513456,0.034439128
309,0.105602376,0.07308038
310,0.030541357,0.017756937
311,0.28215224,0.14478311
312,0.030744227,0.023749325
313,0.022180727,0.013188308
314,0.11645357,
315,0.1414604,
316,0.044119768,
317,0.043112192,
318,0.12387649,
319,0.112620056,
320,0.04466,
321,0.08682591,
322,0.016135583,
323,0.014146575,
324,0.044706605,
325,0.033355746,
326,0.015624763,
327,0.083947554,
328,0.07584383,0.07584383
329,0.1464074,0.1464074
330,0.3547555,0.3547555
331,0.11449318,0.11449318
332,0.071873024,0.071873024
333,0.34387684,0.34387684
334,0.26480094,0.16185954
335,0.38564137,0.34110647
336,0.57794315,0.56302667
337,0.41712895,0.4137631
338,0.3587148,0.2805238
339,0.1823904,0.1823904
340,0.35034356,0.35034356
341,0.22047763,0.22047763
342,0.081221275,0.081221275
343,0.11391535,0.11391535
344,0.19130448,0.19130448
345,0.20860966,0.19466178
346,0.29639587,0.29412475
347,0.42838436,0.3539054
348,0.36785087,0.33833185
349,0.25663882,0.28547174
350,0.10958225,0.08754237
351,0.047734533,0.043910764
352,0.12104135,0.11841498
353,0.06022634,0.05823302
354,0.12535137,0.2047715
355,0.19069436,0.2660702
356,0.19931242,0.28268567
357,0.013346717,0.04426316
358,0.03244247,0.030679332
359,0.010593564,0.06014267
360,0.024721058,0.035937674
361,0.04709364,0.04709364
362,0.21323569,0.21323569
363,0.2826439,0.2826439
364,0.2751254,0.119434975
365,0.09377052,0.075004205
366,0.08099526,0.113123015
367,0.0808825,0.066161685
368,0.032657456,0.03023093
369,0.00582054,0.0093799485
370,0.018535579,0.014533212
371,0.017898161,0.020100763
372,0.003195167,0.0035264425
373,0.035360195,0.035360195
374,0.02650966,0.02650966
375,0.0049198256,0.0049198256
376,0.031043649,0.031043649
377,0.043381892,0.043381892
378,0.094984844,0.094984844
379,0.29518554,0.29518554
380,0.06814409,0.06814409
381,0.30313784,0.30313784
382,0.4643236,0.4643236
383,0.6236378,0.6236378
384,0.14271021,0.17352852
385,0.5996266,0.6269352
386,0.01581734,0.01581734
387,0.010659987,0.010659987
388,0.012645235,0.012645235
389,0.020269958,0.020269958
390,0.031821273,0.031821273
391,0.082981154,0.082981154
392,0.04040618,0.021445291
393,0.044942416,0.044942416
394,0.38208738,0.38208738
395,0.5006787,0.5006787
396,0.06579996,0.06579996
397,0.13555576,0.13555576
398,0.0958749,0.04110011
399,0.08041995,0.112889126
400,0.122693665,0.21053831
401,0.038156986,0.05697481
402,0.028012587,0.034659628
403,0.099803664,0.20682143
404,0.06324048,0.049096428
405,0.012404653,0.026574988
406,0.019649284,0.014545376
407,0.021190302,0.021190302
408,0.06451161,0.06451161
409,0.037846275,0.037846275
410,0.11753223,0.11753223
411,0.16232963,0.1169156
412,0.07048678,0.09859208
413,0.5614311,0.5223036
414,0.2198435,0.28076684
415,0.3628784,0.40138954
416,0.25214002,0.27916828
417,0.20420782,0.20420782
418,0.13762343,0.13762343
419,0.050984837,0.050984837
420,0.039739158,0.039739158
421,0.16436388,0.16436388
422,0.055817675,0.055817675
423,0.08291267,0.08291267
424,0.15337336,0.20528948
425,0.18451147,0.13349976
426,0.4598093,0.3180756
427,0.7277251,0.5851751
428,0.11737589,0.109468825
429,0.30261302,0.24801661
430,0.3533837,0.3815517
431,4.5904435e-05,
432,0.020911267,
433,0.00065374176,
434,4.1188036e-05,
435,0.0062706247,
436,0.0036862043,
437,7.629626e-05,
438,0.020568715,
439,0.0011513346,
440,9.938354e-05,
441,0.01960654,
442,0.011326059,
443,3.989858e-05,
444,0.015462986,
445,0.0013679193,
446,0.00016726354,
447,0.01403062,
448,0.0069388235,
449,0.00013566505,
450,0.033755533,
451,0.0010988448,
452,0.00090827735,
453,0.015545878,
454,0.0013441958,
455,4.7496862e-05,
456,0.03683453,
457,0.0011634025,
458,0.00040872418,
459,0.008325012,
460,0.003087243,
461,0.00014410052,
462,0.026263965,
463,0.011670754,
464,0.0024052465,
465,0.07676331,
466,0.0029195282,
467,0.00033195858,
468,0.04658845,
469,0.00083710114,
470,0.00014014058,
471,0.012950226,
472,0.008485513,
473,5.0739647e-05,
474,0.014053061,
475,0.001473871,
476,3.9564282e-05,
477,0.053014256,
478,0.0107935155,
479,2.1667465e-05,
480,0.0077993562,
481,0.0023514596,
482,2.0048405e-05,
483,0.005749803,
484,0.0017452927,
485,2.1227612e-05,
486,0.010765525,
487,0.033165805,
488,4.012339e-05,
489,0.0015724892,
490,0.00083025964,
491,1.4184542e-05,
492,0.00839291,
493,0.0017567346,
494,0.00032750142,
495,0.019210085,
496,0.02537993,
497,5.9706184e-05,
498,0.01983094,
499,0.014107234,
500,0.0019043392,
501,0.017445704,
502,0.041957103,
503,0.00043513367,
504,0.16605534,
505,0.0015639862,
506,0.00012694436,
507,0.03526474,
508,0.17495735,
509,0.00015978709,
510,0.20734775,
511,0.0021554239,
512,0.00023884408,
513,0.053515024,
514,0.05586144,
515,0.06485864,0.06485864
516,0.06875901,0.06875901
517,0.021475833,0.021475833
518,0.38313174,0.38313174
519,0.24381235,0.24381235
520,0.12400281,0.11662763
521,0.12098253,0.07545297
522,0.1217185,0.08769803
523,0.085556395,0.05734549
524,0.45478722,0.48752016
525,0.5441452,0.5355361
526,0.0001404842,
527,0.030851768,
528,0.030535426,
529,0.00021465562,
530,0.017571377,
531,0.020978412,
532,2.5272486e-05,
533,0.047077354,
534,0.0046639233,
535,0.00013729649,
536,0.0081940545,
537,0.0033938887,
538,5.632645e-05,
539,0.20903505,
540,0.009637357,
541,8.3042265e-05,
542,0.025880152,
543,0.009803174,
544,6.081551e-05,
545,0.20068648,
546,0.0018628584,
547,6.7523135e-05,
548,0.0148098385,
549,0.010343976,
550,0.00018212748,
551,0.0680162,
552,0.00061479496,
553,6.8059264e-05,
554,0.020405097,
555,0.007124146,
556,0.00043023075,
557,0.22595608,
558,0.0013440186,
559,0.000101851816,
560,0.003223786,
561,0.0014939836,
562,0.00045495067,
563,0.33816856,
564,0.00035632213,
565,1.0330911e-05,
566,0.002117366,
567,0.0025878719,
568,0.0040438217,
569,0.23433109,
570,0.0017048063,
571,0.0037445694,
572,0.33630392,
573,0.014416407,
574,0.0063097673,
575,0.21464019,
576,0.005356761,
577,0.081331514,
578,0.26044708,
579,0.009680186,
580,0.0037473987,
581,0.07879912,
582,0.0012096692,
583,0.0022561473,
584,0.006055422,
585,0.0008349588,
586,0.00038674733,
587,0.0425686,
588,0.002137869,
589,7.465882e-05,
590,0.003275607,
591,0.0026110825,
592,0.00012608996,
593,0.033486765,
594,0.012436024,
595,4.77738e-05,
596,0.0051605674,
597,0.001881597,
598,0.00022084721,
599,0.11400383,
600,0.120529294,
601,0.00020142361,
602,0.0068833907,
603,0.006505088,
604,0.0004397443,
605,0.20251617,
606,0.019504527,
607,0.00018404359,
608,0.0013172682,
609,0.0009853021,
610,0.00019107337,
611,0.053676695,
612,0.0041509005,
