backbone,T0,alpha,T_ts,raw_ITB-LQ_ece,raw_ITB-LQ_auc,raw_ITB-HQ_ece,raw_ITB-HQ_auc,raw_ITB-Edge_ece,raw_ITB-Edge_auc,raw_ITB-Diverse_ece,raw_ITB-Diverse_auc,raw_rho,raw_qcdi,ts_ITB-LQ_ece,ts_ITB-LQ_auc,ts_ITB-HQ_ece,ts_ITB-HQ_auc,ts_ITB-Edge_ece,ts_ITB-Edge_auc,ts_ITB-Diverse_ece,ts_ITB-Diverse_auc,ts_rho,ts_qcdi,qcts_ITB-LQ_ece,qcts_ITB-LQ_auc,qcts_ITB-HQ_ece,qcts_ITB-HQ_auc,qcts_ITB-Edge_ece,qcts_ITB-Edge_auc,qcts_ITB-Diverse_ece,qcts_ITB-Diverse_auc,qcts_rho,qcts_qcdi
ViT-Tiny,0.5236432494005134,1.4009273926518706,1.3225399096851034,0.058398151397705,0.7180555555555556,0.0357729524374007,0.926118827160494,0.0589539460160515,0.8965650826446281,0.0684763806660969,0.5662497474237219,0.0277056152016846,0.0226251989603042,0.0428044799963633,0.7180555555555556,0.0717194711168607,0.926118827160494,0.0404253154993057,0.8965650826446281,0.0484518214066823,0.5662497474237219,0.0277063108379593,-0.0289149911204973,0.0574568738540013,0.7234722222222223,0.0749304663803842,0.925733024691358,0.0319694555166995,0.8961633379247016,0.0468144046465555,0.5617660133360274,-0.0557834715335865,-0.0174735925263828
ResNet-50,0.5523036473918741,0.2432853550683916,1.3225399096851034,0.0500379129250844,0.6908333333333333,0.0357849513490994,0.9035011574074074,0.0355383105350263,0.8873393021120294,,,-0.3684082338636028,0.0142529615759849,0.0287939943869908,0.6908333333333333,0.0247074271241823,0.9035011574074074,0.0561348072507164,0.8873393021120294,,,-0.3684085699097045,0.0040865672628084,0.0456387817859649,0.6913888888888889,0.0314274978306558,0.9028742283950616,0.0557692526867895,0.8872388659320478,,,-0.3802463593628345,0.0142112839553091
ViT-Tiny (DeiT),0.5236432494005134,1.4009273926518706,1.3225399096851034,0.058398151397705,0.7180555555555556,0.0357729524374007,0.926118827160494,0.0589539460160515,0.8965650826446281,,,-0.1596376262345186,0.0226251989603042,0.0428044799963633,0.7180555555555556,0.0717194711168607,0.926118827160494,0.0404253154993057,0.8965650826446281,,,-0.159637055130074,-0.0289149911204973,0.0574568738540013,0.7234722222222223,0.0749304663803842,0.925733024691358,0.0319694555166995,0.8961633379247016,,,-0.2657301125025918,-0.0174735925263828
ConvNeXt-Tiny,1.3861122111447353,0.5226551056287232,1.808330815312697,0.170796749194463,0.7001388888888889,0.0349656464325057,0.9233217592592592,0.0421816939657384,0.9054608585858586,,,-0.2412998931610097,0.1358311027619573,0.0966501226027806,0.7001388888888889,0.1187002206842104,0.9233217592592592,0.0810943928631869,0.9054608585858586,,,-0.2412998931610097,-0.0220500980814297,0.0955187032620112,0.701111111111111,0.1155468271838294,0.9232253086419752,0.0830700017286069,0.9053317263544536,,,-0.2695808720730256,-0.0200281239218181
Swin-Tiny,0.29192784523549536,0.303547642008418,1.3225399096851034,0.05646123389403025,0.711875,0.036889969805876444,0.9375,0.01985151027188156,0.9002525252525252,,,-0.23708095779275243,0.01957126408815381,0.04437459985415139,0.711875,0.06581371178229652,0.9375,0.0575661265488827,0.9002525252525252,,,-0.23708095779275243,-0.021439111928145127,0.05134282628695171,0.7146527777777778,0.03510409295558927,0.937451774691358,0.033069015542666134,0.9001664370982553,,,-0.2594442800703118,0.016238733331362436
