conspicuity_col,coverage,retained_n,ad_auroc
glcm_contrast,0.1,278,0.739
glcm_contrast,0.15,417,0.7736
glcm_contrast,0.2,556,0.7802
glcm_contrast,0.25,694,0.7847
glcm_contrast,0.3,833,0.804
glcm_contrast,0.35,972,0.8189
glcm_contrast,0.4,1111,0.8271
glcm_contrast,0.45,1250,0.8244
glcm_contrast,0.5,1388,0.8293
glcm_contrast,0.55,1527,0.823
glcm_contrast,0.6,1666,0.8256
glcm_contrast,0.65,1805,0.8239
glcm_contrast,0.7,1944,0.8278
glcm_contrast,0.75,2082,0.8254
glcm_contrast,0.8,2221,0.8266
glcm_contrast,0.85,2360,0.8269
glcm_contrast,0.9,2499,0.8259
glcm_contrast,0.95,2638,0.8263
glcm_contrast,1.0,2776,0.8228
