test_id,description,stat_chi2,df,p_raw,p_holm,p_fdr_bh,sig_holm,family,n_family,note
T1,detected~size LR Wald,237.7065,1,0.0,0.0,0.0,1,F-A,3,FA family Holm α=0.05/4=0.0125 per step; Gate0 用 p_holm<0.05 判显著
T2,detected~contrast LR Wald,302.4866,1,0.0,0.0,0.0,1,F-A,3,FA family Holm α=0.05/4=0.0125 per step; Gate0 用 p_holm<0.05 判显著
T3,interact LLR full vs base (size+contrast+size:contrast vs size+contrast),28.6247,1,1e-06,1e-06,1e-06,1,F-A,3,FA family Holm α=0.05/4=0.0125 per step; Gate0 用 p_holm<0.05 判显著
