bb_idx,MT_IMPROVE_mean_prediction_rf
325,0.3561411115252495
1089,0.3561411115252495
1809,0.3561411115252495
326,0.3561405420337241
1090,0.3561405420337241
1810,0.3561405420337241
327,0.3524824698152891
1091,0.3524824698152891
1811,0.3524824698152891
328,0.3561405420337241
1092,0.3561405420337241
1812,0.3561405420337241
329,0.3527781560574684
1093,0.3527781560574684
1813,0.3527781560574684
330,0.3526714207793141
1094,0.3526714207793141
1814,0.3526714207793141
331,0.3527781560574684
1095,0.3527781560574684
1815,0.3527781560574684
332,0.3260308164357196
1096,0.3260308164357196
1816,0.3260308164357196
333,0.40742758037817034
1097,0.40742758037817034
1817,0.40742758037817034
334,0.41011243090312943
1098,0.41011243090312943
1818,0.41011243090312943
335,0.38147081926836934
1099,0.38147081926836934
1819,0.38147081926836934
336,0.40743578601039115
1100,0.40743578601039115
1820,0.40743578601039115
337,0.3600462555376577
1101,0.3600462555376577
1821,0.3600462555376577
338,0.35744591981375745
1102,0.35744591981375745
1822,0.35744591981375745
339,0.35899496996806607
1103,0.35899496996806607
1823,0.35899496996806607
340,0.3592250370177946
1104,0.3592250370177946
1824,0.3592250370177946
341,0.33439107507889265
1105,0.33439107507889265
1825,0.33439107507889265
342,0.339581217940202
1106,0.339581217940202
1826,0.339581217940202
343,0.34045898773415334
1107,0.34045898773415334
1827,0.34045898773415334
344,0.339581217940202
1108,0.339581217940202
1828,0.339581217940202
345,0.343880975879619
1109,0.343880975879619
1829,0.343880975879619
346,0.3460454123039097
1110,0.3460454123039097
1830,0.3460454123039097
347,0.3447095550543914
1111,0.3447095550543914
1831,0.3447095550543914
348,0.348642240340835
1112,0.348642240340835
1832,0.348642240340835
349,0.3390697254698639
1113,0.3390697254698639
1833,0.3390697254698639
350,0.3379799308921056
1114,0.3379799308921056
1834,0.3379799308921056
351,0.3379433271144932
1115,0.3379433271144932
1835,0.3379433271144932
352,0.3394196101650434
1116,0.3394196101650434
1836,0.3394196101650434
353,0.3437388473305302
1117,0.3437388473305302
1837,0.3437388473305302
354,0.34408549530118854
1118,0.34408549530118854
1838,0.34408549530118854
355,0.3438482108515628
1119,0.3438482108515628
1839,0.3438482108515628
356,0.34519410326253624
1120,0.34519410326253624
1840,0.34519410326253624
357,0.3471690725008837
1121,0.3471690725008837
1841,0.3471690725008837
358,0.3462653289427524
1122,0.3462653289427524
1842,0.3462653289427524
359,0.3425759225856776
1123,0.3425759225856776
1843,0.3425759225856776
360,0.3476543987713736
1124,0.3476543987713736
1844,0.3476543987713736
361,0.3568391052779285
1125,0.3568391052779285
1845,0.3568391052779285
362,0.36368031932131334
1126,0.36368031932131334
1846,0.36368031932131334
363,0.360993564414775
1127,0.360993564414775
1847,0.360993564414775
364,0.3583469138630261
1128,0.3583469138630261
1848,0.3583469138630261
365,0.40784752377870764
1129,0.40784752377870764
1849,0.40784752377870764
366,0.40774820714814053
1130,0.40774820714814053
1850,0.40774820714814053
367,0.4176649489226823
1131,0.4176649489226823
1851,0.4176649489226823
368,0.4077240539618726
1132,0.4077240539618726
1852,0.4077240539618726
369,0.4355434076643747
1133,0.4355434076643747
1853,0.4355434076643747
370,0.4309393450876039
1134,0.4309393450876039
1854,0.4309393450876039
371,0.4354964923709604
1135,0.4354964923709604
1855,0.4354964923709604
372,0.4321090924495169
1136,0.4321090924495169
1856,0.4321090924495169
373,0.4443634018051431
374,0.4446356200375927
375,0.4436886423234368
376,0.4446686592119301
377,0.43724131927256293
378,0.4405483940597823
379,0.43693939042884766
380,0.4389893094008598
381,0.4364860768242311
382,0.4364860768242311
383,0.43309728921235846
384,0.4364860768242311
385,0.5051675832521058
386,0.5051675832521058
387,0.5012328686228533
388,0.49536569762162835
389,0.35479900441805784
1145,0.35479900441805784
1857,0.35479900441805784
390,0.34499662864074987
1146,0.34499662864074987
1858,0.34499662864074987
391,0.3467124474256174
1147,0.3467124474256174
1859,0.3467124474256174
392,0.38166701514396856
1148,0.38166701514396856
1860,0.38166701514396856
393,0.38558743676789303
1149,0.38558743676789303
1861,0.38558743676789303
394,0.37925891048284543
1150,0.37925891048284543
1862,0.37925891048284543
395,0.3818372819189538
1151,0.3818372819189538
1863,0.3818372819189538
396,0.39593488118756437
1152,0.39593488118756437
1864,0.39593488118756437
397,0.40158702671486973
1153,0.40158702671486973
1865,0.40158702671486973
398,0.4055435244341209
1154,0.4055435244341209
1866,0.4055435244341209
399,0.40211138919993294
1155,0.40211138919993294
1867,0.40211138919993294
400,0.3995342437579015
1156,0.3995342437579015
1868,0.3995342437579015
401,0.3355038812529539
1157,0.3355038812529539
1869,0.3355038812529539
402,0.3388479264037404
1158,0.3388479264037404
1870,0.3388479264037404
403,0.3388914397499396
1159,0.3388914397499396
1871,0.3388914397499396
404,0.34105561095934656
1160,0.34105561095934656
1872,0.34105561095934656
405,0.3460376568452711
1161,0.3460376568452711
1873,0.3460376568452711
406,0.3468823971380818
1162,0.3468823971380818
1874,0.3468823971380818
407,0.34910973630115294
1163,0.34910973630115294
1875,0.34910973630115294
408,0.3421987057271842
1164,0.3421987057271842
1876,0.3421987057271842
409,0.3347260486747615
1165,0.3347260486747615
1877,0.3347260486747615
410,0.3333775328165277
1166,0.3333775328165277
1878,0.3333775328165277
411,0.3339709564978316
1167,0.3339709564978316
1879,0.3339709564978316
412,0.336589310361989
1168,0.336589310361989
1880,0.336589310361989
413,0.34631860157117467
1169,0.34631860157117467
1881,0.34631860157117467
414,0.34119441285214214
1170,0.34119441285214214
1882,0.34119441285214214
415,0.34637425372782366
1171,0.34637425372782366
1883,0.34637425372782366
416,0.3471387157696081
1172,0.3471387157696081
1884,0.3471387157696081
417,0.3462782174973119
1173,0.3462782174973119
1885,0.3462782174973119
418,0.3493902491503574
1174,0.3493902491503574
1886,0.3493902491503574
419,0.34889111015721996
1175,0.34889111015721996
1887,0.34889111015721996
420,0.3491726592415393
1176,0.3491726592415393
1888,0.3491726592415393
421,0.36590322347644666
1177,0.36590322347644666
1889,0.36590322347644666
422,0.36605593898921907
1178,0.36605593898921907
1890,0.36605593898921907
423,0.40772186020260454
1179,0.40772186020260454
1891,0.40772186020260454
424,0.3686784437413978
1180,0.3686784437413978
1892,0.3686784437413978
425,0.39284058567085667
1181,0.39284058567085667
1893,0.39284058567085667
426,0.3962950027276969
1182,0.3962950027276969
1894,0.3962950027276969
427,0.42661495959808643
1183,0.42661495959808643
1895,0.42661495959808643
428,0.39103141572569733
1184,0.39103141572569733
1896,0.39103141572569733
429,0.4165359724714862
1185,0.4165359724714862
1897,0.4165359724714862
430,0.4161363312248632
1186,0.4161363312248632
1898,0.4161363312248632
431,0.4177688031958633
1187,0.4177688031958633
1899,0.4177688031958633
432,0.4299684416141635
1188,0.4299684416141635
1900,0.4299684416141635
433,0.42766140859706914
434,0.4567916823347969
435,0.4445490778273733
436,0.44342796740571516
437,0.49084570762400015
438,0.45034085927017686
439,0.44741613017684845
440,0.45165271184356615
441,0.42757518336089434
442,0.425747663692791
443,0.429714102714253
444,0.4277456858944692
445,0.48638210453784547
446,0.48535044643333103
447,0.4862168569709512
448,0.484359209270872
449,0.35066496196992164
1197,0.35066496196992164
1901,0.35066496196992164
450,0.370403017235291
1198,0.370403017235291
1902,0.370403017235291
451,0.3648926005014295
1199,0.3648926005014295
1903,0.3648926005014295
452,0.34533828030458025
1200,0.34533828030458025
1904,0.34533828030458025
453,0.35854640361900664
1201,0.35854640361900664
1905,0.35854640361900664
454,0.359713823779066
1202,0.359713823779066
1906,0.359713823779066
455,0.360136161986582
1203,0.360136161986582
1907,0.360136161986582
456,0.3653310497287355
1204,0.3653310497287355
1908,0.3653310497287355
457,0.3248830581427907
1205,0.3248830581427907
1909,0.3248830581427907
458,0.3217861163678612
1206,0.3217861163678612
1910,0.3217861163678612
459,0.3242612727606125
1207,0.3242612727606125
1911,0.3242612727606125
460,0.32606160702046094
1208,0.32606160702046094
1912,0.32606160702046094
461,0.33596117012219534
1209,0.33596117012219534
1913,0.33596117012219534
462,0.3486900782342617
1210,0.3486900782342617
1914,0.3486900782342617
463,0.3497968816398524
1211,0.3497968816398524
1915,0.3497968816398524
464,0.3475037947782817
1212,0.3475037947782817
1916,0.3475037947782817
465,0.33152442151387856
1213,0.33152442151387856
1917,0.33152442151387856
466,0.3318022316722965
1214,0.3318022316722965
1918,0.3318022316722965
467,0.331704444459782
1215,0.331704444459782
1919,0.331704444459782
468,0.324693954664783
1216,0.324693954664783
1920,0.324693954664783
469,0.33169958163786106
1217,0.33169958163786106
1921,0.33169958163786106
470,0.3364528735125084
1218,0.3364528735125084
1922,0.3364528735125084
471,0.3384571078862971
1219,0.3384571078862971
1923,0.3384571078862971
472,0.3396235366035828
1220,0.3396235366035828
1924,0.3396235366035828
473,0.33835545160673897
1221,0.33835545160673897
1925,0.33835545160673897
474,0.3120604811484531
1222,0.3120604811484531
1926,0.3120604811484531
475,0.33655678558722235
1223,0.33655678558722235
1927,0.33655678558722235
476,0.33893285385201966
1224,0.33893285385201966
1928,0.33893285385201966
477,0.3424890300069357
1225,0.3424890300069357
1929,0.3424890300069357
478,0.3359730648593583
1226,0.3359730648593583
1930,0.3359730648593583
479,0.346137430652289
1227,0.346137430652289
1931,0.346137430652289
480,0.3464722364771691
1228,0.3464722364771691
1932,0.3464722364771691
481,0.3882307621919271
1229,0.3882307621919271
1933,0.3882307621919271
482,0.37933119159682854
1230,0.37933119159682854
1934,0.37933119159682854
483,0.5750940484454603
1231,0.5750940484454603
1935,0.5750940484454603
484,0.37890930088860014
1232,0.37890930088860014
1936,0.37890930088860014
485,0.4044672858407292
1233,0.4044672858407292
1937,0.4044672858407292
486,0.4030673250319194
1234,0.4030673250319194
1938,0.4030673250319194
487,0.38259667475149284
1235,0.38259667475149284
1939,0.38259667475149284
488,0.38278722203719096
1236,0.38278722203719096
1940,0.38278722203719096
489,0.4127862006780504
490,0.41511975356166514
491,0.4243791351398487
492,0.41586009765429244
493,0.42978923637627614
494,0.4243013427774363
495,0.41703214967812274
496,0.42087107435619586
497,0.41062743830972703
498,0.4083284663227329
499,0.42249265398402835
500,0.41072224044540195
501,0.47472967744840755
502,0.4808173815883722
503,0.49982631648342685
504,0.46429207266777067
505,0.3605254968065229
1245,0.3605254968065229
1941,0.3605254968065229
506,0.3550874743262674
1246,0.3550874743262674
1942,0.3550874743262674
507,0.3616217311064402
1247,0.3616217311064402
1943,0.3616217311064402
508,0.3531912149842669
1248,0.3531912149842669
1944,0.3531912149842669
509,0.3581089790974639
1249,0.3581089790974639
1945,0.3581089790974639
510,0.34556326441089136
1250,0.34556326441089136
1946,0.34556326441089136
511,0.3415518798458306
1251,0.3415518798458306
1947,0.3415518798458306
512,0.35459646967128206
1252,0.35459646967128206
1948,0.35459646967128206
513,0.34707077404022685
1253,0.34707077404022685
1949,0.34707077404022685
514,0.34989321913817084
1254,0.34989321913817084
1950,0.34989321913817084
515,0.3459281845250132
1255,0.3459281845250132
1951,0.3459281845250132
516,0.3486441440227095
1256,0.3486441440227095
1952,0.3486441440227095
517,0.3419006698598839
1257,0.3419006698598839
1953,0.3419006698598839
518,0.34130259076269015
1258,0.34130259076269015
1954,0.34130259076269015
519,0.34585618654587214
1259,0.34585618654587214
1955,0.34585618654587214
520,0.34106145049338843
1260,0.34106145049338843
1956,0.34106145049338843
521,0.3384618320908156
1261,0.3384618320908156
1957,0.3384618320908156
522,0.3349022128098848
1262,0.3349022128098848
1958,0.3349022128098848
523,0.3384618320908156
1263,0.3384618320908156
1959,0.3384618320908156
524,0.33816864317764994
1264,0.33816864317764994
1960,0.33816864317764994
525,0.3469192015172888
1265,0.3469192015172888
1961,0.3469192015172888
526,0.3598447460523851
1266,0.3598447460523851
1962,0.3598447460523851
527,0.3319680124806358
1267,0.3319680124806358
1963,0.3319680124806358
528,0.34533961316497097
1268,0.34533961316497097
1964,0.34533961316497097
529,0.3492160642093943
1269,0.3492160642093943
1965,0.3492160642093943
530,0.39802608328149774
1270,0.39802608328149774
1966,0.39802608328149774
531,0.3579619866027699
1271,0.3579619866027699
1967,0.3579619866027699
532,0.3489532476955942
1272,0.3489532476955942
1968,0.3489532476955942
533,0.3788072570093476
1273,0.3788072570093476
1969,0.3788072570093476
534,0.3893370502435992
1274,0.3893370502435992
1970,0.3893370502435992
535,0.428845823714446
1275,0.428845823714446
1971,0.428845823714446
536,0.3848074655156434
1276,0.3848074655156434
1972,0.3848074655156434
537,0.374691409079474
1277,0.374691409079474
1973,0.374691409079474
538,0.37098499110666927
1278,0.37098499110666927
1974,0.37098499110666927
539,0.40326890596340415
1279,0.40326890596340415
1975,0.40326890596340415
540,0.37964329992951146
1280,0.37964329992951146
1976,0.37964329992951146
541,0.3971373722967454
542,0.3955001943302795
543,0.3990546777277343
544,0.3990896388098987
545,0.40979453168803903
546,0.4176329544222945
547,0.4078147347007711
548,0.41334736406280104
549,0.4046187232736537
550,0.39799652414178655
551,0.4033830422733704
552,0.4039714822414632
553,0.4533041006415403
554,0.45460337987127436
555,0.45528205616723644
556,0.4528290152519706
557,0.34193248771710244
1289,0.34193248771710244
1977,0.34193248771710244
558,0.3431423460984169
1290,0.3431423460984169
1978,0.3431423460984169
559,0.34408119178131436
1291,0.34408119178131436
1979,0.34408119178131436
560,0.3429480094164804
1292,0.3429480094164804
1980,0.3429480094164804
561,0.3500723920764684
1293,0.3500723920764684
1981,0.3500723920764684
562,0.34979736917385895
1294,0.34979736917385895
1982,0.34979736917385895
563,0.3403684729207653
1295,0.3403684729207653
1983,0.3403684729207653
564,0.34539091331440813
1296,0.34539091331440813
1984,0.34539091331440813
565,0.33557445117065426
1297,0.33557445117065426
1985,0.33557445117065426
566,0.3362936857658399
1298,0.3362936857658399
1986,0.3362936857658399
567,0.3361230915060012
1299,0.3361230915060012
1987,0.3361230915060012
568,0.3362936857658399
1300,0.3362936857658399
1988,0.3362936857658399
569,0.34301032249700697
1301,0.34301032249700697
1989,0.34301032249700697
570,0.33908409162823105
1302,0.33908409162823105
1990,0.33908409162823105
571,0.3429637853019535
1303,0.3429637853019535
1991,0.3429637853019535
572,0.34319641071952944
1304,0.34319641071952944
1992,0.34319641071952944
573,0.3434567653350552
1305,0.3434567653350552
1993,0.3434567653350552
574,0.3507988701982913
1306,0.3507988701982913
1994,0.3507988701982913
575,0.344819020930775
1307,0.344819020930775
1995,0.344819020930775
576,0.34365623451928207
1308,0.34365623451928207
1996,0.34365623451928207
577,0.3553658071985369
1309,0.3553658071985369
1997,0.3553658071985369
578,0.3561114336832582
1310,0.3561114336832582
1998,0.3561114336832582
579,0.35631172459973065
1311,0.35631172459973065
1999,0.35631172459973065
580,0.3562772648486042
1312,0.3562772648486042
2000,0.3562772648486042
581,0.37198957487353956
1313,0.37198957487353956
