bb_idx,MT_DeepImmuno,WT_DeepImmuno
389,0.3395339,0.3395339
390,0.899194,0.899194
391,0.9039372,0.9039372
392,0.9821661,0.9821661
393,0.30903596,0.30903596
394,0.68042296,0.68042296
395,0.9059913,0.9059913
396,0.95889866,0.95889866
397,0.75142515,0.58712655
398,0.6885684,0.66411173
399,0.93815625,0.9243644
400,0.9861485,0.97871494
401,0.68796974,0.45854053
402,0.71565056,0.6645004
403,0.86157787,0.7661485
404,0.9626292,0.94620746
405,0.39522126,0.37402654
406,0.57574534,0.5181978
407,0.73577225,0.7183746
408,0.9246566,0.9392855
409,0.5379192,0.58629376
410,0.728934,0.8549404
411,0.89145553,0.94123304
412,0.97393894,0.98536164
413,0.72576225,0.688852
414,0.78018206,0.7608671
415,0.9274087,0.9598053
416,0.9814325,0.98120505
417,0.41521406,0.5336267
418,0.8114984,0.8161278
419,0.9111645,0.90093386
420,0.9704602,0.9803215
421,0.14941025,0.18492827
422,0.70363176,0.65285975
423,0.6080394,0.77322495
424,0.83002436,0.86916494
425,0.75784606,0.8798825
426,0.8831219,0.94460094
427,0.9280493,0.9566963
428,0.9660876,0.98828125
429,0.8904137,0.9104359
430,0.87607515,0.92237383
431,0.844375,0.8975309
432,0.98089373,0.9902428
433,0.8982583,0.8982583
434,0.88177323,0.88177323
435,0.84162843,0.84162843
436,0.97885525,0.97885525
437,0.89536035,0.89536035
438,0.85051775,0.85051775
439,0.7946414,0.7946414
440,0.9854615,0.9854615
441,0.6846987,0.6846987
442,0.7449682,0.7449682
443,0.6848384,0.6848384
444,0.96932346,0.96932346
445,0.83567315,0.83567315
446,0.7629648,0.7629648
447,0.8127903,0.8127903
448,0.96742594,0.96742594
449,0.14387625,0.14387625
450,0.7375752,0.7375752
451,0.7116795,0.7116795
452,0.9274087,0.9274087
453,0.73624516,0.5316702
454,0.76465297,0.78427625
455,0.98018336,0.97344875
456,0.9872638,0.9828573
457,0.82278585,0.6802863
458,0.83746755,0.7480794
459,0.9615563,0.9494934
460,0.98364604,0.97541004
461,0.6315212,0.67225754
462,0.79499614,0.7782178
463,0.80345863,0.80184007
464,0.94552827,0.9652476
465,0.27587444,0.38430747
466,0.61297435,0.70563555
467,0.6238508,0.68560994
468,0.93125033,0.9397484
469,0.5886029,0.49974433
470,0.74609,0.67822284
471,0.85492235,0.8742009
472,0.9625689,0.9489316
473,0.64318466,0.6576442
474,0.73129094,0.734887
475,0.9487281,0.96559644
476,0.9541911,0.9754068
477,0.34344223,0.5473735
478,0.7915884,0.80222476
479,0.8814956,0.9359616
480,0.9500979,0.9716461
481,0.5819685,0.62798065
482,0.9045247,0.8770797
483,0.9369879,0.96169305
484,0.970742,0.9732487
485,0.8712901,0.8995416
486,0.8382989,0.91046095
487,0.8254938,0.8741685
488,0.976297,0.9900973
489,0.9155408,0.9334952
490,0.9147539,0.94824123
491,0.8217649,0.89170057
492,0.98644763,0.99335235
493,0.77207696,0.77207696
494,0.77811044,0.77811044
495,0.69839144,0.69839144
496,0.9670801,0.9670801
497,0.8423341,0.8423341
498,0.87638485,0.87638485
499,0.8467914,0.8467914
500,0.9900617,0.9900617
501,0.7980679,0.7980679
502,0.69295824,0.69295824
503,0.7762412,0.7762412
504,0.96698534,0.96698534
757,0.6025124,0.6025124
758,0.73063266,0.73063266
759,0.8714298,0.8714298
760,0.95240474,0.95240474
761,0.6884315,0.6884315
762,0.7570964,0.7570964
763,0.9015465,0.9015465
764,0.9742646,0.9742646
765,0.75710523,0.75710523
766,0.8116231,0.8116231
767,0.93155813,0.93155813
768,0.98957086,0.98957086
769,0.62496877,0.62496877
770,0.78162444,0.78162444
771,0.90405583,0.90405583
772,0.9811809,0.9811809
773,0.762488,0.762488
774,0.77054805,0.77054805
775,0.8911987,0.8911987
776,0.9835819,0.9835819
777,0.6560292,0.6560292
778,0.738345,0.738345
779,0.7368628,0.7368628
780,0.9590112,0.9590112
781,0.50409263,0.50409263
782,0.67238414,0.67238414
783,0.7193942,0.7193942
784,0.92173034,0.92173034
785,0.8676609,0.8676609
786,0.7858621,0.7858621
787,0.8680257,0.8680257
788,0.9843824,0.9843824
789,0.8776549,0.8776549
790,0.8904836,0.8904836
791,0.9277284,0.9277284
792,0.99354243,0.99354243
793,0.67473334,0.67473334
794,0.8954532,0.8954532
795,0.93569803,0.93569803
796,0.9805305,0.9805305
797,0.50900114,0.50900114
798,0.8696717,0.8696717
799,0.9272613,0.9272613
800,0.9424566,0.9424566
801,0.60471016,0.5958121
802,0.8436687,0.8095364
803,0.94954836,0.90437233
804,0.9892194,0.97729886
805,0.6665232,0.5203931
806,0.880692,0.8304616
807,0.9638175,0.8761575
808,0.9903388,0.9839653
809,0.5841316,0.54180276
