bb_idx,MT_MHCflurry_presentation,WT_MHCflurry_presentation,MT_MHCflurry_affinity_neg,WT_MHCflurry_affinity_neg
325,0.0038783862057773827,0.0038783862057773827,-27443.048776909527,-27443.048776909527
326,0.0031716584545689003,0.0031716584545689003,-33782.40920341828,-33782.40920341828
327,0.0058222830338193155,0.0058222830338193155,-18026.573152536912,-18026.573152536912
328,0.006061420121981569,0.006061420121981569,-17290.557634287747,-17290.557634287747
329,0.003428112174428477,0.003428112174428477,-32525.225977340848,-32525.225977340848
330,0.004397611269824879,0.004397611269824879,-25143.948408569133,-25143.948408569133
331,0.004639989372024567,0.004639989372024567,-23786.870576061847,-23786.870576061847
332,0.20933536543482115,0.20933536543482115,-371.7802399414107,-371.7802399414107
333,0.0030709900802367595,0.0030709900802367595,-34483.046758149634,-34483.046758149634
334,0.003389363759364509,0.003389363759364509,-31142.942427900653,-31142.942427900653
335,0.0036159997023381325,0.0036159997023381325,-29128.541378731737,-29128.541378731737
336,0.003980413468530823,0.003980413468530823,-26377.011659577533,-26377.011659577533
337,0.009985430856417916,0.003485059778578635,-11133.994054740986,-29637.905927061427
338,0.003677714150529227,0.003191119323220508,-31338.092242028215,-32461.988953609143
339,0.005355599359972775,0.003915471424994928,-21245.890390512257,-26277.801778816804
340,0.02211896588339484,0.0045722324407106605,-4847.894144538092,-22385.345923704714
341,0.0034912742467566953,0.0035211731650829545,-30874.807081568477,-30467.53197772091
342,0.0032088334428340406,0.0032161359522731186,-33685.90536653563,-33457.053168123115
343,0.004088419983844217,0.004183941661391228,-26226.626395158084,-25493.689871877792
344,0.004874716963690215,0.0054692000204541544,-21864.644019145795,-19323.512984581514
345,0.0034881987166016713,0.003392493039545616,-31686.109324348232,-31255.67326793426
346,0.003277119516610053,0.0031903675337982226,-33796.523932600314,-33303.092218241014
347,0.005198675264860704,0.005478733802034785,-20974.842413807444,-19041.085203213595
348,0.005017128105888695,0.005139282341234096,-21760.710432589833,-20344.227683066536
349,0.007349170507623374,0.007537819596872448,-16253.881777502256,-13922.904611329608
350,0.010151089343198883,0.010189765964650476,-11622.03158375678,-10180.147863604987
351,0.006065454986695382,0.007016607926154316,-19832.10096003486,-14996.87790732295
352,0.04843866612022868,0.08631167893453655,-2233.314081437751,-1039.2128394363162
353,0.003131524309987095,0.0032162573950497895,-32411.542842399464,-31543.311547375797
354,0.003061663599918188,0.00313478034199963,-33175.564486447,-32390.388583432083
355,0.0037698200239008857,0.0040075704176612305,-26759.16254687168,-25130.69487200917
356,0.004377378764081566,0.004951760016174943,-22929.386891407314,-20192.606381291953
357,0.003360654381427677,0.0032881318900325708,-31478.5024660682,-31667.549619443656
358,0.003166171879118748,0.0031420609409632417,-33477.589819299006,-33189.186678056
359,0.01730444381028571,0.0107267441526226,-5741.040415753317,-9302.549094914244
360,0.005395739775628348,0.005791118617992855,-19293.39921786727,-17637.117453110997
361,0.003810357224009955,0.003686032345773738,-34021.82063527403,-31848.181182549775
362,0.003963840966883816,0.05838925562816673,-32661.214851493296,-1748.5558151431192
363,0.004331214473926158,0.004465648306317314,-29801.539180038395,-26118.71861745608
364,0.005934479512656414,0.005729803904109379,-21513.52494616091,-20180.684888316177
365,0.010340713452169654,0.005777423101945081,-33841.03207496043,-32676.586538179297
366,0.011698474477744658,0.0065647924206254735,-29762.60402836923,-28625.906105006547
367,0.37843996498858895,0.0765094235784291,-515.1439081496425,-2119.1930750024762
368,0.014179553500635095,0.007397721863935966,-24352.874613329066,-25291.656976926166
369,0.003156169303797251,0.003156169303797251,-34110.70480847388,-34110.70480847388
370,0.0035234448104840598,0.0035234448104840598,-30444.49966081945,-30444.49966081945
371,0.003540793061677557,0.003540793061677557,-30290.40479087652,-30290.40479087652
372,0.003730662647800237,0.003730662647800237,-28698.910714085505,-28698.910714085505
373,0.005169014009275048,0.005169014009275048,-32839.845826833145,-32839.845826833145
374,0.004944042436839217,0.004944042436839217,-34387.26741698465,-34387.26741698465
375,0.005766732685979065,0.005766732685979065,-29323.02593510661,-29323.02593510661
376,0.0060945102869522545,0.0060945102869522545,-27691.361057459584,-27691.361057459584
377,0.016719478062132007,0.016719478062132007,-13016.035454493693,-13016.035454493693
378,0.007044222942487872,0.007044222942487872,-32012.314122586886,-32012.314122586886
379,0.008757356922375573,0.008757356922375573,-25539.766983577403,-25539.766983577403
380,0.01622316501107957,0.01622316501107957,-13433.136648202966,-13433.136648202966
381,0.013624026435950173,0.013624026435950173,-30090.33695745027,-30090.33695745027
382,0.011824737589771525,0.011824737589771525,-34879.47965072583,-34879.47965072583
383,0.014535232256834408,0.014535232256834408,-28123.419957178947,-28123.419957178947
384,0.015968245707473048,0.015968245707473048,-25490.47789215571,-25490.47789215571
385,0.02031578392150598,0.02031578392150598,-26059.825789205213,-26059.825789205213
386,0.015832273134745136,0.015832273134745136,-33845.19062649236,-33845.19062649236
387,0.039225175446856476,0.039225175446856476,-12974.761897657434,-12974.761897657434
388,0.10523353017595441,0.10523353017595441,-4365.62888291981,-4365.62888291981
389,0.17865242819536073,0.17865242819536073,-544.0943925614952,-544.0943925614952
390,0.0064472124280996,0.0064472124280996,-20228.269305742717,-20228.269305742717
391,0.19836361812723455,0.19836361812723455,-476.4529124396205,-476.4529124396205
392,0.5250138958964429,0.5250138958964429,-102.0575169541646,-102.0575169541646
393,0.0032415466277452083,0.0032415466277452083,-32358.218370079732,-32358.218370079732
394,0.003951844584430123,0.003951844584430123,-26368.207927565978,-26368.207927565978
395,0.004939082566434928,0.004939082566434928,-20937.97424126024,-20937.97424126024
396,0.027729954368285722,0.027729954368285722,-3460.7810324493407,-3460.7810324493407
397,0.006324383986875513,0.0033212010893002037,-17016.090259549404,-30884.564483079856
398,0.004273678144390903,0.003693676018912075,-25528.06601008532,-27672.557182441673
399,0.006857509750847881,0.0049844606166445865,-15647.143194922932,-20298.861864742434
400,0.03432940292289806,0.006357671602555658,-2895.7697964460003,-15778.206218507916
401,0.01039915214214364,0.0074355795491371154,-14681.615070378479,-15077.20485268717
402,0.005167378569837555,0.003916189604068185,-30326.088200047077,-29279.687047890067
403,0.00759738774904729,0.005884347063845579,-20341.933093630694,-19214.647635438323
404,0.011748080742551417,0.012373709178183537,-12931.021672289571,-8879.381420528644
405,0.0035199766271270293,0.0036285830446914913,-29456.579154157942,-28332.254046852147
406,0.003151898789308805,0.00322907789111239,-33016.389895538574,-31960.451732388505
407,0.004751025713403307,0.005389099557360116,-21604.330269900707,-18821.11069848125
408,0.005623886145231041,0.006377365911975584,-18144.255022815876,-15809.534087859001
409,0.01197883993862399,0.014994796014502562,-8658.867992094934,-6510.590042697663
410,0.0036147284445779706,0.003561850014663966,-29985.746147661506,-28937.131919533706
411,0.010818472641062596,0.014212381152951762,-9628.079835638824,-6885.499464484107
412,0.04099004781514148,0.09060632957288385,-2366.553462225061,-941.1382938092181
413,0.00348233306049131,0.0036257425988149143,-29883.43651710976,-28711.12941190339
414,0.007457602103612828,0.008370460369161777,-13588.164045221341,-12073.908435024738
415,0.005189517368876463,0.005977633782514381,-19783.25040303855,-17118.186383538123
416,0.006988566790642739,0.008032478922961068,-14535.001871710692,-12601.663602193745
417,0.006483333721798982,0.009296787257516335,-15742.670684572873,-10699.801952155103
418,0.0035788025752893065,0.0039789573935470985,-29110.8481047111,-25775.220096302946
419,0.00853812625990671,0.009406037153143988,-11832.116029006638,-10570.681825489888
420,0.00840478926174195,0.012545306990018113,-12027.071302249778,-7832.864152968094
421,0.009632706313990479,0.007338944672479624,-17779.706954493828,-24180.847326542586
422,0.006462823580825664,0.007820016716583873,-26902.400947000282,-22639.53552373831
423,0.14282781745194378,0.037136835019309526,-954.4328448748054,-4414.7521699965
424,0.02666100785736388,0.018714402082696615,-6123.545966920648,-9115.624089634843
425,0.0275217721139627,0.037941030457534726,-31662.35221634959,-28541.347265612912
426,0.029655444185492926,0.4110147440821951,-29253.426043461357,-1481.9309160969915
427,0.725356799131188,0.8043549896915375,-296.7965167730809,-238.71887275441364
428,0.06026257145146291,0.07236022997564112,-13640.233845985049,-14142.478262830738
429,0.0033024413498656587,0.003273623717471055,-33387.43426306293,-32097.989379791547
430,0.003490473710617512,0.0033902544013101007,-31531.17687101115,-30958.050365583527
431,0.004411475029361463,0.003977831013771577,-24753.01081933041,-26245.13142524682
432,0.004248045013240078,0.003979688819827053,-25738.287108673136,-26232.468011060835
433,0.06558849087535473,0.06558849087535473,-12382.92092201527,-12382.92092201527
434,0.17176012366661467,0.17176012366661467,-4059.4877826239585,-4059.4877826239585
435,0.03717533648662009,0.03717533648662009,-22911.85956353757,-22911.85956353757
436,0.06922194835736631,0.06922194835736631,-11667.408182674608,-11667.408182674608
437,0.02473226911672199,0.02473226911672199,-5545.349033475349,-5545.349033475349
438,0.0046238204561507654,0.0046238204561507654,-31826.898089172224,-31826.898089172224
439,0.0058968819730075926,0.0058968819730075926,-24744.89952816255,-24744.89952816255
440,0.019290565585653906,0.019290565585653906,-7203.081986026512,-7203.081986026512
441,0.010835948945877562,0.010835948945877562,-20990.7557876148,-20990.7557876148
442,0.007771652126698985,0.007771652126698985,-29649.803161496184,-29649.803161496184
443,0.011677025777618841,0.011677025777618841,-19418.916982996125,-19418.916982996125
444,0.011913834690876923,0.011913834690876923,-19016.972811384778,-19016.972811384778
