bb_idx,MT_PredIG,WT_PredIG
325,0.008335,0.008335
326,0.024679,0.024679
327,0.014282,0.014282
328,0.001888,0.001888
329,0.001212,0.00354
330,0.0014,0.004089
331,0.0015,0.00438
332,0.001665,0.003318
333,0.04676,0.04676
334,0.108186,0.108186
335,0.660657,0.660657
336,0.410193,0.410193
337,0.000324,0.009834
338,0.000856,0.019508
339,0.000302,0.028651
340,0.010621,0.024622
341,0.00808,0.004881
342,0.118382,0.036585
343,0.056718,0.01134
344,0.056718,0.021522
345,0.008908,0.003768
346,0.135621,0.061937
347,0.02086,0.001079
348,0.056718,0.016781
349,0.001355,0.001001
350,0.000175,5.2e-05
351,0.000709,0.000856
352,0.00085,0.001026
353,0.009979,0.008908
354,0.135621,0.042122
355,0.056718,0.038978
356,0.293848,0.033546
357,0.001084,0.001084
358,0.021628,0.021628
359,0.000159,0.000722
360,0.000699,0.010839
361,0.017104,0.002701
362,0.000812,0.000365
363,0.025127,0.018512
364,0.004519,0.012563
365,0.000522,0.001001
366,0.000569,0.001154
367,0.000268,0.000174
368,0.001863,0.001863
369,0.050461,0.050461
370,0.010344,0.010344
371,0.119147,0.119147
372,0.175295,0.175295
373,0.02587,0.02587
374,0.348981,0.348981
375,0.46149,0.46149
376,0.341895,0.341895
377,0.007834,0.007834
378,0.061716,0.061716
379,0.011092,0.011092
380,0.01004,0.01004
381,0.000722,0.000722
382,0.006606,0.006606
383,0.001652,0.001652
384,0.001652,0.001652
385,0.007759,0.007759
386,0.115865,0.115865
387,0.028324,0.028324
388,0.000604,0.000604
389,0.001184,0.003458
390,0.00095,0.002775
391,0.002226,0.006488
392,0.002989,0.007321
393,0.003199,0.003199
394,0.148803,0.148803
395,0.058339,0.058339
396,0.124542,0.124542
397,0.000548,0.001932
398,0.044056,0.136868
399,0.021115,0.053823
400,0.256017,0.291044
401,0.023531,0.004196
402,0.005393,0.004136
403,0.015134,0.006979
404,0.00378,0.004136
405,0.019844,0.004111
406,0.020416,0.004136
407,0.049532,0.019645
408,0.072163,0.007027
409,0.000269,0.000324
410,0.001047,0.000382
411,0.002068,0.000809
412,0.000299,0.004389
413,0.019844,0.009713
414,0.063932,0.004874
415,0.0029,0.015134
416,0.027833,0.015134
417,0.002095,0.000679
418,0.00156,0.007493
419,0.016634,0.016634
420,0.00156,0.00156
421,0.004652,0.001556
422,0.036293,0.00173
423,0.015229,0.015229
