bb_idx,MT_BigMHC,WT_BigMHC
325,0.006167,0.006167
326,0.108648,0.108648
327,0.250673,0.250673
328,0.034658,0.034658
329,0.005281,0.005281
330,0.209246,0.209246
331,0.084658,0.084658
332,0.015242,0.015242
333,0.004592,0.004592
334,0.038204,0.038204
335,0.045483,0.045483
336,0.008238,0.008238
337,0.00363,0.004246
338,0.02932,0.021216
339,0.031103,0.008378
340,0.158786,0.01704
341,0.018301,0.005311
342,0.074156,0.099419
343,0.030162,0.015345
344,0.023232,0.017994
345,0.03796,0.012013
346,0.217726,0.159758
347,0.215247,0.136515
348,0.037894,0.017184
349,0.002514,0.007934
350,0.027394,0.05558
351,0.024021,0.129092
352,0.013774,0.144628
353,0.011042,0.008389
354,0.044818,0.073883
355,0.031284,0.045026
356,0.007912,0.018341
357,0.002398,0.009307
358,0.147184,0.267955
359,0.703852,0.518138
360,0.052171,0.046424
361,0.003271,0.00607
362,0.135779,0.096464
363,0.123708,0.048398
364,0.026916,0.014455
365,0.000474,0.002359
366,0.052735,0.025279
367,0.116817,0.069288
368,0.001065,0.0011
369,0.015824,0.015824
370,0.040855,0.040855
371,0.149278,0.149278
372,0.036093,0.036093
373,0.004382,0.004382
374,0.057121,0.057121
375,0.173369,0.173369
376,0.005422,0.005422
377,0.042553,0.042553
378,0.353424,0.353424
379,0.385359,0.385359
380,0.021161,0.021161
381,0.027595,0.027595
382,0.077794,0.077794
383,0.094863,0.094863
384,0.007898,0.007898
385,0.001371,0.001371
386,0.056074,0.056074
387,0.140173,0.140173
388,0.02654,0.02654
389,0.007238,0.007238
390,0.164877,0.164877
391,0.311519,0.311519
392,0.024931,0.024931
393,0.006267,0.006267
394,0.13069,0.13069
395,0.062458,0.062458
396,0.015763,0.015763
397,0.003599,0.004421
398,0.021475,0.010943
399,0.025732,0.009382
400,0.098946,0.015619
401,0.019866,0.006165
402,0.022941,0.02254
403,0.010714,0.00751
404,0.022707,0.011319
405,0.004941,0.003833
406,0.026335,0.033943
407,0.017216,0.019634
408,0.028195,0.014041
409,0.008564,0.016662
410,0.067532,0.117599
411,0.113966,0.344598
412,0.041241,0.278673
413,0.0145,0.027496
414,0.007425,0.011902
415,0.009947,0.029367
416,0.009929,0.013847
417,0.002613,0.00168
418,0.083825,0.072834
419,0.031235,0.041955
420,0.011062,0.024775
421,0.001224,0.004183
422,0.602602,0.585785
423,0.834762,0.423863
424,0.014455,0.018689
425,0.00124,0.003188
426,0.008891,0.007295
427,0.315949,0.06858
428,0.002367,0.002756
429,0.00428,0.012668
430,0.273583,0.075376
431,0.078415,0.045155
432,0.017367,0.007974
433,0.003308,0.003308
434,0.159837,0.159837
435,0.129022,0.129022
436,0.017561,0.017561
437,0.04638,0.04638
438,0.03093,0.03093
439,0.120628,0.120628
440,0.017309,0.017309
441,0.006937,0.006937
442,0.149215,0.149215
443,0.032445,0.032445
444,0.004421,0.004421
445,0.005083,0.005083
446,0.018562,0.018562
447,0.111968,0.111968
448,0.010557,0.010557
449,0.001802,0.001802
450,0.130195,0.130195
451,0.493772,0.493772
452,0.025662,0.025662
453,0.003869,0.006417
