sample_id,domain,conv_step,converged,final_norm,max_steps,cos_thr,trained_S,extrapolated
nih_6833,NIH,,False,105.0552978515625,16,0.01,16,False
nih_16871,NIH,,False,95.20458984375,16,0.01,16,False
nih_16619,NIH,,False,108.34130096435547,16,0.01,16,False
nih_19924,NIH,,False,106.63751220703125,16,0.01,16,False
nih_2315,NIH,,False,104.3187255859375,16,0.01,16,False
nih_8078,NIH,,False,88.72917938232422,16,0.01,16,False
nih_5752,NIH,,False,106.92334747314453,16,0.01,16,False
nih_10514,NIH,,False,107.39229583740234,16,0.01,16,False
nih_19077,NIH,,False,108.18973541259766,16,0.01,16,False
nih_2125,NIH,,False,103.26483154296875,16,0.01,16,False
nih_19546,NIH,,False,100.81124877929688,16,0.01,16,False
nih_18667,NIH,,False,97.54237365722656,16,0.01,16,False
nih_13767,NIH,,False,101.97679901123047,16,0.01,16,False
nih_3069,NIH,,False,107.8526611328125,16,0.01,16,False
nih_2916,NIH,,False,103.51612091064453,16,0.01,16,False
nih_21836,NIH,,False,100.75577545166016,16,0.01,16,False
nih_7363,NIH,,False,99.62960052490234,16,0.01,16,False
nih_17809,NIH,,False,90.3892822265625,16,0.01,16,False
nih_6629,NIH,,False,103.99136352539062,16,0.01,16,False
nih_12430,NIH,,False,109.15141296386719,16,0.01,16,False
nih_302,NIH,,False,102.14830017089844,16,0.01,16,False
nih_20051,NIH,,False,98.97389221191406,16,0.01,16,False
nih_217,NIH,,False,98.57929992675781,16,0.01,16,False
nih_13585,NIH,,False,108.57816314697266,16,0.01,16,False
nih_22890,NIH,,False,104.81555938720703,16,0.01,16,False
nih_21399,NIH,,False,102.40597534179688,16,0.01,16,False
nih_12142,NIH,,False,100.02945709228516,16,0.01,16,False
nih_20411,NIH,,False,97.92918395996094,16,0.01,16,False
nih_17147,NIH,,False,104.58370208740234,16,0.01,16,False
nih_25308,NIH,,False,96.73017883300781,16,0.01,16,False
nih_18149,NIH,,False,102.6783676147461,16,0.01,16,False
nih_25324,NIH,,False,104.67388916015625,16,0.01,16,False
nih_4161,NIH,,False,102.07350158691406,16,0.01,16,False
nih_16395,NIH,,False,105.89215850830078,16,0.01,16,False
nih_87,NIH,,False,106.88037872314453,16,0.01,16,False
nih_10814,NIH,,False,108.7889175415039,16,0.01,16,False
nih_8143,NIH,,False,98.47966003417969,16,0.01,16,False
nih_10208,NIH,,False,107.98628234863281,16,0.01,16,False
nih_19111,NIH,,False,108.69120025634766,16,0.01,16,False
nih_15784,NIH,,False,108.34249114990234,16,0.01,16,False
nih_18213,NIH,,False,98.90278625488281,16,0.01,16,False
nih_16906,NIH,,False,103.11988067626953,16,0.01,16,False
nih_20093,NIH,,False,104.02904510498047,16,0.01,16,False
nih_4225,NIH,,False,107.52198028564453,16,0.01,16,False
nih_18224,NIH,,False,97.70638275146484,16,0.01,16,False
nih_17521,NIH,,False,101.8336410522461,16,0.01,16,False
nih_80,NIH,,False,98.31095886230469,16,0.01,16,False
nih_17185,NIH,,False,111.9343032836914,16,0.01,16,False
nih_17771,NIH,,False,108.55859375,16,0.01,16,False
nih_12077,NIH,,False,104.87834167480469,16,0.01,16,False
nih_24558,NIH,,False,102.60511779785156,16,0.01,16,False
nih_7226,NIH,,False,105.36192321777344,16,0.01,16,False
nih_23586,NIH,,False,110.15788269042969,16,0.01,16,False
nih_13522,NIH,,False,108.26256561279297,16,0.01,16,False
nih_10901,NIH,,False,102.2560043334961,16,0.01,16,False
nih_17878,NIH,,False,108.11689758300781,16,0.01,16,False
