size_bin,size_px_mean,size_px_min,size_px_max,n,n_detected,detection_rate,anomaly_score_mean
0,54.4691,6.0,106.0,648,1,0.0015,0.008352
1,162.2696,107.0,221.0,649,31,0.0478,0.013285
2,315.0891,222.0,616.0,651,163,0.2504,0.019285
