contrast_bin,contrast_mean,contrast_min,contrast_max,n,n_detected,detection_rate,anomaly_score_mean
0,0.1294,0.0038,0.1802,650,3,0.0046,0.008219
1,0.2201,0.1804,0.2612,649,22,0.0339,0.012619
2,0.3306,0.2615,0.4764,649,170,0.2619,0.020118
